Country,Population,Normalised suicide rate,Suicides,GDP Per Capita
Albania,62325467,924.76,1970,490788
Antigua and Barbuda,1990228,179.14,11,3385212
Argentina,1035985431,3894.59,82219,2944044
Armenia,77348173,976.21,1905,558428
Aruba,1259677,1596.52,101,4069236
Australia,542377786,4677.41,70111,11799504
Austria,243853094,9076.23,50073,13088000
Azerbaijan,111790300,356.24,1656,192984
Bahamas,6557048,344.28,93,7130844
Bahrain,16753926,467.24,463,4545960
Barbados,6213691,891.13,177,3675300
Belarus,197372292,7831.13,59892,840144
Belgium,303302621,7900.5,62761,11928828
Belize,6289015,2093.49,348,1346172
Bosnia and Herzegovina,7327481,110.81,318,121860
Brazil,4856093548,2174.72,226613,2266032
Bulgaria,231939958,7016.08,36388,1310556
Cabo Verde,452179,133.84,42,49488
Canada,826052183,4338.72,107561,10748844
Chile,427625092,3921.64,40895,2787420
Colombia,1107941966,2009.39,53080,1379736
Costa Rica,102176788,2553.72,6792,1853892
Croatia,91730351,5982.84,18429,2713238
Cuba,251790133,6111.95,41418,1253136
Cyprus,11607462,586.26,412,4924944
Czech Republic,264106540,5952.99,43687,3982994
Denmark,112182219,3721.65,15297,13015176
Dominica,66400,0,0,17820
Ecuador,344327990,2345.21,20660,1222488
El Salvador,124683698,3035.94,11683,734592
Estonia,27090810,6873.78,7034,2866776
Fiji,8187391,673.86,304,516552
Finland,141925658,7924.11,33677,12342960
France,1670756775,7803.25,329127,11333328
Georgia,93598800,1116.38,3224,499788
Germany,2024875612,4854.69,291262,10971240
Greece,316096105,1512.12,12368,6331212
Grenada,2347286,661,38,1924916
Guatemala,305357837,1146.7,8149,814872
Guyana,16594589,6655.92,3426,502476
Hungary,248644256,10156.07,73891,2904716
Iceland,8407904,4889.74,1108,15002956
Ireland,109023686,3881.73,12574,12323112
Israel,173071788,3329.97,11294,8602668
Italy,1715043704,3168.87,132060,9896160
Jamaica,39481817,106.44,184,673452
Japan,3681024844,8025.23,806902,13539888
Kazakhstan,377513869,9519.52,101546,1662684
Kiribati,741606,878.51,53,115620
Kuwait,57109991,355.93,966,8345700
Kyrgyzstan,115174187,4457.3,13090,224868
Latvia,44852640,7373.35,12770,2258196
Lithuania,68085210,10588.88,28039,2431504
Luxembourg,12953156,6156.56,1958,25593000
Macau,346542,171.74,27,216972
Maldives,2900246,164.08,20,610668
Malta,11227403,1872.01,585,5224524
Mauritius,33411909,4464.58,3894,2103544
Mexico,2772959159,1751.19,111139,2655504
Mongolia,2167589,184.39,423,41450
Montenegro,5834863,1194.03,472,503472
Netherlands,475361269,4066.52,50833,13643004
New Zealand,103090430,5008.32,14383,7753260
Nicaragua,31742633,472.82,2013,146076
Norway,127973087,4658.76,16992,20635056
Oman,8987087,26.5,33,746664
Panama,70265659,1744.06,3483,1987956
Paraguay,124641969,1366.37,4783,766512
Philippines,1065068179,435.83,21330,277236
Poland,866180029,4397.62,139098,2346180
Portugal,261258816,3673.36,24061,4593120
Puerto Rico,105386625,3789.28,9043,6827184
Qatar,21870545,318.15,574,12060648
Republic of Korea,1354944936,9350.45,261730,5506068
Romania,575065963,4171.55,72777,1600344
Russian Federation,3690802620,11305.13,1209742,2112096
Saint Kitts and Nevis,117300,0,0,198900
Saint Lucia,3910520,2420.12,230,1945116
Saint Vincent and Grenadines,2437662,1726.63,124,1486392
San Marino,78825,145.62,4,1931892
Serbia,126140138,4787.45,24179,965796
Seychelles,1392816,1615.7,98,2301636
Singapore,94242441,6340.98,10089,14154696
Slovakia,111833713,3318.16,13437,2778864
Slovenia,40268619,7012.62,10615,4697844
South Africa,873130762,231.49,7321,1341480
Spain,1227661095,3509.06,100202,7805364
Sri Lanka,182525626,4658.96,55641,119364
Suriname,11639269,7162.32,2166,1462260
Sweden,253297131,5247.72,37795,14806012
Switzerland,149994010,4794.07,26217,15871404
Thailand,1584800281,2362.67,110643,1193102
Trinidad and Tobago,31243097,4479.51,4039,2860608
Turkey,482640582,199.17,10131,1019280
Turkmenistan,115576818,2994.73,8624,911100
Ukraine,1286469184,8931.66,319950,627492
United Arab Emirates,36502275,94.89,622,3035664
United Kingdom,1738767780,2790.92,136805,11869908
United States,8054027201,5140.97,1034013,14608296
Uruguay,84068943,6538.96,13138,2561016
Uzbekistan,486422532,2138.17,34803,257712
