Row,Column,Percentage,Category
1,1,1.00%,Boomers
1,2,2.00%,Boomers
1,3,3.00%,Boomers
1,4,4.00%,Boomers
1,5,5.00%,Boomers
1,6,6.00%,Boomers
1,7,7.00%,Boomers
1,8,8.00%,Boomers
1,9,9.00%,Boomers
1,10,10.00%,Boomers
2,1,11.00%,Boomers
2,2,12.00%,Boomers
2,3,13.00%,Boomers
2,4,14.00%,Boomers
2,5,15.00%,Boomers
2,6,16.00%,Boomers
2,7,17.00%,Boomers
2,8,18.00%,Boomers
2,9,19.00%,Boomers
2,10,20.00%,Boomers
3,1,21.00%,Boomers
3,2,22.00%,Boomers
3,3,23.00%,Boomers
3,4,24.00%,Boomers
3,5,25.00%,Boomers
3,6,26.00%,Boomers
3,7,27.00%,Boomers
3,8,28.00%,Boomers
3,9,29.00%,Boomers
3,10,30.00%,Boomers
4,1,31.00%,Boomers
4,2,32.00%,Boomers
4,3,33.00%,Boomers
4,4,34.00%,Silent
4,5,35.00%,Silent
4,6,36.00%,Silent
4,7,37.00%,Silent
4,8,38.00%,Silent
4,9,39.00%,Silent
4,10,40.00%,Silent
5,1,41.00%,Silent
5,2,42.00%,Silent
5,3,43.00%,Silent
5,4,44.00%,Silent
5,5,45.00%,Silent
5,6,46.00%,Silent
5,7,47.00%,Silent
5,8,48.00%,Silent
5,9,49.00%,Silent
5,10,50.00%,Silent
6,1,51.00%,Silent
6,2,52.00%,Silent
6,3,53.00%,Silent
6,4,54.00%,Silent
6,5,55.00%,Silent
6,6,56.00%,Silent
6,7,57.00%,Silent
6,8,58.00%,Silent
6,9,59.00%,Silent
6,10,60.00%,Generation X
7,1,61.00%,Generation X
7,2,62.00%,Generation X
7,3,63.00%,Generation X
7,4,64.00%,Generation X
7,5,65.00%,Generation X
7,6,66.00%,Generation X
7,7,67.00%,Generation X
7,8,68.00%,Generation X
7,9,69.00%,Generation X
7,10,70.00%,Generation X
8,1,71.00%,Generation X
8,2,72.00%,Generation X
8,3,73.00%,Generation X
8,4,74.00%,Generation X
8,5,75.00%,Generation X
8,6,76.00%,Generation X
8,7,77.00%,Generation X
8,8,78.00%,Generation X
8,9,79.00%,Generation X
8,10,80.00%,Generation X
9,1,81.00%,Generation X
9,2,82.00%,Generation X
9,3,83.00%,Generation X
9,4,84.00%,Others
9,5,85.00%,Others
9,6,86.00%,Others
9,7,87.00%,Others
9,8,88.00%,Others
9,9,89.00%,Others
9,10,90.00%,Others
10,1,91.00%,Others
10,2,92.00%,Others
10,3,93.00%,Others
10,4,94.00%,Others
10,5,95.00%,Others
10,6,96.00%,Others
10,7,97.00%,Others
10,8,98.00%,Others
10,9,99.00%,Others
10,10,100.00%,Others
