country,year,gender,age,suicides_no,population,suicides/100k pop, gdp_for_year ($) ,gdp,generation,continent
South Africa,1997,female,35-54 years,7,4431607,0.16,"152,586,154,514",3960,Boomers,Africa
South Africa,1996,female,35-54 years,8,4301900,0.19,"147,607,982,695",3908,Boomers,Africa
South Africa,2002,female,35-54 years,9,5057440,0.18,"115,748,110,113",2769,Boomers,Africa
South Africa,1998,female,35-54 years,10,4559720,0.22,"137,774,361,015",3512,Boomers,Africa
South Africa,2003,female,35-54 years,17,5172481,0.33,"175,256,916,996",4132,Boomers,Africa
South Africa,2000,female,35-54 years,18,4823228,0.37,"136,361,854,808",3361,Boomers,Africa
South Africa,1999,female,35-54 years,19,4689648,0.41,"136,631,966,609",3424,Boomers,Africa
South Africa,1997,male,35-54 years,21,4141015,0.51,"152,586,154,514",3960,Boomers,Africa
South Africa,2001,female,35-54 years,21,4940098,0.43,"121,600,818,310",2953,Boomers,Africa
South Africa,2006,female,35-54 years,23,5474446,0.42,"271,811,088,781",6166,Boomers,Africa
South Africa,2005,female,35-54 years,24,5380632,0.45,"257,671,413,751",5914,Boomers,Africa
South Africa,2009,female,35-54 years,25,5714588,0.44,"297,216,730,669",6517,Boomers,Africa
South Africa,2008,female,35-54 years,26,5219348,0.5,"287,099,991,517",6573,Boomers,Africa
South Africa,2004,female,35-54 years,27,5280926,0.51,"228,937,347,866",5323,Boomers,Africa
South Africa,2007,female,35-54 years,28,5558737,0.5,"299,033,511,000",6708,Boomers,Africa
South Africa,1996,male,35-54 years,36,4031071,0.89,"147,607,982,695",3908,Boomers,Africa
South Africa,1998,male,35-54 years,42,4251380,0.99,"137,774,361,015",3512,Boomers,Africa
South Africa,2003,male,35-54 years,58,4760427,1.22,"175,256,916,996",4132,Boomers,Africa
South Africa,2002,male,35-54 years,67,4667760,1.44,"115,748,110,113",2769,Boomers,Africa
South Africa,1999,male,35-54 years,71,4365175,1.63,"136,631,966,609",3424,Boomers,Africa
South Africa,2000,male,35-54 years,79,4484198,1.76,"136,361,854,808",3361,Boomers,Africa
South Africa,2009,male,35-54 years,79,5245122,1.51,"297,216,730,669",6517,Boomers,Africa
South Africa,2004,male,35-54 years,88,4851225,1.81,"228,937,347,866",5323,Boomers,Africa
South Africa,2001,male,35-54 years,99,4575178,2.16,"121,600,818,310",2953,Boomers,Africa
South Africa,2007,male,35-54 years,101,5090390,1.98,"299,033,511,000",6708,Boomers,Africa
South Africa,2008,male,35-54 years,112,4596136,2.44,"287,099,991,517",6573,Boomers,Africa
South Africa,2005,male,35-54 years,113,4940028,2.29,"257,671,413,751",5914,Boomers,Africa
South Africa,2006,male,35-54 years,113,5016840,2.25,"271,811,088,781",6166,Boomers,Africa
South Africa,2011,female,55-74 years,7,2742168,0.26,"416,878,162,441",8906,Boomers,Africa
South Africa,2015,female,55-74 years,10,3155486,0.32,"317,741,039,198",6403,Boomers,Africa
South Africa,2014,female,55-74 years,11,3044479,0.36,"350,904,575,292",7174,Boomers,Africa
South Africa,2012,female,55-74 years,13,2837036,0.46,"396,332,702,639",8347,Boomers,Africa
South Africa,2013,female,55-74 years,15,2938056,0.51,"366,829,390,479",7612,Boomers,Africa
South Africa,2011,male,55-74 years,28,2131366,1.31,"416,878,162,441",8906,Boomers,Africa
South Africa,2012,male,55-74 years,35,2198707,1.59,"396,332,702,639",8347,Boomers,Africa
South Africa,2014,male,55-74 years,40,2347004,1.7,"350,904,575,292",7174,Boomers,Africa
South Africa,2015,male,55-74 years,41,2426511,1.69,"317,741,039,198",6403,Boomers,Africa
South Africa,2013,male,55-74 years,44,2270829,1.94,"366,829,390,479",7612,Boomers,Africa
