Year,Students,State
2002,425499,New South Wales
2002,399008,Victoria
2002,203755,Queensland
2002,54324,South Australia
2002,144575,Western Australia
2002,13454,Tasmania
2002,2291,Northern Territory
2002,30524,Australian Capital Territory
2002,0,Other Territories
2003,501418,New South Wales
2003,480415,Victoria
2003,231056,Queensland
2003,71086,South Australia
2003,170201,Western Australia
2003,15994,Tasmania
2003,2230,Northern Territory
2003,39028,Australian Capital Territory
2003,0,Other Territories
2004,578447,New South Wales
2004,541344,Victoria
2004,256339,Queensland
2004,88197,South Australia
2004,180155,Western Australia
2004,18891,Tasmania
2004,1703,Northern Territory
2004,42914,Australian Capital Territory
2004,0,Other Territories
2005,671453,New South Wales
2005,585533,Victoria
2005,272443,Queensland
2005,106252,South Australia
2005,185512,Western Australia
2005,21678,Tasmania
2005,1602,Northern Territory
2005,44423,Australian Capital Territory
2005,0,Other Territories
2006,709446,New South Wales
2006,603421,Victoria
2006,277267,Queensland
2006,121835,South Australia
2006,187779,Western Australia
2006,25064,Tasmania
2006,2266,Northern Territory
2006,45237,Australian Capital Territory
2006,0,Other Territories
2007,728949,New South Wales
2007,627562,Victoria
2007,278720,Queensland
2007,132713,South Australia
2007,185681,Western Australia
2007,27588,Tasmania
2007,2917,Northern Territory
2007,46456,Australian Capital Territory
2007,0,Other Territories
2008,738573,New South Wales
2008,652518,Victoria
2008,294494,Queensland
2008,140401,South Australia
2008,190406,Western Australia
2008,29547,Tasmania
2008,3562,Northern Territory
2008,50811,Australian Capital Territory
2008,0,Other Territories
2009,808434,New South Wales
2009,716459,Victoria
2009,340842,Queensland
2009,156594,South Australia
2009,212188,Western Australia
2009,31793,Tasmania
2009,4473,Northern Territory
2009,61530,Australian Capital Territory
2009,0,Other Territories
2010,877877,New South Wales
2010,761622,Victoria
2010,391942,Queensland
2010,169464,South Australia
2010,224869,Western Australia
2010,35118,Tasmania
2010,5528,Northern Territory
2010,75883,Australian Capital Territory
2010,30,Other Territories
2011,890792,New South Wales
2011,771109,Victoria
2011,395806,Queensland
2011,173313,South Australia
2011,221432,Western Australia
2011,36178,Tasmania
2011,6826,Northern Territory
2011,84126,Australian Capital Territory
2011,161,Other Territories
2012,848558,New South Wales
2012,734592,Victoria
2012,374961,Queensland
2012,165648,South Australia
2012,203277,Western Australia
2012,35868,Tasmania
2012,8058,Northern Territory
2012,84572,Australian Capital Territory
2012,491,Other Territories
2013,830162,New South Wales
2013,732492,Victoria
2013,368133,Queensland
2013,158197,South Australia
2013,191318,Western Australia
2013,35581,Tasmania
2013,9567,Northern Territory
2013,80992,Australian Capital Territory
2013,716,Other Territories
2014,872976,New South Wales
2014,817069,Victoria
2014,392392,Queensland
2014,163469,South Australia
2014,191382,Western Australia
2014,33380,Tasmania
2014,10883,Northern Territory
2014,85539,Australian Capital Territory
2014,784,Other Territories
2015,942668,New South Wales
2015,936923,Victoria
2015,408347,Queensland
2015,172750,South Australia
2015,196162,Western Australia
2015,37586,Tasmania
2015,13253,Northern Territory
2015,91160,Australian Capital Territory
2015,350,Other Territories
2016,1085797,New South Wales
2016,1086488,Victoria
2016,439573,Queensland
2016,187407,South Australia
2016,211971,Western Australia
2016,44137,Tasmania
2016,15438,Northern Territory
2016,101519,Australian Capital Territory
2016,84,Other Territories
2017,1282017,New South Wales
2017,1260108,Victoria
2017,479089,Queensland
2017,200459,South Australia
2017,223619,Western Australia
2017,53530,Tasmania
2017,16292,Northern Territory
2017,117517,Australian Capital Territory
2017,12,Other Territories
2018,1491401,New South Wales
2018,1453368,Victoria
2018,528725,Queensland
2018,219927,South Australia
2018,232316,Western Australia
2018,63199,Tasmania
2018,17571,Northern Territory
2018,135958,Australian Capital Territory
2018,0,Other Territories
2019,1645407,New South Wales
2019,1620260,Victoria
2019,591519,Queensland
2019,252189,South Australia
2019,261461,Western Australia
2019,71571,Tasmania
2019,19963,Northern Territory
2019,142038,Australian Capital Territory
2019,0,Other Territories
2020,1647530,New South Wales
2020,1535674,Victoria
2020,577797,Queensland
2020,274550,South Australia
2020,263718,Western Australia
2020,72261,Tasmania
2020,22955,Northern Territory
2020,131266,Australian Capital Territory
2020,0,Other Territories
2021,685890,New South Wales
2021,582809,Victoria
2021,240964,Queensland
2021,113314,South Australia
2021,103200,Western Australia
2021,26421,Tasmania
2021,10354,Northern Territory
2021,54809,Australian Capital Territory
2021,0,Other Territories
