Year,NSW,VIC,QLD,SA,WA,TAS,NT,ACT,NAT,Enrolment,Commencement,State
2002,425499,399008,203755,54324,144575,13454,2291,30524,0,1273430,522650,New South Wales
2003,501418,480415,231056,71086,170201,15994,2230,39028,0,1511428,562192,Victoria
2004,578447,541344,256339,88197,180155,18891,1703,42914,0,1707990,610482,Queensland
2005,671453,585533,272443,106252,185512,21678,1602,44423,0,1888896,633288,South Australia
2006,709446,603421,277267,121835,187779,25064,2266,45237,0,1972315,645631,Western Australia
2007,728949,627562,278720,132713,185681,27588,2917,46456,0,2030586,684150,Tasmania
2008,738573,652518,294494,140401,190406,29547,3562,50811,0,2100312,745320,Northern Territory
2009,808434,716459,340842,156594,212188,31793,4473,61530,0,2332313,841937,Australian Capital Territory
2010,877877,761622,391942,169464,224869,35118,5528,75883,30,2542333,854185,Other Territories
2011,890792,771109,395806,173313,221432,36178,6826,84126,161,2579743,834331,New South Wales
2012,848558,734592,374961,165648,203277,35868,8058,84572,491,2456025,761445,Victoria
2013,830162,732492,368133,158197,191318,35581,9567,80992,716,2407158,786966,Queensland
2014,872976,817069,392392,163469,191382,33380,10883,85539,784,2567874,888570,South Australia
2015,942668,936923,408347,172750,196162,37586,13253,91160,350,2799199,940675,Western Australia
2016,1085797,1086488,439573,187407,211971,44137,15438,101519,84,3172414,1080454,Tasmania
2017,1282017,1260108,479089,200459,223619,53530,16292,117517,12,3632643,1227879,Northern Territory
2018,1491401,1453368,528725,219927,232316,63199,17571,135958,0,4142465,1351493,Australian Capital Territory
2019,1645407,1620260,591519,252189,261461,71571,19963,142038,0,4604408,1442252,Other Territories
2020,1647530,1535674,577797,274550,263718,72261,22955,131266,0,4525751,1140443,New South Wales
2021,685890,582809,240964,113314,103200,26421,10354,54809,0,1817761,283639,Victoria
