"Country","City","lat","lng","Population","Population_Density","Price_per_Square_Meter","Continent"
"Argentina","Buenos Aires",-34.5997,-58.3819,16157000,7130.185349,2916,"Americas"
"Australia","Adelaide",-34.9289,138.6011,1345777,1846.058985,3189,"Oceania"
"Australia","Brisbane",-27.4678,153.0281,2514184,1568.424205,4690,"Oceania"
"Australia","Melbourne",-37.8136,144.9631,5078193,2441.438942,6664,"Oceania"
"Australia","Sydney",-33.865,151.2094,5312163,3148.881446,10277,"Oceania"
"Australia","Perth",-31.9522,115.8589,2059484,2136.394191,4946,"Oceania"
"Austria","Vienna",48.2083,16.3731,1911191,4218.96468,7203,"Europe"
"Belgium","Brussels",50.8333,4.3333,1743000,2448.033708,3543,"Europe"
"Belgium","Antwerp",51.2206,4.4003,920000,1543.624161,2826,"Europe"
"Brazil","Curitiba",-25.4297,-49.2719,1879355,2900.239198,1452,"Americas"
"Brazil","Rio de Janeiro",-22.9083,-43.1964,12272000,7767.088608,2840,"Americas"
"Brazil","Campinas",-22.9009,-47.0573,1164098,2366.052846,1701,"Americas"
"Brazil","Recife",-8.0539,-34.8808,1555039,4135.742021,1561,"Americas"
"Brazil","Belo Horizonte",-19.9281,-43.9419,5159000,5943.548387,1772,"Americas"
"Brazil","Porto Alegre",-30.0328,-51.23,1484941,2547.068611,1339,"Americas"
"Cambodia","Phnom Penh",11.5696,104.921,2129371,4110.754826,2425,"Asia"
"Canada","Calgary",51.05,-114.0667,1239220,1765.270655,3720,"Americas"
"Canada","Vancouver",49.25,-123.1,2264823,2022.163393,8696,"Americas"
"Canada","Winnipeg",49.8844,-97.1464,705244,1581.264574,2285,"Americas"
"Canada","Edmonton",53.5344,-113.4903,1062643,1250.168235,2460,"Americas"
"Canada","Toronto",43.7417,-79.3733,5429524,3280.679154,7781,"Americas"
"Chile","Santiago",-33.45,-70.6667,7007000,10813.2716,2505,"Americas"
"Denmark","Copenhagen",55.6761,12.5689,602481,738.3345588,7230,"Europe"
"Ecuador","Quito",-0.2186,-78.5097,2011388,4199.139875,1620,"Americas"
"Egypt","Cairo",30.0561,31.2394,19372000,14959.07336,654,"Africa"
"Finland","Helsinki",60.1756,24.9342,642045,1340.386221,8123,"Europe"
"France","Toulouse",43.6045,1.444,968638,1198.809406,4183,"Europe"
"France","Paris",48.8566,2.3522,11020000,4047.006978,11997,"Europe"
"France","Lyon",45.76,4.84,516092,540.9769392,5134,"Europe"
"Germany","Berlin",52.5167,13.3833,3644826,3704.091463,6377,"Europe"
"Germany","Frankfurt",50.1136,8.6797,753056,765.300813,7566,"Europe"
"Germany","Stuttgart",48.7761,9.1775,634830,1533.405797,6616,"Europe"
"Germany","Munich",48.1372,11.5755,1471508,2840.749035,11325,"Europe"
"Germany","Hamburg",53.55,10,1841179,2220.963812,6474,"Europe"
"Greece","Athens",37.9842,23.7281,664046,970.8274854,1710,"Europe"
"Hungary","Budapest",47.4983,19.0408,1752286,2496.133903,3140,"Europe"
"Iran","Tehran",35.7,51.4167,13633000,19873.17784,2737,"Asia"
"Iraq","Baghdad",33.35,44.4167,5796000,9724.832215,1832,"Asia"
"Ireland","Dublin",53.3497,-6.2603,1173179,3214.189041,10447,"Europe"
"Italy","Rome",41.8931,12.4828,2872800,3411.876485,8271,"Europe"
"Italy","Milan",45.4669,9.19,1366180,879.1377091,8454,"Europe"
"Italy","Naples",40.8333,14.25,966144,1657.193825,4088,"Europe"
"Italy","Turin",45.0667,7.7,870952,1741.904,3831,"Europe"
"Lebanon","Beirut",33.8869,35.5131,361366,557.6635802,4234,"Asia"
"Malaysia","Kuala Lumpur",3.1478,101.6953,8285000,5158.779577,2853,"Asia"
"Mexico","Guadalajara",20.6767,-103.3475,5253000,8813.758389,1225,"Americas"
"Mexico","Mexico City",19.4333,-99.1333,20996000,10133.20463,2453,"Americas"
"Netherlands","Rotterdam",51.9225,4.4792,631155,1188.615819,3728,"Europe"
"New Zealand","Auckland",-36.85,174.7833,1470100,2768.549906,6640,"Oceania"
"Pakistan","Lahore",31.5497,74.3436,11021000,17718.64952,935,"Asia"
"Peru","Lima",-12.05,-77.0333,9848000,16523.48993,1886,"Americas"
"Philippines","Manila",14.6,120.9833,23088000,16503.21658,2730,"Asia"
"Poland","Warsaw",52.2167,21.0333,1790658,3842.613734,3178,"Europe"
"Poland","Katowice",50.25,19,276499,508.2702206,1269,"Europe"
"Portugal","Lisbon",38.7452,-9.1604,506654,575.0896708,4786,"Europe"
"Portugal","Porto",41.1495,-8.6108,237591,610.7737789,3227,"Europe"
"Russia","Moscow",55.7558,37.6178,17125000,7965.116279,5119,"Europe"
"Saudi Arabia","Riyadh",24.65,46.71,6881000,6249.772934,1231,"Asia"
"South Africa","Cape Town",-33.925,18.425,433688,632.1982507,2718,"Africa"
"South Africa","Pretoria",-25.7464,28.1881,741651,1102.007429,598,"Africa"
"South Africa","Durban",-29.8583,31.025,595061,717.8057901,713,"Africa"
"Spain","Barcelona",41.3825,2.1769,4588000,5713.574097,5228,"Europe"
"Spain","Madrid",40.4167,-3.7167,6026000,6376.719577,5499,"Europe"
"Sweden","Stockholm",59.3294,18.0686,972647,1877.696911,10118,"Europe"
