Country,people_fully_vaccinated_per_hundred
Afghanistan,0.55
Africa,2.63
Albania,21.42
Algeria,1.62
Andorra,52.51
Angola,2.15
Anguilla,59.27
Antigua and Barbuda,33.52
Argentina,29.87
Armenia,2.88
Aruba,64.39
Asia,28.21
Australia,26.75
Austria,57.36
Azerbaijan,25.08
Bahamas,13.93
Bahrain,62.06
Bangladesh,4.29
Barbados,32.4
Belarus,12.59
Belgium,68.81
Belize,16.03
Benin,0.34
Bermuda,67.52
Bhutan,60.96
Bolivia,21.32
Bonaire Sint Eustatius and Saba,6.3
Bosnia and Herzegovina,11.06
Botswana,7.59
Brazil,27.65
British Virgin Islands,41.43
Brunei,18.2
Bulgaria,16.75
Burkina Faso,0.08
Cambodia,48.83
Cameroon,0.27
Canada,66.29
Cape Verde,8.79
Cayman Islands,73.82
Central African Republic,0.28
Chad,0.07
Chile,70.17
China,61.59
Colombia,28.18
Comoros,7.22
Congo,1.86
Cook Islands,54.51
Costa Rica,19.53
Croatia,39.36
Cuba,29.06
Curacao,52.23
Cyprus,58
Czechia,52.93
Democratic Republic of Congo,0.01
Denmark,71.35
Djibouti,2.28
Dominica,27.7
Dominican Republic,42.21
Ecuador,44.83
Egypt,2.78
El Salvador,40.28
England,62.84
Equatorial Guinea,10.21
Estonia,40.63
Eswatini,9.35
Europe,47.08
European Union,57.11
Faeroe Islands,69.47
Falkland Islands,50.31
Fiji,26.02
Finland,49.81
France,57.7
French Polynesia,31.85
Gabon,2.33
Gambia,5.75
Georgia,9.42
Germany,59.6
Ghana,1.28
Gibraltar,116.4
Greece,55.08
Greenland,55.07
Grenada,15.72
Guatemala,6.03
Guernsey,20.31
Guinea,2.69
Guinea-Bissau,0.15
Guyana,20.18
Haiti,0.03
High income,51.99
Honduras,10.73
Hong Kong,44.15
Hungary,57.14
Iceland,76.75
India,10.22
Indonesia,12.56
Iran,7.23
Iraq,1.2
Ireland,66.99
Isle of Man,71.59
Israel,62.22
Italy,59.96
Jamaica,4.78
Japan,43.85
Jersey,71.02
Jordan,27.93
Kazakhstan,27.82
Kenya,1.45
Kosovo,11.03
Kuwait,21.33
Kyrgyzstan,6.52
Laos,13.39
Latvia,40.38
Lebanon,15.74
Lesotho,1.49
Liberia,0.53
Libya,0.75
Liechtenstein,53.52
Lithuania,55.43
Low income,0.5
Lower middle income,8.44
Luxembourg,55.67
Macao,40.16
Malawi,2.02
Malaysia,44.2
Maldives,55.38
Mali,0.41
Malta,80.03
Mauritania,0.54
Mauritius,55.34
Mexico,25.5
Moldova,16.8
Monaco,49.61
Mongolia,62.6
Montenegro,28.82
Montserrat,27.46
Morocco,38.39
Mozambique,2.04
Myanmar,3.28
Namibia,3.9
Nauru,66.69
Nepal,13.66
Netherlands,62.32
New Caledonia,23.34
New Zealand,21.61
Nicaragua,3.02
Niger,0.34
Nigeria,0.67
Niue,1.98
North America,41.58
North Macedonia,24.81
Northern Cyprus,37.28
Northern Ireland,61.03
Norway,53.39
Oceania,19.58
Oman,19.97
Pakistan,6.78
Palestine,8.23
Panama,30.55
Papua New Guinea,0.23
Paraguay,23.02
Peru,23.38
Philippines,12.04
Pitcairn,76.6
Poland,49.49
Portugal,73.57
Qatar,70.18
Romania,26.73
Russia,24.71
Rwanda,3.62
Saint Helena,57.93
Saint Kitts and Nevis,39.44
Saint Lucia,15.05
Saint Vincent and the Grenadines,9.23
Samoa,18.75
San Marino,70.43
Sao Tome and Principe,5.32
Saudi Arabia,39.98
Scotland,66.61
Senegal,3.29
Serbia,41.14
Seychelles,70.48
Sierra Leone,0.19
Singapore,74.02
Sint Maarten (Dutch part),52.12
Slovakia,39.29
Slovenia,43.29
Solomon Islands,2.05
Somalia,0.57
South Africa,9.33
South America,29.21
South Korea,28.46
South Sudan,0.04
Spain,69.44
Sri Lanka,31.97
Sudan,0.41
Suriname,21.8
Sweden,54.5
Switzerland,50.67
Syria,0.86
Taiwan,3.65
Tajikistan,3.73
Tanzania,0.36
Thailand,9.43
Timor,13.5
Togo,2.11
Tonga,24.15
Trinidad and Tobago,27.82
Tunisia,14.77
Turkey,42.95
Turkmenistan,0.16
Turks and Caicos Islands,59.87
Uganda,0.51
Ukraine,8.27
United Arab Emirates,74.24
United Kingdom,62.32
United States,51.47
Upper middle income,45.02
Uruguay,71.63
Uzbekistan,3.63
Vanuatu,0.55
Venezuela,11.62
Vietnam,2.37
Wales,68.61
Wallis and Futuna,43.06
World,26.56
Yemen,0.04
Zambia,1.38
Zimbabwe,10.58
