id,name,parent,size
1,flare,,
2,analytics,1,
3,cluster,2,
4,AgglomerativeCluster,3,3938
5,CommunityStructure,3,3812
6,HierarchicalCluster,3,6714
7,MergeEdge,3,743
8,graph,2,
9,BetweennessCentrality,8,3534
10,LinkDistance,8,5731
11,MaxFlowMinCut,8,7840
12,ShortestPaths,8,5914
13,SpanningTree,8,3416
14,optimization,2,
15,AspectRatioBanker,14,7074
16,animate,1,
17,Easing,16,17010
18,FunctionSequence,16,5842
19,interpolate,16,
20,ArrayInterpolator,19,1983
21,ColorInterpolator,19,2047
22,DateInterpolator,19,1375
23,Interpolator,19,8746
24,MatrixInterpolator,19,2202
25,NumberInterpolator,19,1382
26,ObjectInterpolator,19,1629
27,PointInterpolator,19,1675
28,RectangleInterpolator,19,2042
29,ISchedulable,16,1041
30,Parallel,16,5176
31,Pause,16,449
32,Scheduler,16,5593
33,Sequence,16,5534
34,Transition,16,9201
35,Transitioner,16,19975
36,TransitionEvent,16,1116
37,Tween,16,6006
38,data,1,
39,converters,38,
40,Converters,39,721
41,DelimitedTextConverter,39,4294
42,GraphMLConverter,39,9800
43,IDataConverter,39,1314
44,JSONConverter,39,2220
45,DataField,38,1759
46,DataSchema,38,2165
47,DataSet,38,586
48,DataSource,38,3331
49,DataTable,38,772
50,DataUtil,38,3322
51,display,1,
52,DirtySprite,51,8833
53,LineSprite,51,1732
54,RectSprite,51,3623
55,TextSprite,51,10066
56,flex,1,
57,FlareVis,56,4116
58,physics,1,
59,DragForce,58,1082
60,GravityForce,58,1336
61,IForce,58,319
62,NBodyForce,58,10498
63,Particle,58,2822
64,Simulation,58,9983
65,Spring,58,2213
66,SpringForce,58,1681
67,query,1,
68,AggregateExpression,67,1616
69,And,67,1027
70,Arithmetic,67,3891
71,Average,67,891
72,BinaryExpression,67,2893
73,Comparison,67,5103
74,CompositeExpression,67,3677
75,Count,67,781
76,DateUtil,67,4141
77,Distinct,67,933
78,Expression,67,5130
79,ExpressionIterator,67,3617
80,Fn,67,3240
81,If,67,2732
82,IsA,67,2039
83,Literal,67,1214
84,Match,67,3748
85,Maximum,67,843
86,methods,67,
87,add,86,593
88,and,86,330
89,average,86,287
90,count,86,277
91,distinct,86,292
92,div,86,595
93,eq,86,594
94,fn,86,460
95,gt,86,603
96,gte,86,625
97,iff,86,748
98,isa,86,461
99,lt,86,597
100,lte,86,619
101,max,86,283
102,min,86,283
103,mod,86,591
104,mul,86,603
105,neq,86,599
106,not,86,386
107,or,86,323
108,orderby,86,307
109,range,86,772
110,select,86,296
111,stddev,86,363
112,sub,86,600
113,sum,86,280
114,update,86,307
115,variance,86,335
116,where,86,299
117,xor,86,354
118,_,86,264
119,Minimum,67,843
120,Not,67,1554
121,Or,67,970
122,Query,67,13896
123,Range,67,1594
124,StringUtil,67,4130
125,Sum,67,791
126,Variable,67,1124
127,Variance,67,1876
128,Xor,67,1101
129,scale,1,
130,IScaleMap,129,2105
131,LinearScale,129,1316
132,LogScale,129,3151
133,OrdinalScale,129,3770
134,QuantileScale,129,2435
135,QuantitativeScale,129,4839
136,RootScale,129,1756
137,Scale,129,4268
138,ScaleType,129,1821
139,TimeScale,129,5833
140,util,1,
141,Arrays,140,8258
142,Colors,140,10001
143,Dates,140,8217
144,Displays,140,12555
145,Filter,140,2324
146,Geometry,140,10993
147,heap,140,
148,FibonacciHeap,147,9354
149,HeapNode,147,1233
150,IEvaluable,140,335
151,IPredicate,140,383
152,IValueProxy,140,874
153,math,140,
154,DenseMatrix,153,3165
155,IMatrix,153,2815
156,SparseMatrix,153,3366
157,Maths,140,17705
158,Orientation,140,1486
159,palette,140,
160,ColorPalette,159,6367
161,Palette,159,1229
162,ShapePalette,159,2059
163,SizePalette,159,2291
164,Property,140,5559
165,Shapes,140,19118
166,Sort,140,6887
167,Stats,140,6557
168,Strings,140,22026
169,vis,1,
170,axis,169,
171,Axes,170,1302
172,Axis,170,24593
173,AxisGridLine,170,652
174,AxisLabel,170,636
175,CartesianAxes,170,6703
176,controls,169,
177,AnchorControl,176,2138
178,ClickControl,176,3824
179,Control,176,1353
180,ControlList,176,4665
181,DragControl,176,2649
182,ExpandControl,176,2832
183,HoverControl,176,4896
184,IControl,176,763
185,PanZoomControl,176,5222
186,SelectionControl,176,7862
187,TooltipControl,176,8435
188,data,169,
189,Data,188,20544
190,DataList,188,19788
191,DataSprite,188,10349
192,EdgeSprite,188,3301
193,NodeSprite,188,19382
194,render,188,
195,ArrowType,194,698
196,EdgeRenderer,194,5569
197,IRenderer,194,353
198,ShapeRenderer,194,2247
199,ScaleBinding,188,11275
200,Tree,188,7147
201,TreeBuilder,188,9930
202,events,169,
203,DataEvent,202,2313
204,SelectionEvent,202,1880
205,TooltipEvent,202,1701
206,VisualizationEvent,202,1117
207,legend,169,
208,Legend,207,20859
209,LegendItem,207,4614
210,LegendRange,207,10530
211,operator,169,
212,distortion,211,
213,BifocalDistortion,212,4461
214,Distortion,212,6314
215,FisheyeDistortion,212,3444
216,encoder,211,
217,ColorEncoder,216,3179
218,Encoder,216,4060
219,PropertyEncoder,216,4138
220,ShapeEncoder,216,1690
221,SizeEncoder,216,1830
222,filter,211,
223,FisheyeTreeFilter,222,5219
224,GraphDistanceFilter,222,3165
225,VisibilityFilter,222,3509
226,IOperator,211,1286
227,label,211,
228,Labeler,227,9956
229,RadialLabeler,227,3899
230,StackedAreaLabeler,227,3202
231,layout,211,
232,AxisLayout,231,6725
233,BundledEdgeRouter,231,3727
234,CircleLayout,231,9317
235,CirclePackingLayout,231,12003
236,DendrogramLayout,231,4853
237,ForceDirectedLayout,231,8411
238,IcicleTreeLayout,231,4864
239,IndentedTreeLayout,231,3174
240,Layout,231,7881
241,NodeLinkTreeLayout,231,12870
242,PieLayout,231,2728
243,RadialTreeLayout,231,12348
244,RandomLayout,231,870
245,StackedAreaLayout,231,9121
246,TreeMapLayout,231,9191
247,Operator,211,2490
248,OperatorList,211,5248
249,OperatorSequence,211,4190
250,OperatorSwitch,211,2581
251,SortOperator,211,2023
252,Visualization,169,16540
