Country,Population,SeaLevelRiseScenarios,ImpactedPopulation
Argentina,37032000,Onemeter,199601
Bahamas,304000,Onemeter,13869
Belize,226000,Onemeter,5532
Brazil,170406000,Onemeter,1026618
Chile,15211000,Onemeter,39615
Colombia,42105000,Onemeter,142888
Costa Rica,4024000,Onemeter,5152
Cuba,11199000,Onemeter,77460
Dominican Republic,8373000,Onemeter,27631
Ecuador,12646000,Onemeter,137539
El Salvador,6278000,Onemeter,9920
French Guiana,165000,Onemeter,8940
Guatemala,11385000,Onemeter,3133
Guyana,761000,Onemeter,47924
Haiti,8142000,Onemeter,11830
Honduras,6417000,Onemeter,7198
Jamaica,2576000,Onemeter,24106
Mexico,98872000,Onemeter,590895
Suriname,417000,Onemeter,29203
Nicaragua,5071000,Onemeter,6276
Peru,25662000,Onemeter,38455
Panama,2856000,Onemeter,9924
Puerto Rico,3915000,Onemeter,103834
Uruguay,3337000,Onemeter,82885
Venezuela,24170000,Onemeter,235500
Algeria,30291000,Onemeter,171380
Egypt,67884000,Onemeter,6296292
Iran,70330000,Onemeter,240354
Kuwait,1914000,Onemeter,11429
Libya,5290000,Onemeter,156820
Morocco,29634000,Onemeter,380844
Oman,2538000,Onemeter,27252
Qatar,565000,Onemeter,9051
Saudi Arabia,20346000,Onemeter,403036
United Arab Emirates,2606000,Onemeter,119581
Tunisia,9459000,Onemeter,462490
Western Sahara,190000,Onemeter,286
Yemen,18349000,Onemeter,111983
Angola,13134000,Onemeter,24360
Benin,6272000,Onemeter,246162
"Congo, Rep.",3018000,Onemeter,2841
"Congo, Dem. Rep.",50948000,Onemeter,14205
Cameroon,14876000,Onemeter,2761
Equatorial Guinea,457000,Onemeter,466
Ethiopia,62908000,Onemeter,233919
"Gambia, The",1303000,Onemeter,45794
Gabon,1230000,Onemeter,6119
Ghana,19306000,Onemeter,150143
Guinea,8154000,Onemeter,52659
Ivory Coast,16013000,Onemeter,217073
Kenya,30669000,Onemeter,15627
Liberia,2913000,Onemeter,46660
Madagascar,15970000,Onemeter,85089
Mauritania,2665000,Onemeter,211834
Mozambique,18292000,Onemeter,71478
Nigeria,113862000,Onemeter,455209
Guinea-Bissau,1199000,Onemeter,10215
South Africa,43309000,Onemeter,37071
Senegal,9421000,Onemeter,206078
Sierra Leone,4405000,Onemeter,25370
Somalia,8778000,Onemeter,39302
Sudan,31095000,Onemeter,26805
Togo,4527000,Onemeter,40904
Sao Tome and Principe,138000,Onemeter,174
"Tanzania, United Republic of",35119000,Onemeter,41313
Namibia,1757000,Onemeter,3616
Djibouti,632000,Onemeter,17301
Myanmar (Burma),47749000,Onemeter,591118
Brunei,328000,Onemeter,1584
Cambodia,13104000,Onemeter,130478
China,1275133000,Onemeter,22699295
Indonesia,212092000,Onemeter,2774692
North Korea,22268000,Onemeter,86211
South Korea,46740000,Onemeter,228762
Malaysia,22218000,Onemeter,97384
Papua New Guinea,4809000,Onemeter,4963
Philippines,75653000,Onemeter,805406
Thailand,62806000,Onemeter,686175
Taiwan China,22370000,Onemeter,670339
Vietnam,78137000,Onemeter,8437072
Bangladesh,137439000,Onemeter,1526826
Sri Lanka,18924000,Onemeter,126368
India,1008937000,Onemeter,4446570
Pakistan,141256000,Onemeter,301960
Argentina,37032000,Twometer,425596
Bahamas,304000,Twometer,20616
Belize,226000,Twometer,15438
Brazil,170406000,Twometer,1710273
Chile,15211000,Twometer,49111
Colombia,42105000,Twometer,252587
Costa Rica,4024000,Twometer,7696
Cuba,11199000,Twometer,122735
Dominican Republic,8373000,Twometer,60868
Ecuador,12646000,Twometer,229772
El Salvador,6278000,Twometer,14940
French Guiana,165000,Twometer,10041
Guatemala,11385000,Twometer,6909
Guyana,761000,Twometer,112998
Haiti,8142000,Twometer,29042
Honduras,6417000,Twometer,17169
Jamaica,2576000,Twometer,36643
Mexico,98872000,Twometer,886704
Suriname,417000,Twometer,75474
Nicaragua,5071000,Twometer,13096
Peru,25662000,Twometer,57329
Panama,2856000,Twometer,21554
Puerto Rico,3915000,Twometer,161377
Uruguay,3337000,Twometer,113646
Venezuela,24170000,Twometer,338101
Algeria,30291000,Twometer,234314
Egypt,67884000,Twometer,8160882
Iran,70330000,Twometer,406278
Kuwait,1914000,Twometer,16375
