Country,Region,Sea-LevelRiseScenarios,ImpactedGDP,TotalGDP,PercentageofGDPimpacted,TotalRegionGDP,PercentageRegion,,,,
Argentina,Latin America / Caribbean,Onemeter,1362,439897,0.309617933,19743,0.540943976,,,,
Bahamas,Latin America / Caribbean,Onemeter,235,4962,4.735993551,19743,0.540943976,,,,
Belize,Latin America / Caribbean,Onemeter,27,1312,2.057926829,19743,0.540943976,,,,
Brazil,Latin America / Caribbean,Onemeter,7134,1233633,0.578291923,19743,0.540943976,,,,
Chile,Latin America / Caribbean,Onemeter,113,135982,0.083099234,19743,0.540943976,,,,
Colombia,Latin America / Caribbean,Onemeter,594,296427,0.200386604,19743,0.540943976,,,,
Costa Rica,Latin America / Caribbean,Onemeter,43,38381,0.1120346,19743,0.540943976,,,,
Cuba,Latin America / Caribbean,Onemeter,86,19200,0.447916667,19743,0.540943976,,,,
Dominican Republic,Latin America / Caribbean,Onemeter,88,57877,0.152046582,19743,0.540943976,,,,
Ecuador,Latin America / Caribbean,Onemeter,1065,40046,2.659441642,19743,0.540943976,,,,
El Salvador,Latin America / Caribbean,Onemeter,93,32878,0.282863921,19743,0.540943976,,,,
French Guiana,Latin America / Caribbean,Onemeter,59,1951,3.02409021,19743,0.540943976,,,,
Guatemala,Latin America / Caribbean,Onemeter,10,50422,0.019832613,19743,0.540943976,,,,
Guyana,Latin America / Caribbean,Onemeter,161,3469,4.641106947,19743,0.540943976,,,,
Haiti,Latin America / Caribbean,Onemeter,12,15299,0.078436499,19743,0.540943976,,,,
Honduras,Latin America / Caribbean,Onemeter,15,18159,0.082603668,19743,0.540943976,,,,
Jamaica,Latin America / Caribbean,Onemeter,62,9226,0.672013874,19743,0.540943976,,,,
Mexico,Latin America / Caribbean,Onemeter,4565,839150,0.54400286,19743,0.540943976,,,,
Suriname,Latin America / Caribbean,Onemeter,95,1480,6.418918919,19743,0.540943976,,,,
Nicaragua,Latin America / Caribbean,Onemeter,13,13100,0.099236641,19743,0.540943976,,,,
Peru,Latin America / Caribbean,Onemeter,774,120087,0.644532714,19743,0.540943976,,,,
Panama,Latin America / Caribbean,Onemeter,142,16653,0.852699213,19743,0.540943976,,,,
Puerto Rico,Latin America / Caribbean,Onemeter,1473,96388,1.528198531,19743,0.540943976,,,,
Uruguay,Latin America / Caribbean,Onemeter,428,28887,1.481635338,19743,0.540943976,,,,
Venezuela,Latin America / Caribbean,Onemeter,1094,134865,0.811181552,19743,0.540943976,,,,
Argentina,Latin America / Caribbean,Twometer,3266,439897,0.742446527,36626,1.003526013,,,,
Bahamas,Latin America / Caribbean,Twometer,397,4962,8.000806127,36626,1.003526013,,,,
Belize,Latin America / Caribbean,Twometer,46,1312,3.506097561,36626,1.003526013,,,,
Brazil,Latin America / Caribbean,Twometer,12432,1233633,1.007755143,36626,1.003526013,,,,
Chile,Latin America / Caribbean,Twometer,151,135982,0.111044109,36626,1.003526013,,,,
Colombia,Latin America / Caribbean,Twometer,1500,296427,0.506026779,36626,1.003526013,,,,
Costa Rica,Latin America / Caribbean,Twometer,67,38381,0.17456554,36626,1.003526013,,,,
Cuba,Latin America / Caribbean,Twometer,670,19200,3.489583333,36626,1.003526013,,,,
Dominican Republic,Latin America / Caribbean,Twometer,188,57877,0.324826788,36626,1.003526013,,,,
Ecuador,Latin America / Caribbean,Twometer,1356,40046,3.386105978,36626,1.003526013,,,,
El Salvador,Latin America / Caribbean,Twometer,100,32878,0.304154754,36626,1.003526013,,,,
French Guiana,Latin America / Caribbean,Twometer,60,1951,3.075345976,36626,1.003526013,,,,
Guatemala,Latin America / Caribbean,Twometer,16,50422,0.03173218,36626,1.003526013,,,,
Guyana,Latin America / Caribbean,Twometer,283,3469,8.157970597,36626,1.003526013,,,,
Haiti,Latin America / Caribbean,Twometer,27,15299,0.176482123,36626,1.003526013,,,,
Honduras,Latin America / Caribbean,Twometer,40,18159,0.220276447,36626,1.003526013,,,,
Jamaica,Latin America / Caribbean,Twometer,76,9226,0.823758942,36626,1.003526013,,,,
Mexico,Latin America / Caribbean,Twometer,6991,839150,0.833104928,36626,1.003526013,,,,
Suriname,Latin America / Caribbean,Twometer,178,1480,12.02702703,36626,1.003526013,,,,
Nicaragua,Latin America / Caribbean,Twometer,40,13100,0.305343511,36626,1.003526013,,,,
Peru,Latin America / Caribbean,Twometer,844,120087,0.702823786,36626,1.003526013,,,,
Panama,Latin America / Caribbean,Twometer,179,16653,1.074881403,36626,1.003526013,,,,
Puerto Rico,Latin America / Caribbean,Twometer,5522,96388,5.728928912,36626,1.003526013,,,,
Uruguay,Latin America / Caribbean,Twometer,802,28887,2.776335376,36626,1.003526013,,,,
Venezuela,Latin America / Caribbean,Twometer,1395,134865,1.034367701,36626,1.003526013,,,,
Argentina,Latin America / Caribbean,Threemeter,6058,439897,1.377140558,49569,1.358154889,,,,
Bahamas,Latin America / Caribbean,Threemeter,721,4962,14.53043128,49569,1.358154889,,,,
Belize,Latin America / Caribbean,Threemeter,73,1312,5.56402439,49569,1.358154889,,,,
Brazil,Latin America / Caribbean,Threemeter,15036,1233633,1.21883899,49569,1.358154889,,,,
Chile,Latin America / Caribbean,Threemeter,244,135982,0.179435514,49569,1.358154889,,,,
Colombia,Latin America / Caribbean,Threemeter,2254,296427,0.760389573,49569,1.358154889,,,,
Costa Rica,Latin America / Caribbean,Threemeter,113,38381,0.294416508,49569,1.358154889,,,,
Cuba,Latin America / Caribbean,Threemeter,809,19200,4.213541667,49569,1.358154889,,,,
Dominican Republic,Latin America / Caribbean,Threemeter,317,57877,0.547713254,49569,1.358154889,,,,
Ecuador,Latin America / Caribbean,Threemeter,1751,40046,4.372471658,49569,1.358154889,,,,
El Salvador,Latin America / Caribbean,Threemeter,198,32878,0.602226413,49569,1.358154889,,,,
French Guiana,Latin America / Caribbean,Threemeter,65,1951,3.331624808,49569,1.358154889,,,,
Guatemala,Latin America / Caribbean,Threemeter,34,50422,0.067430883,49569,1.358154889,,,,
Guyana,Latin America / Caribbean,Threemeter,502,3469,14.47102912,49569,1.358154889,,,,
Haiti,Latin America / Caribbean,Threemeter,46,15299,0.300673247,49569,1.358154889,,,,
Honduras,Latin America / Caribbean,Threemeter,73,18159,0.402004516,49569,1.358154889,,,,
Jamaica,Latin America / Caribbean,Threemeter,107,9226,1.159765879,49569,1.358154889,,,,
Mexico,Latin America / Caribbean,Threemeter,10813,839150,1.288565811,49569,1.358154889,,,,
