SA2_MAINCODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
201011001,5704,5954,11654,431,411,842,971,906,1879,484,434,913,367,350,720,699,790,1491,766,835,1598,758,849,1611,577,638,1218,417,445,865,189,208,402,46,75,121,5379,5651,11034,324,300,620,44,48,91,0,3,4,0,0,3,46,56,98,4716,4960,9674,721,716,1439,4951,5164,10117,508,542,1047,5113,5364,10483,76,94,163,920,852,1777,362,349,710,122,147,266,140,231,370,2121,2542,4661,726,681,1406,693,714,1410,313,245,561,185,179,357,13,14,28,5307,5565,10874,262,271,529
201011002,5695,6353,12046,332,278,607,678,693,1367,455,431,888,390,395,790,663,715,1381,636,744,1383,775,887,1666,729,821,1551,571,678,1250,342,449,784,126,262,389,5305,5902,11211,391,451,841,29,33,63,3,3,5,0,0,0,32,35,69,4640,5223,9865,654,704,1355,4922,5559,10483,400,408,812,5027,5641,10660,89,76,158,631,649,1283,361,362,720,154,196,358,187,285,474,2474,3000,5479,677,717,1392,644,685,1330,285,275,564,214,285,498,8,8,16,4895,5517,10409,936,892,1825
201011003,10965,12118,23083,749,734,1480,1402,1373,2768,711,653,1367,739,818,1557,1478,1525,3008,1325,1489,2816,1440,1627,3068,1358,1526,2890,1055,1189,2246,525,760,1289,171,421,601,10302,11431,21736,662,682,1348,141,152,288,3,8,12,0,0,0,145,162,308,9417,10279,19699,877,1054,1929,9869,10871,20733,459,542,1004,9982,10960,20942,142,163,304,1304,1268,2569,507,488,990,219,312,526,301,499,801,3900,4950,8843,1413,1443,2854,1630,1500,3128,693,688,1384,459,540,997,32,23,53,10037,10980,21020,637,796,1432
201011004,11498,12736,24231,848,785,1633,1402,1337,2736,669,707,1383,1128,1228,2355,1779,1835,3613,1399,1484,2882,1284,1490,2773,1221,1526,2744,1024,1241,2262,534,734,1268,213,367,574,10850,12071,22921,653,662,1318,195,210,404,8,17,21,5,0,13,207,230,441,9444,10511,19953,1148,1223,2371,9963,11118,21088,695,706,1402,10075,11258,21337,133,131,268,1277,1207,2489,440,485,931,372,506,874,322,562,889,3750,4622,8368,1288,1470,2759,1772,1806,3580,841,904,1746,618,707,1327,41,34,73,10486,11626,22111,831,921,1754
201011005,3613,3540,7153,222,206,432,529,527,1060,275,251,526,372,273,648,324,282,606,426,497,922,463,476,935,494,488,986,347,345,684,138,148,285,31,42,79,3376,3347,6720,241,198,430,37,19,54,0,0,0,0,0,0,37,19,54,2967,2910,5873,386,373,757,3240,3196,6433,141,129,275,3227,3174,6398,61,46,105,499,491,992,226,207,434,233,165,398,91,128,218,1525,1607,3131,393,384,780,430,362,789,198,149,344,80,80,164,12,3,12,3126,3129,6254,439,412,852
201011006,3424,3660,7082,270,210,476,477,482,958,280,245,532,251,266,516,471,495,965,414,446,867,415,470,890,350,426,775,314,326,644,128,185,311,51,96,146,3225,3473,6696,199,181,388,51,69,113,3,3,7,3,0,0,50,66,121,2995,3154,6155,252,282,529,3131,3311,6446,135,144,281,3140,3339,6480,45,48,95,440,437,877,200,180,379,59,93,149,60,97,157,985,1224,2208,452,464,917,597,591,1195,277,261,546,164,174,339,14,15,28,3176,3355,6533,162,225,394
201011007,2021,1909,3932,105,113,214,346,310,654,163,149,312,108,89,201,138,169,308,268,274,543,335,319,658,290,284,571,192,147,337,58,45,109,9,10,26,1921,1831,3746,105,83,184,31,28,56,0,0,0,0,0,0,31,28,56,1722,1667,3392,164,131,300,1872,1774,3643,50,47,92,1856,1763,3619,18,22,44,314,287,604,129,118,246,30,28,54,20,57,77,513,695,1207,282,280,565,406,264,669,161,103,263,98,46,146,0,0,0,1881,1809,3690,84,65,148
201011008,7039,7590,14633,544,508,1055,948,855,1803,436,468,905,465,446,913,946,987,1932,817,869,1693,814,864,1682,779,849,1626,682,846,1525,455,575,1033,153,320,466,6609,7182,13790,429,414,839,137,191,327,8,8,15,3,8,9,153,206,355,5965,6369,12331,522,608,1131,6286,6769,13052,309,330,644,6320,6833,13150,101,101,203,855,760,1612,290,327,622,106,105,214,144,219,365,1807,2225,4037,880,971,1851,1257,1232,2486,618,597,1215,423,545,962,27,24,44,6374,6753,13126,490,659,1148
201021009,2946,2927,5870,176,159,331,407,363,766,199,184,382,146,104,248,260,282,543,378,400,779,454,512,963,436,411,850,343,329,670,116,131,244,30,55,86,2784,2782,5571,159,148,300,22,23,47,0,0,0,0,0,4,25,29,54,2329,2294,4623,368,375,745,2636,2590,5222,111,121,229,2603,2557,5160,34,25,59,364,333,697,136,150,286,36,37,73,43,113,158,839,1073,1914,389,380,777,508,399,911,253,180,432,150,119,264,5,3,9,2670,2641,5317,208,240,452
201021010,3843,3974,7821,197,191,389,459,485,946,199,199,396,170,161,331,320,336,660,438,435,874,517,554,1074,647,681,1326,543,517,1059,261,267,528,90,145,237,3598,3736,7337,244,243,482,45,55,106,0,0,3,0,0,0,44,60,109,3090,3134,6220,370,396,769,3394,3475,6870,121,127,247,3405,3473,6880,36,34,76,421,433,855,115,138,260,30,35,67,53,130,187,1056,1368,2426,490,492,978,696,530,1226,316,254,570,260,224,483,3,11,12,3380,3450,6833,420,446,870
