Federal Electoral Division,Eligible Participant - Non-responding,Eligible Participant - Response clear,Eligible Participant - Response not clear,Eligible Participant - Total,Response clear - No,Response clear - Total,Response clear - Yes
Adelaide,20477,89540,217,110234,26771,89540,62769
Aston,17664,78185,234,96083,29730,78185,48455
Ballarat,20923,93018,333,114274,27405,93018,65613
Banks,20928,84079,247,105254,46343,84079,37736
Barker,24297,81325,243,105865,38827,81325,42498
Barton,24008,85137,226,109371,47984,85137,37153
Bass,15487,58759,145,74391,22510,58759,36249
Batman,17901,93289,287,111477,26906,93289,66383
Bendigo,19360,92264,333,111957,28852,92264,63412
Bennelong,19973,86158,244,106375,43215,86158,42943
Berowra,16038,88840,212,105090,40369,88840,48471
Blair,23975,78627,256,102858,31433,78627,47194
Blaxland,25883,78332,220,104435,57926,78332,20406
Bonner,17981,84030,209,102220,31891,84030,52139
Boothby,16919,90695,234,107848,28556,90695,62139
Bowman,19691,86156,220,106067,32627,86156,53529
Braddon,17632,55627,154,73413,25573,55627,30054
Bradfield,17261,88608,202,106071,34927,88608,53681
Brand,24466,77434,194,102094,25481,77434,51953
Brisbane,20656,91574,159,112389,18762,91574,72812
Bruce,21261,73847,257,95365,39203,73847,34644
Burt,24197,77333,169,101699,33275,77333,44058
Calare,25342,89870,285,115497,35779,89870,54091
Calwell,23588,87662,331,111581,49823,87662,37839
Canberra,24399,120951,281,145631,31361,120951,89590
Canning,22157,80505,214,102876,32019,80505,48486
Capricornia,24896,73834,230,98960,33917,73834,39917
Casey,16807,88103,316,105226,28144,88103,59959
Chifley,28180,79573,263,108016,46702,79573,32871
Chisholm,17188,80292,271,97751,30844,80292,49448
Cook,18713,86309,229,105251,38804,86309,47505
Corangamite,17123,97431,326,114880,27708,97431,69723
Corio,18255,92523,359,111137,29865,92523,62658
Cowan,21330,75463,184,96977,31075,75463,44388
Cowper,25197,95810,315,121322,38317,95810,57493
Cunningham,20607,92746,268,113621,31840,92746,60906
Curtin,15706,82581,178,98465,22943,82581,59638
Dawson,26943,77138,205,104286,34599,77138,42539
Deakin,15389,84437,276,100102,28973,84437,55464
Denison,13092,60997,167,74256,15992,60997,45005
Dickson,18527,83194,190,101911,28988,83194,54206
Dobell,24275,90462,255,114992,30987,90462,59475
Dunkley,19322,87311,285,106918,24471,87311,62840
Durack,31428,66432,194,98054,27128,66432,39304
Eden-Monaro,22139,88149,249,110537,30926,88149,57223
Fadden,26234,84372,215,110821,32218,84372,52154
Fairfax,21335,90961,277,112573,32451,90961,58510
Farrer,25669,87729,277,113675,39297,87729,48432
Fenner,26196,116028,253,142477,30159,116028,85869
Fisher,19625,82806,258,102689,30783,82806,52023
Flinders,21407,97566,336,119309,29275,97566,68291
Flynn,24529,75803,262,100594,36783,75803,39020
Forde,24423,77522,231,102176,30585,77522,46937
Forrest,21752,80897,225,102874,29285,80897,51612
Fowler,29251,76629,228,106108,48782,76629,27847
Franklin,13605,65068,163,78836,20322,65068,44746
Fremantle,19878,82100,236,102214,24559,82100,57541
Gellibrand,19771,91110,278,111159,29065,91110,62045
Gilmore,23109,95708,303,119120,36386,95708,59322
Gippsland,20370,85106,338,105814,33910,85106,51196
Goldstein,14857,91389,238,106484,21663,91389,69726
Gorton,27479,93421,347,121247,43587,93421,49834
Grayndler,16074,91637,136,107847,18429,91637,73208
Greenway,25253,81996,217,107466,43980,81996,38016
Grey,25327,76561,260,102148,35750,76561,40811
Griffith,20133,90303,184,110620,21132,90303,69171
Groom,20717,82451,262,103430,41915,82451,40536
Hasluck,19570,76716,230,96516,28836,76716,47880
Herbert,29665,76551,207,106423,28441,76551,48110
Higgins,16615,89434,180,106229,19375,89434,70059
Hindmarsh,20548,91560,273,112381,33613,91560,57947
Hinkler,22425,80197,308,102930,39548,80197,40649
Holt,28260,93022,289,121571,45875,93022,47147
Hotham,19732,80510,303,100545,32524,80510,47986
Hughes,17038,87895,185,105118,36558,87895,51337
Hume,23457,87555,213,111225,36271,87555,51284
Hunter,25253,91860,251,117364,32723,91860,59137
Indi,18934,86488,324,105746,31925,86488,54563
Isaacs,20692,86708,275,107675,30063,86708,56645
Jagajaga,15363,88551,255,104169,23453,88551,65098
Kennedy,29794,70944,263,101001,37784,70944,33160
Kingsford Smith,22399,87807,225,110431,31510,87807,56297
Kingston,20764,86430,252,107446,27567,86430,58863
Kooyong,14147,86321,231,100699,22729,86321,63592
La Trobe,19002,91633,268,110903,29826,91633,61807
Lalor,30127,100491,345,130963,43429,100491,57062
Leichhardt,35841,75356,239,111436,27606,75356,47750
Lilley,20249,88662,218,109129,28671,88662,59991
Lindsay,26955,87366,234,114555,38295,87366,49071
Lingiari,34854,34924,106,69884,15898,34924,19026
Longman,24250,84844,258,109352,33576,84844,51268
Lyne,21426,92955,316,114697,41539,92955,51416
Lyons,17204,61152,176,78532,25258,61152,35894
Macarthur,27271,83230,228,110729,39907,83230,43323
Mackellar,17500,91680,208,109388,29330,91680,62350
Macquarie,18490,87958,235,106683,31778,87958,56180
Makin,21991,85290,242,107523,33743,85290,51547
Mallee,21207,78290,359,99856,35795,78290,42495
Maranoa,22553,80783,352,103688,45308,80783,35475
Maribyrnong,23762,88866,360,112988,35658,88866,53208
Mayo,17239,88608,261,106108,31247,88608,57361
McEwen,26966,112712,377,140055,39007,112712,73705
McMahon,23721,83113,242,107076,53967,83113,29146
McMillan,22403,97979,372,120754,36500,97979,61479
McPherson,23214,82520,229,105963,28486,82520,54034
Melbourne,20154,97126,182,117462,15839,97126,81287
Melbourne Ports,18745,86112,198,105055,15523,86112,70589
Menzies,15745,82763,258,98766,35626,82763,47137
Mitchell,19436,85764,176,105376,43652,85764,42112
Moncrieff,25232,79283,214,104729,28717,79283,50566
Moore,16916,83380,195,100491,26690,83380,56690
Moreton,20020,77831,220,98071,30413,77831,47418
Murray,21560,83657,357,105574,35452,83657,48205
New England,25581,84932,256,110769,40324,84932,44608
Newcastle,19970,95157,232,115359,23999,95157,71158
North Sydney,17538,90286,193,108017,25473,90286,64813
O'Connor,24925,77541,234,102700,33987,77541,43554
Oxley,23348,74020,224,97592,29365,74020,44655
Page,25645,93670,291,119606,37727,93670,55943
Parkes,29777,78516,241,108534,37108,78516,41408
Parramatta,25757,76337,197,102291,47038,76337,29299
Paterson,24264,92974,279,117517,32059,92974,60915
Pearce,26401,85004,209,111614,30699,85004,54305
Perth,19479,80477,177,100133,22967,80477,57510
Petrie,23323,86211,200,109734,33067,86211,53144
