Year,New South Wales,Victoria,Queensland,South Australia ,Western Australia,Tasmania,Northern Territory,Australian Capital Territory,Australia
2000,6485081,4730855,3537670,1500129,1892531,473200,200045,318941,19141036
2001,6558484,4790212,3611203,1507825,1917752,473890,201751,322874,19386461
2002,6599441,4845024,3700791,1515723,1938610,475998,201549,325950,19605441
2003,6634509,4900176,3788560,1524727,1966130,481411,201708,327596,19827155
2004,6669206,4957147,3872351,1532562,1994241,484778,203857,329498,20046003
2005,6718023,5023203,3964175,1544852,2029936,488098,207385,333505,20311543
2006,6786160,5103965,4055845,1561300,2076867,491515,211029,338381,20627547
2007,6883852,5199503,4159990,1578489,2135006,495858,216618,344176,21016121
2008,7001782,5313285,4275551,1597880,2208928,501774,222526,351101,21475625
2009,7101504,5419249,4367454,1618578,2263747,506461,227783,357859,21865623
2010,7179891,5495711,4436882,1632482,2319063,510219,230299,364833,22172469
2011,7258722,5591818,4518649,1647183,2385947,511739,232952,372070,22522197
2012,7353189,5709586,4611304,1663082,2457489,511813,238728,379812,22928023
2013,7454938,5832585,4685439,1678052,2502188,513015,242304,386318,23297777
2014,7562171,5957512,4747263,1693107,2528619,514040,242753,391981,23640331
2015,7671401,6093049,4804933,1705937,2547745,515694,244090,398874,23984581
2016,7801785,6244863,4883821,1717400,2563708,519810,246183,407489,24389684
2017,7919815,6387081,4963072,1728494,2582563,524969,246858,415874,24773350
2018,8036665,6528601,5050651,1743594,2606394,531777,245796,423169,25171291
2019,8137322,6660255,5136458,1761372,2646132,538195,245255,428269,25557914
2020,8169114,6657142,5193269,1770309,2669996,541209,246453,431190,25683372
2021,8176368,6648564,5206400,1771703,2675797,541965,247023,431826,25704340
