iso_code,country,year,biofuel,coal,fossil fuel,gas,hydro,low carbon,nuclear,oil,other renewable,renewables,solar,wind,energy_per_gdp,energy_per_capita
OWID_WRL,World,1965,0.0,16140.191,40552.638,6303.804,2564.441,2685.343,70.944,18108.643,49.959,2614.4,0.0,0.0,2.574,12949.971
OWID_WRL,World,1966,0.0,16324.107,42689.378,6868.8,2732.827,2883.492,95.648,19496.471,55.017,2787.844,0.0,0.0,2.575,13375.477
OWID_WRL,World,1967,0.0,16060.823,44325.448,7374.045,2793.732,2963.156,113.906,20890.58,55.518,2849.25,0.0,0.0,2.571,13596.333
OWID_WRL,World,1968,0.0,16301.16,47020.964,8044.338,2942.472,3148.675,144.759,22675.466,61.445,3003.916,0.0,0.0,2.573,14128.77
OWID_WRL,World,1969,0.0,16798.749,50209.059,8833.425,3115.956,3352.182,171.621,24576.884,64.606,3180.561,0.0,0.0,2.601,14775.572
OWID_WRL,World,1970,0.0,17058.622,53381.484,9614.799,3262.913,3553.379,219.096,26708.063,71.37,3334.283,0.0,0.0,2.612,15389.117
OWID_WRL,World,1971,0.0,16965.973,55463.017,10292.201,3408.517,3790.693,304.734,28204.844,77.442,3485.959,0.0,0.0,2.599,15696.423
OWID_WRL,World,1972,0.0,17154.346,58393.68,10861.368,3568.421,4074.122,422.709,30377.966,82.992,3651.413,0.0,0.0,2.603,16221.962
OWID_WRL,World,1973,0.0,17667.864,61790.732,11376.729,3619.474,4274.992,566.394,32746.14,89.125,3708.599,0.0,0.0,2.571,16823.47
OWID_WRL,World,1974,0.0,17682.065,61610.765,11656.257,3975.739,4810.626,740.556,32272.443,94.33,4070.069,0.0,0.0,2.488,16592.805
OWID_WRL,World,1975,0.0,18024.552,61634.069,11661.084,4024.697,5147.842,1027.357,31948.433,95.788,4120.485,0.0,0.0,2.447,16373.159
OWID_WRL,World,1976,0.0,18688.5,65073.273,12355.072,4008.711,5317.413,1201.866,34029.701,106.836,4115.547,0.0,0.0,2.462,16945.56
OWID_WRL,World,1977,0.0,19241.309,67216.572,12760.638,4143.536,5752.177,1495.967,35214.625,112.674,4256.209,0.0,0.0,2.449,17256.216
OWID_WRL,World,1978,0.0,19457.913,69179.136,13295.429,4484.414,6342.096,1738.319,36425.795,119.354,4603.776,0.0,0.008,2.429,17549.601
OWID_WRL,World,1979,0.0,20363.547,71507.525,14119.884,4708.863,6645.073,1807.946,37024.093,128.248,4837.128,0.0,0.017,2.42,17847.088
OWID_WRL,World,1980,0.0,20857.619,70672.85,14237.999,4810.15,6924.929,1977.569,35577.233,137.182,4947.36,0.0,0.029,2.345,17413.264
OWID_WRL,World,1981,0.0,21149.69,69840.694,14395.129,4913.625,7396.727,2335.421,34295.875,147.652,5061.306,0.0,0.029,2.313,17030.072
OWID_WRL,World,1982,0.0,21384.44,69051.151,14468.777,5002.529,7706.883,2533.829,33197.934,170.474,5173.054,0.0,0.051,2.292,16631.477
OWID_WRL,World,1983,0.0,22045.022,69716.562,14702.803,5216.03,8276.773,2871.704,32968.737,188.939,5405.069,0.008,0.091,2.282,16605.477
OWID_WRL,World,1984,0.0,22999.527,72639.879,15901.561,5392.714,9088.908,3484.915,33738.791,211.137,5603.993,0.018,0.124,2.31,17095.12
OWID_WRL,World,1985,0.0,23986.182,74036.273,16260.907,5499.379,9851.576,4135.897,33789.184,216.09,5715.68,0.033,0.178,2.3,17235.385
OWID_WRL,World,1986,0.0,24256.05,75478.664,16419.892,5573.815,10241.787,4429.825,34802.722,237.72,5811.962,0.042,0.386,2.27,17296.598
OWID_WRL,World,1987,0.0,25210.286,77990.38,17280.611,5649.189,10723.032,4818.707,35499.484,254.564,5904.325,0.029,0.543,2.259,17574.466
OWID_WRL,World,1988,0.0,25964.647,80755.347,18087.621,5829.785,11346.1,5253.474,36703.079,261.891,6092.626,0.028,0.921,2.248,17916.469
OWID_WRL,World,1989,0.0,26213.476,82383.876,18870.551,5798.813,11499.57,5402.812,37299.85,289.857,6096.758,0.728,7.36,2.222,17943.04
OWID_WRL,World,1990,102.76,25894.997,83070.319,19484.436,5996.967,11992.629,5556.843,37690.886,324.89,6435.785,1.079,10.09,2.201,17844.721
OWID_WRL,World,1991,108.63,25642.774,83310.064,19976.062,6137.256,12420.196,5822.712,37691.227,338.842,6597.484,1.403,11.352,2.191,17681.04
OWID_WRL,World,1992,106.608,25549.959,83961.136,20066.809,6136.322,12488.026,5866.919,38344.368,363.728,6621.107,1.302,13.148,2.153,17539.656
OWID_WRL,World,1993,111.162,25675.129,84043.499,20269.103,6503.463,13076.747,6068.966,38099.268,375.783,7007.781,1.546,15.827,2.139,17400.078
OWID_WRL,World,1994,120.114,25773.562,85101.869,20393.341,6546.899,13261.399,6182.906,38934.965,390.027,7078.493,1.667,19.786,2.115,17369.002
