Entity,Code,Year,Fossil fuels (% sub energy),Renewables (% sub energy),Nuclear (% sub energy)
Africa,,1965,94.463,5.537,0
Africa,,1966,94.127,5.873,0
Africa,,1967,93.92,6.08,0
Africa,,1968,93.257,6.743,0
Africa,,1969,92.317,7.683,0
Africa,,1970,91.193,8.807,0
Africa,,1971,92.323,7.677,0
Africa,,1972,91.759,8.241,0
Africa,,1973,91.95,8.05,0
Africa,,1974,91.265,8.735,0
Africa,,1975,91.276,8.724,0
Africa,,1976,91.171,8.829,0
Africa,,1977,90.778,9.222,0
Africa,,1978,91.045,8.955,0
Africa,,1979,91.259,8.741,0
Africa,,1980,92.063,7.937,0
Africa,,1981,92.594,7.406,0
Africa,,1982,93.059,6.941,0
Africa,,1983,93.906,6.094,0
Africa,,1984,93.687,5.804,0.509
Africa,,1985,93.125,6.211,0.664
Africa,,1986,92.606,6.32,1.074
Africa,,1987,93.386,5.884,0.73
Africa,,1988,92.858,5.984,1.158
Africa,,1989,92.519,6.26,1.221
Africa,,1990,92.919,6.181,0.9
Africa,,1991,92.474,6.551,0.975
Africa,,1992,92.873,6.153,0.974
Africa,,1993,93.225,6.017,0.758
Africa,,1994,93.088,5.928,0.984
Africa,,1995,92.969,5.929,1.102
Africa,,1996,92.842,6.039,1.118
Africa,,1997,92.741,6.08,1.179
Africa,,1998,92.478,6.274,1.248
Africa,,1999,92.409,6.448,1.143
Africa,,2000,92.108,6.761,1.132
Africa,,2001,92.151,6.957,0.892
Africa,,2002,91.832,7.188,0.98
Africa,,2003,92.345,6.673,0.982
Africa,,2004,92.483,6.556,0.961
Africa,,2005,92.607,6.591,0.801
Africa,,2006,92.592,6.714,0.695
Africa,,2007,92.628,6.619,0.752
Africa,,2008,92.867,6.325,0.808
Africa,,2009,92.852,6.371,0.777
Africa,,2010,92.567,6.643,0.79
Africa,,2011,92.464,6.789,0.746
Africa,,2012,92.693,6.586,0.72
Africa,,2013,92.437,6.804,0.759
Africa,,2014,92.209,7.075,0.716
Africa,,2015,92.277,7.1,0.622
Africa,,2016,92.347,6.869,0.784
Africa,,2017,92.01,7.236,0.755
Africa,,2018,91.972,7.516,0.512
Africa,,2019,91.368,7.994,0.638
Algeria,DZA,1965,95.513,4.487,0
Algeria,DZA,1966,96.687,3.313,0
Algeria,DZA,1967,95.958,4.042,0
Algeria,DZA,1968,94.829,5.171,0
Algeria,DZA,1969,97.004,2.996,0
Algeria,DZA,1970,95.605,4.395,0
Algeria,DZA,1971,97.689,2.311,0
Algeria,DZA,1972,96.914,3.086,0
Algeria,DZA,1973,96.067,3.933,0
Algeria,DZA,1974,97.653,2.347,0
Algeria,DZA,1975,98.704,1.296,0
Algeria,DZA,1976,98.683,1.317,0
Algeria,DZA,1977,99.171,0.829,0
Algeria,DZA,1978,99.387,0.613,0
Algeria,DZA,1979,99.456,0.544,0
Algeria,DZA,1980,99.597,0.403,0
Algeria,DZA,1981,99.527,0.473,0
Algeria,DZA,1982,99.464,0.536,0
Algeria,DZA,1983,99.759,0.241,0
Algeria,DZA,1984,99.517,0.483,0
Algeria,DZA,1985,99.316,0.684,0
Algeria,DZA,1986,99.75,0.25,0
Algeria,DZA,1987,99.514,0.486,0
Algeria,DZA,1988,99.834,0.166,0
Algeria,DZA,1989,99.789,0.211,0
Algeria,DZA,1990,99.881,0.119,0
