Entity,Code,Year,Oil (% sub energy),Coal (% sub energy),Solar (% sub energy),Nuclear (% sub energy),Hydro (% sub energy),Wind (% sub energy),Gas (% sub energy),Other renewables (% sub energy)
Africa,,1965,46.72,46.375,0,0,5.537,0,1.368,0
Africa,,1966,48.626,44.047,0,0,5.873,0,1.454,0
Africa,,1967,47.838,44.655,0,0,6.08,0,1.426,0
Africa,,1968,47.859,44.029,0,0,6.743,0,1.37,0
Africa,,1969,47.373,43.381,0,0,7.683,0,1.563,0
Africa,,1970,48.014,41.398,0,0,8.807,0,1.781,0
Africa,,1971,49.942,40.437,0,0,7.629,0,1.943,0.048
Africa,,1972,51.049,38.253,0,0,8.196,0,2.456,0.046
Africa,,1973,50.71,37.603,0,0,8.007,0,3.637,0.043
Africa,,1974,50.013,37.345,0,0,8.693,0,3.906,0.043
Africa,,1975,49.439,37.391,0,0,8.685,0,4.446,0.04
Africa,,1976,50.134,36.421,0,0,8.79,0,4.617,0.039
Africa,,1977,50.47,35.396,0,0,9.184,0,4.912,0.038
Africa,,1978,51.171,33.124,0,0,8.917,0,6.75,0.038
Africa,,1979,49.772,32.075,0,0,8.706,0,9.412,0.035
Africa,,1980,49.047,32.009,0,0,7.903,0,11.007,0.034
Africa,,1981,46.881,33.628,0,0,7.374,0,12.085,0.032
Africa,,1982,46.099,34.736,0,0,6.909,0,12.223,0.032
Africa,,1983,46.413,34.407,0,0,6.063,0,13.086,0.031
Africa,,1984,45.905,35.64,0,0.509,5.773,0,12.142,0.03
Africa,,1985,45.185,35.4,0,0.664,6.177,0,12.54,0.034
Africa,,1986,43.475,35.372,0,1.074,6.24,0,13.759,0.08
Africa,,1987,44.311,35.295,0,0.73,5.806,0,13.78,0.078
Africa,,1988,43.246,35.37,0,1.158,5.915,0,14.242,0.069
Africa,,1989,44.704,33.1,0,1.221,6.192,0,14.715,0.068
Africa,,1990,43.965,33.665,0,0.9,6.099,0,15.289,0.082
Africa,,1991,44.308,32.75,0,0.975,6.467,0,15.417,0.084
Africa,,1992,44.575,32.397,0,0.974,6.067,0,15.901,0.086
Africa,,1993,44.928,32.779,0,0.758,5.921,0,15.518,0.096
Africa,,1994,44.649,32.664,0,0.984,5.844,0.001,15.775,0.083
Africa,,1995,44.412,32.363,0,1.102,5.829,0.001,16.194,0.1
Africa,,1996,44.331,31.956,0,1.118,5.919,0.001,16.556,0.12
Africa,,1997,44.673,32.15,0,1.179,5.95,0.001,15.918,0.129
Africa,,1998,45.052,30.93,0,1.248,6.116,0.001,16.495,0.157
Africa,,1999,45.295,30.954,0,1.143,6.295,0.002,16.159,0.151
Africa,,2000,44.496,30.171,0.001,1.132,6.547,0.015,17.44,0.197
Africa,,2001,43.374,29.406,0.001,0.892,6.727,0.035,19.371,0.194
Africa,,2002,43.676,27.847,0.002,0.98,6.963,0.036,20.309,0.187
Africa,,2003,42.812,28.936,0.002,0.982,6.426,0.042,20.597,0.203
Africa,,2004,41.855,29.702,0.002,0.961,6.284,0.055,20.926,0.215
Africa,,2005,43.665,27.382,0.002,0.801,6.32,0.056,21.561,0.214
Africa,,2006,43.198,27.286,0.003,0.695,6.39,0.059,22.108,0.262
Africa,,2007,43.113,26.787,0.004,0.752,6.339,0.068,22.729,0.209
Africa,,2008,42.809,27.755,0.005,0.808,6.035,0.082,22.303,0.203
Africa,,2009,43.598,27.155,0.006,0.777,6.052,0.096,22.099,0.216
Africa,,2010,44.342,26.072,0.012,0.79,6.273,0.133,22.153,0.224
Africa,,2011,42.991,25.547,0.026,0.746,6.388,0.147,23.927,0.227
Africa,,2012,43.801,24.069,0.031,0.72,6.163,0.165,24.823,0.227
Africa,,2013,44.188,23.75,0.044,0.759,6.328,0.191,24.499,0.239
Africa,,2014,43.612,24.151,0.095,0.716,6.42,0.268,24.446,0.288
Africa,,2015,43.97,22.485,0.183,0.622,6.095,0.452,25.823,0.363
Africa,,2016,43.231,23.254,0.243,0.784,5.704,0.557,25.861,0.355
Africa,,2017,42.521,22.653,0.334,0.755,5.93,0.597,26.836,0.363
Africa,,2018,41.633,22.716,0.454,0.512,6.016,0.659,27.624,0.372
Africa,,2019,41.662,22.507,0.869,0.638,5.955,0.785,27.199,0.367
Algeria,DZA,1965,62.216,3.288,0,0,4.487,0,30.009,0
Algeria,DZA,1966,68.1,2.657,0,0,3.313,0,25.931,0
Algeria,DZA,1967,67.232,2.147,0,0,4.042,0,26.579,0
Algeria,DZA,1968,66.682,2.115,0,0,5.171,0,26.032,0
Algeria,DZA,1969,63.648,2.432,0,0,2.996,0,30.924,0
Algeria,DZA,1970,66.424,2.633,0,0,4.395,0,26.547,0
Algeria,DZA,1971,69.164,0.674,0,0,2.311,0,27.851,0
Algeria,DZA,1972,67.599,0.522,0,0,3.086,0,28.793,0
Algeria,DZA,1973,61.941,0.504,0,0,3.933,0,33.623,0
Algeria,DZA,1974,62.128,0.376,0,0,2.347,0,35.149,0
Algeria,DZA,1975,57.787,0.397,0,0,1.296,0,40.52,0
Algeria,DZA,1976,56.95,0.666,0,0,1.317,0,41.066,0
Algeria,DZA,1977,58.567,0.787,0,0,0.829,0,39.818,0
Algeria,DZA,1978,48.191,0.318,0,0,0.613,0,50.878,0
Algeria,DZA,1979,43.989,0.564,0,0,0.544,0,54.903,0
Algeria,DZA,1980,37.382,0.42,0,0,0.403,0,61.795,0
Algeria,DZA,1981,33.155,0.243,0,0,0.473,0,66.129,0
Algeria,DZA,1982,30.47,3.915,0,0,0.536,0,65.078,0
Algeria,DZA,1983,31.334,3.198,0,0,0.241,0,65.227,0
Algeria,DZA,1984,36.139,3.693,0,0,0.483,0,59.686,0
Algeria,DZA,1985,36.827,3.824,0,0,0.684,0,58.665,0
Algeria,DZA,1986,35.33,3.71,0,0,0.25,0,60.71,0
Algeria,DZA,1987,34.763,4.316,0,0,0.486,0,60.435,0
Algeria,DZA,1988,32.474,3.789,0,0,0.166,0,63.57,0
Algeria,DZA,1989,34.992,3.293,0,0,0.211,0,61.504,0
Algeria,DZA,1990,35.501,2.433,0,0,0.119,0,61.946,0
Algeria,DZA,1991,35.453,2.534,0,0,0.261,0,61.752,0
Algeria,DZA,1992,34.758,2.935,0,0,0.173,0,62.134,0
Algeria,DZA,1993,37.175,2.569,0,0,0.329,0,59.928,0
Algeria,DZA,1994,35.129,2.388,0,0,0.153,0,62.33,0
Algeria,DZA,1995,32.941,2.303,0,0,0.171,0,64.585,0
Algeria,DZA,1996,31.759,1.096,0,0,0.121,0,67.024,0
Algeria,DZA,1997,32.783,1.999,0,0,0.07,0,65.148,0
Algeria,DZA,1998,32.649,2.067,0,0,0.194,0,65.091,0
Algeria,DZA,1999,31.759,2.192,0,0,0.181,0,65.867,0
Algeria,DZA,2000,34.385,1.881,0,0,0.05,0,63.685,0
Algeria,DZA,2001,34.355,2.095,0,0,0.061,0,63.488,0
Algeria,DZA,2002,36.776,2.655,0,0,0.049,0,60.52,0
Algeria,DZA,2003,36.564,2.092,0,0,0.214,0,61.13,0
Algeria,DZA,2004,36.813,2.404,0,0,0.194,0,60.589,0
Algeria,DZA,2005,36.653,1.887,0,0,0.408,0,61.053,0
Algeria,DZA,2006,36.881,2.705,0,0,0.153,0,60.261,0
Algeria,DZA,2007,39.137,2.203,0,0,0.15,0,58.51,0
Algeria,DZA,2008,40.121,2.079,0,0,0.176,0,57.624,0
Algeria,DZA,2009,40.137,1.259,0,0,0.2,0,58.404,0
Algeria,DZA,2010,41.163,0.824,0.005,0,0.103,0,57.904,0
Algeria,DZA,2011,41.391,0.689,0.01,0,0.211,0,57.7,0
Algeria,DZA,2012,40.267,0.669,0.014,0,0.197,0,58.853,0
Algeria,DZA,2013,39.775,0.342,0.014,0,0.047,0,59.822,0
Algeria,DZA,2014,37.899,0.356,0.026,0,0.084,0,61.635,0
Algeria,DZA,2015,38.244,0.25,0.024,0,0.059,0.008,61.415,0
Algeria,DZA,2016,37.197,0.092,0.1,0,0.029,0.008,62.573,0
Algeria,DZA,2017,36.138,0.339,0.202,0,0.022,0.008,63.291,0
Algeria,DZA,2018,34.275,0.865,0.223,0,0.043,0.004,64.59,0
Algeria,DZA,2019,34.739,0.825,0.216,0,0.053,0.004,64.163,0
Argentina,ARG,1965,83.05,2.699,0,0,1.086,0,13.164,0
Argentina,ARG,1966,82.982,2.154,0,0,1.065,0,13.798,0
Argentina,ARG,1967,82.575,2.353,0,0,1.059,0,14.013,0
Argentina,ARG,1968,81.502,2.21,0,0,1.207,0,15.082,0
Argentina,ARG,1969,81.87,2.558,0,0,1.047,0,14.526,0
Argentina,ARG,1970,77.82,3.48,0,0,1.282,0,17.379,0.039
Argentina,ARG,1971,78.231,2.872,0,0,1.198,0,17.66,0.039
Argentina,ARG,1972,76.96,2.375,0,0,1.147,0,19.469,0.049
Argentina,ARG,1973,74.036,2.499,0,0,2.189,0,21.24,0.036
Argentina,ARG,1974,71.192,2.982,0,0.726,3.522,0,21.543,0.035
Argentina,ARG,1975,68.795,2.978,0,1.809,3.737,0,22.642,0.039
Argentina,ARG,1976,67.773,2.856,0,1.753,3.416,0,24.168,0.034
Argentina,ARG,1977,68.39,2.585,0,1.068,3.761,0,24.161,0.035
Argentina,ARG,1978,67.034,3.089,0,1.852,4.956,0,23.034,0.035
Argentina,ARG,1979,66.856,2.713,0,1.623,6.427,0,22.33,0.051
Argentina,ARG,1980,62.619,2.421,0,1.412,9.138,0,24.358,0.052
Argentina,ARG,1981,60.215,2.38,0,1.763,9.191,0,26.405,0.047
Argentina,ARG,1982,56.402,2.347,0,1.143,10.753,0,29.296,0.059
Argentina,ARG,1983,54.961,2.039,0,1.992,10.776,0,30.152,0.08
Argentina,ARG,1984,51.902,1.516,0,2.72,11.652,0,32.153,0.057
Argentina,ARG,1985,48.114,2.292,0,3.463,12.401,0,33.668,0.062
Argentina,ARG,1986,50.069,2.372,0,3.108,11.433,0,32.96,0.058
Argentina,ARG,1987,51.132,2.519,0,3.366,11.372,0,31.554,0.056
Argentina,ARG,1988,50.316,2.547,0,2.979,7.724,0,36.372,0.062
Argentina,ARG,1989,47.588,2.874,0,2.699,6.945,0,39.831,0.064
Argentina,ARG,1990,45.487,2.39,0,3.941,9.676,0,38.449,0.058
Argentina,ARG,1991,46.331,2.079,0,4.15,8.68,0,38.706,0.053
Argentina,ARG,1992,45.498,2.179,0,3.523,9.84,0,38.91,0.051
Argentina,ARG,1993,43.657,1.4,0,3.735,11.352,0,39.803,0.052
Argentina,ARG,1994,41.435,1.204,0,3.897,13.236,0,40.173,0.056
Argentina,ARG,1995,39.604,1.214,0,3.213,12.942,0,42.973,0.053
Argentina,ARG,1996,38.434,1.187,0,3.167,11.017,0.004,46.041,0.149
Argentina,ARG,1997,38.695,0.942,0,3.399,14.103,0.006,42.664,0.19
Argentina,ARG,1998,38.152,1.221,0,3.07,13.355,0.013,43.997,0.191
Argentina,ARG,1999,36.326,1.499,0,2.993,11.175,0.015,47.719,0.274
Argentina,ARG,2000,35.267,1.095,0,2.501,13.779,0.014,47.071,0.273
Argentina,ARG,2001,34.354,0.907,0,2.871,17.042,0.02,44.557,0.248
Argentina,ARG,2002,33.261,0.71,0,2.471,17.6,0.031,45.567,0.361
Argentina,ARG,2003,31.907,0.807,0,2.974,15.362,0.031,48.521,0.399
Argentina,ARG,2004,31.868,1.304,0,2.918,13.128,0.027,50.421,0.334
Argentina,ARG,2005,31.762,1.408,0,2.375,13.595,0.025,50.464,0.371
Argentina,ARG,2006,31.78,1.213,0,2.523,14.255,0.023,49.695,0.512
Argentina,ARG,2007,33.808,1.681,0,2.256,11.737,0.019,50.008,0.49
Argentina,ARG,2008,34.186,2.016,0,2.247,11.304,0.013,49.719,0.515
Argentina,ARG,2009,34.138,1.129,0,2.52,12.559,0.011,49.109,0.532
Argentina,ARG,2010,36.399,1.503,0,2.097,11.792,0.007,46.95,0.586
Argentina,ARG,2011,35.764,1.6,0,1.815,11.244,0.008,47.984,0.621
Argentina,ARG,2012,36.154,1.455,0.002,1.755,10.108,0.101,48.595,0.673
Argentina,ARG,2013,37.198,1.526,0.004,1.623,10.643,0.119,47.013,0.643
Argentina,ARG,2014,36.656,1.631,0.004,1.441,10.676,0.162,47.381,0.601
Argentina,ARG,2015,36.874,1.588,0.004,1.788,10.609,0.151,46.837,0.604
Argentina,ARG,2016,36.177,1.227,0.004,2.097,9.684,0.139,48.531,0.497
Argentina,ARG,2017,35.314,1.264,0.004,1.536,10.482,0.154,48.748,0.601
Argentina,ARG,2018,33.989,1.394,0.027,1.736,10.524,0.357,49.518,0.63
Argentina,ARG,2019,34.238,0.66,0.206,2.173,9.542,1.286,49.373,0.617
Australia,AUS,1965,44.681,49.839,0,0,5.27,0,0.007,0.203
Australia,AUS,1966,48.137,47.089,0,0,4.588,0,0.009,0.177
Australia,AUS,1967,49.7,45.642,0,0,4.48,0,0.008,0.171
Australia,AUS,1968,51.041,44.325,0,0,4.416,0,0.061,0.157
Australia,AUS,1969,50.398,44.028,0,0,4.632,0,0.792,0.15
Australia,AUS,1970,51.075,40.779,0,0,4.972,0,3.046,0.128
Australia,AUS,1971,51.211,38.98,0,0,5.358,0,4.329,0.122
Australia,AUS,1972,49.852,38.937,0,0,5.144,0,5.942,0.125
Australia,AUS,1973,49.758,37.928,0,0,5.116,0,7.057,0.141
Australia,AUS,1974,49.593,37.233,0,0,5.434,0,7.572,0.168
Australia,AUS,1975,48.279,37.799,0,0,5.736,0,7.998,0.188
Australia,AUS,1976,47.675,37.756,0,0,5.268,0,9.121,0.18
Australia,AUS,1977,47.564,37.554,0,0,4.803,0,9.928,0.152
Australia,AUS,1978,46.751,37.601,0,0,5.078,0,10.429,0.14
Australia,AUS,1979,45.755,37.814,0,0,4.742,0,11.549,0.139
Australia,AUS,1980,43.589,38.658,0,0,4.453,0,13.173,0.127
Australia,AUS,1981,41.832,39.329,0,0,4.547,0,14.16,0.132
Australia,AUS,1982,42.051,39.771,0,0,4.19,0,13.819,0.169
Australia,AUS,1983,41.237,39.673,0,0,3.97,0,14.979,0.141
Australia,AUS,1984,41.391,40.198,0,0,4.118,0,14.154,0.138
Australia,AUS,1985,39.239,41.264,0,0,4.34,0,15.015,0.142
Australia,AUS,1986,38.845,40.927,0,0,4.224,0,15.865,0.139
Australia,AUS,1987,38.555,41.538,0,0,3.993,0,15.776,0.138
Australia,AUS,1988,38.589,41.751,0,0,4.018,0,15.438,0.205
Australia,AUS,1989,38.136,41.773,0,0,3.811,0,16.063,0.217
Australia,AUS,1990,38.021,42.032,0,0,3.878,0,15.869,0.2
Australia,AUS,1991,37.207,43.151,0.001,0,4.14,0,15.31,0.19
Australia,AUS,1992,36.996,42.972,0.003,0,4.173,0,15.68,0.175
Australia,AUS,1993,37.798,42.05,0.004,0,4.171,0.001,15.806,0.171
Australia,AUS,1994,37.727,41.263,0.004,0,3.953,0.001,16.881,0.17
Australia,AUS,1995,37.904,41.562,0.005,0,3.727,0.002,16.603,0.197
Australia,AUS,1996,37.549,42.196,0.006,0,3.714,0.002,16.313,0.22
Australia,AUS,1997,37.284,43.239,0.007,0,3.619,0.002,15.623,0.226
Australia,AUS,1998,36.389,44.139,0.008,0,3.502,0.004,15.718,0.24
Australia,AUS,1999,35.948,44.911,0.009,0,3.458,0.009,15.425,0.241
Australia,AUS,2000,35.604,45.039,0.01,0,3.482,0.028,15.649,0.188
Australia,AUS,2001,35.505,44.177,0.011,0,3.357,0.06,16.724,0.166
Australia,AUS,2002,34.87,44.511,0.012,0,3.28,0.109,16.959,0.258
Australia,AUS,2003,34.33,45.106,0.013,0,3.234,0.14,16.839,0.338
Australia,AUS,2004,34.169,45.491,0.014,0,3.01,0.153,16.623,0.54
Australia,AUS,2005,34.076,45.404,0.016,0,2.96,0.249,16.549,0.741
Australia,AUS,2006,34.763,43.976,0.017,0,2.68,0.388,17.407,0.705
Australia,AUS,2007,33.918,43.046,0.02,0,2.296,0.502,19.226,0.752
Australia,AUS,2008,33.41,44.14,0.024,0,2.033,0.595,18.598,0.636
Australia,AUS,2009,33.496,43.041,0.05,0,2.18,0.765,19.152,0.481
Australia,AUS,2010,33.071,39.77,0.167,0,2.347,0.851,22.123,0.417
Australia,AUS,2011,33.992,37.415,0.335,0,3.206,1.053,22.299,0.422
Australia,AUS,2012,35.745,35.471,0.397,0,2.808,1.273,22.643,0.511
Australia,AUS,2013,36.119,33.414,0.626,0,3.104,1.505,23.606,0.542
Australia,AUS,2014,35.986,32.667,0.789,0,2.308,1.558,25.103,0.565
Australia,AUS,2015,34.2,33.326,0.968,0,2.198,1.847,25.97,0.574
Australia,AUS,2016,34.213,33.045,1.15,0,2.713,2.005,25.535,0.562
Australia,AUS,2017,35.849,31.977,1.373,0,2.07,2.023,25.289,0.541
Australia,AUS,2018,36.01,30.764,1.832,0,2.59,2.449,24.873,0.53
Australia,AUS,2019,33.43,27.819,2.497,0,1.988,2.715,30.184,0.497
Austria,AUT,1965,34.99,31.677,0,0,23.94,0,9.393,0
Austria,AUT,1966,36.773,28.925,0,0,24.66,0,9.641,0
Austria,AUT,1967,38.819,27.106,0,0,24.931,0,9.144,0
Austria,AUT,1968,41.931,25.013,0,0,23.942,0,9.114,0
Austria,AUT,1969,44.41,23.723,0,0,21.212,0,10.656,0
Austria,AUT,1970,42.76,22.312,0,0,23.624,0,11.304,0
Austria,AUT,1971,47.829,20.488,0,0,18.684,0,12.999,0
Austria,AUT,1972,49.907,17.955,0,0,18.56,0,13.578,0
Austria,AUT,1973,50.322,16.604,0,0,19.189,0,13.886,0
Austria,AUT,1974,44.902,17.47,0,0,22.621,0,15.007,0
Austria,AUT,1975,45.722,15.296,0,0,23.879,0,15.102,0
Austria,AUT,1976,47.844,15.689,0,0,19.89,0,16.577,0
Austria,AUT,1977,45.828,13.165,0,0,24.109,0,16.898,0
Austria,AUT,1978,47.234,12.813,0,0,23.115,0,16.838,0
Austria,AUT,1979,46.475,13.143,0,0,24.606,0,15.777,0
Austria,AUT,1980,45.583,13.57,0,0,25.617,0,15.23,0
Austria,AUT,1981,42.691,14.33,0,0,28.003,0,14.976,0
Austria,AUT,1982,41.889,14.1,0,0,29.015,0,14.996,0
Austria,AUT,1983,40.704,15.137,0,0,28.818,0,15.341,0
Austria,AUT,1984,39.91,17.388,0,0,25.484,0,17.218,0
Austria,AUT,1985,38.072,16.537,0,0,27.82,0,17.571,0
Austria,AUT,1986,39.701,14.597,0,0,27.659,0,16.89,1.152
Austria,AUT,1987,38.759,13.73,0,0,30.033,0,16.708,0.769
Austria,AUT,1988,39.078,13.349,0,0,30.42,0,16.25,0.902
Austria,AUT,1989,38.313,13.333,0,0,30.056,0,17.352,0.946
Austria,AUT,1990,39.203,14.457,0,0,26.56,0,18.794,0.963
Austria,AUT,1991,40.314,14.446,0,0,25.249,0,18.982,0.984
Austria,AUT,1992,39.971,11.444,0,0,28.492,0,18.979,1.087
Austria,AUT,1993,39.626,10.117,0.001,0,29.507,0,19.625,1.094
Austria,AUT,1994,39.509,10.319,0.001,0,28.869,0,20.302,0.979
Austria,AUT,1995,37.6,11.199,0.001,0,28.586,0.001,21.144,1.432
Austria,AUT,1996,38.78,11.213,0.001,0,26.308,0.004,22.437,1.222
Austria,AUT,1997,38.6,11.656,0.002,0,27.205,0.015,21.192,1.29
Austria,AUT,1998,39.458,10.104,0.001,0,27.572,0.033,21.422,1.367
Austria,AUT,1999,37.958,9.822,0.001,0,29.556,0.037,21.418,1.16
Austria,AUT,2000,37.051,11.071,0.002,0,30.287,0.049,20.382,1.106
Austria,AUT,2001,38.76,11.026,0.003,0,28.053,0.119,20.825,1.156
Austria,AUT,2002,39.491,11.177,0.006,0,27.653,0.14,20.429,1.045
Austria,AUT,2003,42.183,11.768,0.01,0,22.395,0.247,22.182,1.154
Austria,AUT,2004,40.375,11.337,0.012,0,24.223,0.609,22.027,1.357
Austria,AUT,2005,39.536,11.114,0.014,0,23.881,0.857,22.803,1.569
Austria,AUT,2006,39.959,11.232,0.014,0,23.071,1.134,21.673,2.095
Austria,AUT,2007,38.484,11.117,0.016,0,24.392,1.341,20.993,2.674
Austria,AUT,2008,37.365,10.768,0.019,0,24.585,1.29,22.035,2.76
Austria,AUT,2009,36.722,8.397,0.032,0,26.981,1.289,22.211,2.822
Austria,AUT,2010,37.083,9.55,0.056,0,24.331,1.309,23.383,2.831
Austria,AUT,2011,36.967,10.473,0.117,0,23.048,1.303,23.487,3.04
Austria,AUT,2012,35.225,9.276,0.215,0,27.941,1.57,21.357,2.939
Austria,AUT,2013,36.586,9.496,0.399,0,26.833,2.012,20.441,2.926
Austria,AUT,2014,36.618,9.076,0.52,0,27.145,2.546,19.535,2.87
Austria,AUT,2015,36.408,9.794,0.616,0,24.343,3.18,20.692,2.959
Austria,AUT,2016,36.469,8.793,0.693,0,25.187,3.309,20.969,2.965
Austria,AUT,2017,36.124,8.9,0.779,0,23.502,4.033,22.266,3.02
Austria,AUT,2018,37.356,8.32,0.895,0,23.43,3.754,21.758,3.021
Austria,AUT,2019,36.544,8.39,0.803,0,24.209,4.419,21.363,2.845
Azerbaijan,AZE,1985,41.444,0.456,0,0,1.555,0,56.545,0
Azerbaijan,AZE,1986,40.331,0.424,0,0,0.885,0,58.36,0
Azerbaijan,AZE,1987,39.17,0.437,0,0,0.913,0,59.479,0
Azerbaijan,AZE,1988,40.083,0.437,0,0,0.792,0,58.687,0
Azerbaijan,AZE,1989,38.329,0.429,0,0,0.777,0,60.466,0
Azerbaijan,AZE,1990,38.613,0.398,0,0,1.771,0,59.218,0
Azerbaijan,AZE,1991,38.752,0.312,0,0,1.956,0,58.98,0
Azerbaijan,AZE,1992,44.096,0.065,0,0,2.269,0,53.57,0
Azerbaijan,AZE,1993,50.729,0.019,0,0,3.635,0,45.618,0
Azerbaijan,AZE,1994,50.56,0.027,0,0,2.983,0,46.43,0
Azerbaijan,AZE,1995,48.475,0.022,0,0,2.697,0,48.806,0
Azerbaijan,AZE,1996,53.11,0.027,0,0,3.25,0,43.614,0
Azerbaijan,AZE,1997,52.801,0.028,0,0,3.781,0,43.39,0
Azerbaijan,AZE,1998,55.361,0,0,0,4.294,0,40.345,0
Azerbaijan,AZE,1999,53.276,0,0,0,3.327,0,43.397,0
Azerbaijan,AZE,2000,56.575,0,0,0,3.246,0,40.179,0
Azerbaijan,AZE,2001,37.353,0.028,0,0,2.837,0,59.782,0
Azerbaijan,AZE,2002,34.829,0.019,0,0,4.433,0,60.719,0
Azerbaijan,AZE,2003,37.436,0.026,0,0,4.979,0,57.56,0
Azerbaijan,AZE,2004,35.606,0.007,0,0,4.866,0,59.521,0
Azerbaijan,AZE,2005,38.395,0.023,0,0,4.872,0,56.711,0
Azerbaijan,AZE,2006,34.932,0.023,0,0,4.117,0,60.929,0
Azerbaijan,AZE,2007,36.413,0.039,0,0,4.246,0,59.302,0
Azerbaijan,AZE,2008,28.831,0.029,0,0,3.945,0,67.194,0
Azerbaijan,AZE,2009,30.431,0.033,0,0,4.59,0.004,64.942,0
Azerbaijan,AZE,2010,30.458,0.05,0,0,6.905,0.001,62.587,0
Azerbaijan,AZE,2011,33.557,0.04,0,0,4.79,0,61.614,0
Azerbaijan,AZE,2012,34.065,0.029,0,0,3.145,0,62.762,0
Azerbaijan,AZE,2013,36.062,0.023,0.001,0,2.486,0.001,61.314,0.112
Azerbaijan,AZE,2014,34.714,0.014,0.005,0,2.115,0.004,63.007,0.142
Azerbaijan,AZE,2015,32.224,0.021,0.007,0,2.423,0.007,65.185,0.134
Azerbaijan,AZE,2016,32.321,0.008,0.052,0,2.91,0.034,64.545,0.13
Azerbaijan,AZE,2017,33.24,0.009,0.056,0,2.628,0.033,63.906,0.128
Azerbaijan,AZE,2018,33.856,0.008,0.057,0,2.57,0.12,63.27,0.118
Azerbaijan,AZE,2019,32.788,0.008,0.06,0,2.127,0.183,64.724,0.11
Bangladesh,BGD,1971,100,0,0,0,0,0,0,0
Bangladesh,BGD,1972,62.43,6.841,0,0,3.06,0,27.669,0
Bangladesh,BGD,1973,57.118,7.198,0,0,4.686,0,30.997,0
Bangladesh,BGD,1974,57.5,6.192,0,0,3.329,0,32.979,0
Bangladesh,BGD,1975,59.222,6.313,0,0,5.262,0,29.204,0
Bangladesh,BGD,1976,55.852,5.437,0,0,5.196,0,33.515,0
Bangladesh,BGD,1977,53.569,5.532,0,0,4.478,0,36.421,0
Bangladesh,BGD,1978,52.916,4.974,0,0,4.811,0,37.299,0
Bangladesh,BGD,1979,52.879,3.341,0,0,5.039,0,38.741,0
Bangladesh,BGD,1980,52.89,3.96,0,0,4.44,0,38.71,0
Bangladesh,BGD,1981,54.163,4.043,0,0,4.727,0,37.067,0
Bangladesh,BGD,1982,48.391,4.436,0,0,3.583,0,43.59,0
Bangladesh,BGD,1983,43.79,2.54,0,0,4.589,0,49.08,0
Bangladesh,BGD,1984,40.853,0.941,0,0,5.757,0,52.449,0
Bangladesh,BGD,1985,41.001,1.183,0,0,4.264,0,53.551,0
Bangladesh,BGD,1986,40.559,1.64,0,0,2.383,0,55.418,0
Bangladesh,BGD,1987,36.18,2.339,0,0,2.481,0,58.999,0
Bangladesh,BGD,1988,32.556,2.164,0,0,2.909,0,62.37,0
Bangladesh,BGD,1989,33.034,2.092,0,0,3.68,0,61.194,0
Bangladesh,BGD,1990,30.161,4.441,0,0,3.332,0,62.067,0
Bangladesh,BGD,1991,29.004,1.472,0,0,3.274,0,66.251,0
Bangladesh,BGD,1992,29.657,1.266,0,0,2.851,0,66.226,0
Bangladesh,BGD,1993,30.201,0.429,0,0,1.979,0,67.391,0
Bangladesh,BGD,1994,29.664,0.379,0,0,2.599,0,67.359,0
Bangladesh,BGD,1995,32.561,3.486,0,0,0.965,0,62.988,0
Bangladesh,BGD,1996,31.772,1.826,0,0,1.832,0,64.571,0
Bangladesh,BGD,1997,34.711,3.189,0,0,1.696,0,60.404,0
