Year,State,Price
2004,New South Wales,272000
2004,Victoria,196250
2004,Queensland,239500
2004,South Australia,173150
2004,Western Australia,185200
2004,Tasmania,159625
2004,Northern Territory,221825
2005,New South Wales,281250
2005,Victoria,211250
2005,Queensland,281250
2005,South Australia,191825
2005,Western Australia,241250
2005,Tasmania,182325
2005,Northern Territory,234750
2006,New South Wales,288750
2006,Victoria,224000
2006,Queensland,317475
2006,South Australia,208750
2006,Western Australia,326000
2006,Tasmania,196500
2006,Northern Territory,240625
2007,New South Wales,302500
2007,Victoria,234625
2007,Queensland,367000
2007,South Australia,229825
2007,Western Australia,374975
2007,Tasmania,220000
2007,Northern Territory,271950
2008,New South Wales,300125
2008,Victoria,238375
2008,Queensland,372500
2008,South Australia,245000
2008,Western Australia,366500
2008,Tasmania,232375
2008,Northern Territory,287950
2009,New South Wales,312500
2009,Victoria,249875
2009,Queensland,379450
2009,South Australia,255000
2009,Western Australia,376250
2009,Tasmania,243075
2009,Northern Territory,342250
2010,New South Wales,340000
2010,Victoria,281425
2010,Queensland,392625
2010,South Australia,277575
2010,Western Australia,390000
2010,Tasmania,259750
2010,Northern Territory,403875
2011,New South Wales,338000
2011,Victoria,291250
2011,Queensland,383950
2011,South Australia,268750
2011,Western Australia,378200
2011,Tasmania,253475
2011,Northern Territory,409250
2012,New South Wales,346500
2012,Victoria,291000
2012,Queensland,378750
2012,South Australia,263750
2012,Western Australia,377500
2012,Tasmania,249575
2012,Northern Territory,400250
2013,New South Wales,358125
2013,Victoria,296625
2013,Queensland,389200
2013,South Australia,255950
2013,Western Australia,380125
2013,Tasmania,251125
2013,Northern Territory,404225
2014,New South Wales,369650
2014,Victoria,288500
2014,Queensland,393750
2014,South Australia,261250
2014,Western Australia,373750
2014,Tasmania,249825
2014,Northern Territory,422875
2015,New South Wales,401750
2015,Victoria,299900
2015,Queensland,413825
2015,South Australia,264625
2015,Western Australia,356250
2015,Tasmania,257500
2015,Northern Territory,436875
2016,New South Wales,428875
2016,Victoria,311700
2016,Queensland,431000
2016,South Australia,272500
2016,Western Australia,340825
2016,Tasmania,261625
2016,Northern Territory,426625
2017,New South Wales,461625
2017,Victoria,334500
2017,Queensland,446000
2017,South Australia,276475
2017,Western Australia,335500
2017,Tasmania,274125
2017,Northern Territory,433525
2018,New South Wales,474950
2018,Victoria,358750
2018,Queensland,439250
2018,South Australia,282750
2018,Western Australia,322375
2018,Tasmania,299500
2018,Northern Territory,442000
2019,New South Wales,476750
2019,Victoria,376250
2019,Queensland,440750
2019,South Australia,284750
2019,Western Australia,324500
2019,Tasmania,320000
2019,Northern Territory,421625
2020,New South Wales,511250
2020,Victoria,415500
2020,Queensland,442250
2020,South Australia,290125
2020,Western Australia,352250
2020,Tasmania,351700
2020,Northern Territory,426125
2021,New South Wales,657500
2021,Victoria,554000
2021,Queensland,476000
2021,South Australia,319750
2021,Western Australia,412500
2021,Tasmania,409500
2021,Northern Territory,456000
