CouncilArea,DateMonth,avg_price
Bayside,1/01/2016,1660971
Bayside,1/02/2016,1660971
Bayside,1/03/2016,1660971
Bayside,1/04/2016,1629673
Bayside,1/05/2016,1568357
Bayside,1/06/2016,1656286
Bayside,1/07/2016,1417592
Bayside,1/08/2016,1675332
Bayside,1/09/2016,1763812
Bayside,1/10/2016,1630129
Bayside,1/11/2016,1836017
Bayside,1/12/2016,1784683
Bayside,1/01/2017,1660971
Bayside,1/02/2017,1560638
Bayside,1/03/2017,1751745
Bayside,1/04/2017,1822178
Bayside,1/05/2017,1746466
Bayside,1/06/2017,1635046
Bayside,1/07/2017,1297817
Bayside,1/08/2017,1740150
Bayside,1/09/2017,1720592
Bayside,1/10/2017,1660971
Bayside,1/11/2017,1660971
Bayside,1/12/2017,1660971
Boroondara,1/01/2016,1728340
Boroondara,1/02/2016,978182
Boroondara,1/03/2016,1728340
Boroondara,1/04/2016,1736283
Boroondara,1/05/2016,1875871
Boroondara,1/06/2016,1654425
Boroondara,1/07/2016,1520761
Boroondara,1/08/2016,1776300
Boroondara,1/09/2016,1682412
Boroondara,1/10/2016,1669874
Boroondara,1/11/2016,1638109
Boroondara,1/12/2016,1819271
Boroondara,1/01/2017,1728340
Boroondara,1/02/2017,1796030
Boroondara,1/03/2017,1947473
Boroondara,1/04/2017,1341210
Boroondara,1/05/2017,1800110
Boroondara,1/06/2017,1815359
Boroondara,1/07/2017,1387213
Boroondara,1/08/2017,1782742
Boroondara,1/09/2017,1837970
Boroondara,1/10/2017,1728340
Boroondara,1/11/2017,1728340
Boroondara,1/12/2017,1728340
Manningham,1/01/2016,1204158
Manningham,1/02/2016,1320000
Manningham,1/03/2016,1204158
Manningham,1/04/2016,1126309
Manningham,1/05/2016,1167201
Manningham,1/06/2016,1085383
Manningham,1/07/2016,1160292
Manningham,1/08/2016,1041831
Manningham,1/09/2016,1236728
Manningham,1/10/2016,1021800
Manningham,1/11/2016,1221992
Manningham,1/12/2016,1150496
Manningham,1/01/2017,1204158
Manningham,1/02/2017,1110996
Manningham,1/03/2017,1229157
Manningham,1/04/2017,1337551
Manningham,1/05/2017,1278708
Manningham,1/06/2017,1298131
Manningham,1/07/2017,1256357
Manningham,1/08/2017,1316201
Manningham,1/09/2017,1315710
Manningham,1/10/2017,1204158
Manningham,1/11/2017,1204158
Manningham,1/12/2017,1204158
Stonnington,1/01/2016,1378914
Stonnington,1/02/2016,350000
Stonnington,1/03/2016,1378914
Stonnington,1/04/2016,1464716
Stonnington,1/05/2016,1455567
Stonnington,1/06/2016,1372965
Stonnington,1/07/2016,1203135
Stonnington,1/08/2016,1526582
Stonnington,1/09/2016,1427622
Stonnington,1/10/2016,1388326
Stonnington,1/11/2016,1568845
Stonnington,1/12/2016,1562262
Stonnington,1/01/2017,1378914
Stonnington,1/02/2017,1557851
Stonnington,1/03/2017,1506809
Stonnington,1/04/2017,1165959
Stonnington,1/05/2017,1575927
Stonnington,1/06/2017,1721462
Stonnington,1/07/2017,846029
Stonnington,1/08/2017,1528154
Stonnington,1/09/2017,1598238
Stonnington,1/10/2017,1378914
Stonnington,1/11/2017,1378914
Stonnington,1/12/2017,1378914
Whitehorse,1/01/2016,1272662
Whitehorse,1/02/2016,1146500
Whitehorse,1/03/2016,1272662
Whitehorse,1/04/2016,1347331
Whitehorse,1/05/2016,1260307
Whitehorse,1/06/2016,1384765
Whitehorse,1/07/2016,1213337
Whitehorse,1/08/2016,1321054
Whitehorse,1/09/2016,1276083
Whitehorse,1/10/2016,1375799
Whitehorse,1/11/2016,1391145
Whitehorse,1/12/2016,1383312
Whitehorse,1/01/2017,1272662
Whitehorse,1/02/2017,1550545
Whitehorse,1/03/2017,1312011
Whitehorse,1/04/2017,1309867
Whitehorse,1/05/2017,1228068
Whitehorse,1/06/2017,1183605
Whitehorse,1/07/2017,1156467
Whitehorse,1/08/2017,1143258
Whitehorse,1/09/2017,1188129
Whitehorse,1/10/2017,1272662
Whitehorse,1/11/2017,1272662
Whitehorse,1/12/2017,1272662
