Suburb,Month,Year,avg_price,
ABBOTSFORD,1,2016,1043255,January
ABBOTSFORD,1,2017,1043255,January
ABBOTSFORD,2,2016,1315727,February
ABBOTSFORD,2,2017,1315727,February
ABBOTSFORD,3,2016,713979,March
ABBOTSFORD,3,2017,713979,March
ABBOTSFORD,4,2016,532729,April
ABBOTSFORD,4,2017,532729,April
ABBOTSFORD,5,2016,2032937,May
ABBOTSFORD,5,2017,2032937,May
ABBOTSFORD,6,2016,621610,June
ABBOTSFORD,6,2017,621610,June
ABBOTSFORD,7,2016,1415133,July
ABBOTSFORD,7,2017,1415133,July
ABBOTSFORD,8,2016,834771,August
ABBOTSFORD,8,2017,834771,August
ABBOTSFORD,9,2016,722701,September
ABBOTSFORD,9,2017,722701,September
ABBOTSFORD,10,2016,768950,October
ABBOTSFORD,10,2017,768950,October
ABBOTSFORD,11,2016,661133,November
ABBOTSFORD,11,2017,661133,November
ABBOTSFORD,12,2016,1616498,December
ABBOTSFORD,12,2017,1616498,December
ABERFELDIE,1,2016,1064030,January
ABERFELDIE,1,2017,1064030,January
ABERFELDIE,2,2016,1609885,February
ABERFELDIE,2,2017,1609885,February
ABERFELDIE,3,2016,1149955,March
ABERFELDIE,3,2017,1149955,March
ABERFELDIE,4,2016,1267974,April
ABERFELDIE,4,2017,1267974,April
ABERFELDIE,5,2016,836250,May
ABERFELDIE,5,2017,836250,May
ABERFELDIE,6,2016,640000,June
ABERFELDIE,6,2017,640000,June
ABERFELDIE,7,2016,833394,July
ABERFELDIE,7,2017,833394,July
ABERFELDIE,8,2016,740292,August
ABERFELDIE,8,2017,740292,August
ABERFELDIE,9,2016,1768505,September
ABERFELDIE,9,2017,1768505,September
ABERFELDIE,10,2016,1776862,October
ABERFELDIE,10,2017,1776862,October
ABERFELDIE,11,2016,710710,November
ABERFELDIE,11,2017,710710,November
ABERFELDIE,12,2016,724049,December
ABERFELDIE,12,2017,724049,December
AIRPORT WEST,1,2016,581333,January
AIRPORT WEST,1,2017,581333,January
AIRPORT WEST,2,2016,675000,February
AIRPORT WEST,2,2017,675000,February
AIRPORT WEST,3,2016,1802798,March
AIRPORT WEST,3,2017,1802798,March
AIRPORT WEST,4,2016,804432,April
AIRPORT WEST,4,2017,804432,April
AIRPORT WEST,5,2016,1279616,May
AIRPORT WEST,5,2017,1279616,May
AIRPORT WEST,6,2016,1084444,June
AIRPORT WEST,6,2017,1084444,June
AIRPORT WEST,7,2016,762123,July
AIRPORT WEST,7,2017,762123,July
AIRPORT WEST,8,2016,1189977,August
AIRPORT WEST,8,2017,1189977,August
AIRPORT WEST,9,2016,1306116,September
AIRPORT WEST,9,2017,1306116,September
AIRPORT WEST,10,2016,1119739,October
AIRPORT WEST,10,2017,1119739,October
AIRPORT WEST,11,2016,1117430,November
AIRPORT WEST,11,2017,1117430,November
AIRPORT WEST,12,2016,989222,December
AIRPORT WEST,12,2017,989222,December
ALBANVALE,1,2016,759134,January
ALBANVALE,1,2017,759134,January
ALBANVALE,2,2016,1312809,February
ALBANVALE,2,2017,1312809,February
ALBANVALE,3,2016,660109,March
ALBANVALE,3,2017,660109,March
ALBANVALE,4,2016,720710,April
ALBANVALE,4,2017,720710,April
ALBANVALE,5,2016,1953745,May
ALBANVALE,5,2017,1953745,May
ALBANVALE,6,2016,1592811,June
ALBANVALE,6,2017,1592811,June
ALBANVALE,7,2016,511154,July
ALBANVALE,7,2017,511154,July
ALBANVALE,8,2016,456000,August
ALBANVALE,8,2017,456000,August
ALBANVALE,9,2016,639460,September
ALBANVALE,9,2017,639460,September
ALBANVALE,10,2016,980349,October
ALBANVALE,10,2017,980349,October
ALBANVALE,11,2016,893045,November
ALBANVALE,11,2017,893045,November
ALBANVALE,12,2016,807662,December
ALBANVALE,12,2017,807662,December
ALBERT PARK,1,2016,1156907,January
ALBERT PARK,1,2017,1156907,January
ALBERT PARK,2,2016,806597,February
ALBERT PARK,2,2017,806597,February
ALBERT PARK,3,2016,1039251,March
ALBERT PARK,3,2017,1039251,March
ALBERT PARK,4,2016,628438,April
ALBERT PARK,4,2017,628438,April
ALBERT PARK,5,2016,573840,May
ALBERT PARK,5,2017,573840,May
ALBERT PARK,6,2016,1233690,June
ALBERT PARK,6,2017,1233690,June
ALBERT PARK,7,2016,1021224,July
ALBERT PARK,7,2017,1021224,July
ALBERT PARK,8,2016,675515,August
ALBERT PARK,8,2017,675515,August
ALBERT PARK,9,2016,1830524,September
ALBERT PARK,9,2017,1830524,September
ALBERT PARK,10,2016,650000,October
ALBERT PARK,10,2017,650000,October
ALBERT PARK,11,2016,2778864,November
ALBERT PARK,11,2017,2218289,November
ALBERT PARK,12,2016,1067397,December
ALBERT PARK,12,2017,1067397,December
ALBION,1,2016,1420141,January
ALBION,1,2017,1420141,January
ALBION,2,2016,897010,February
ALBION,2,2017,897010,February
ALBION,3,2016,654889,March
ALBION,3,2017,654889,March
ALBION,4,2016,739998,April
ALBION,4,2017,739998,April
ALBION,5,2016,542756,May
ALBION,5,2017,542756,May
ALBION,6,2016,714609,June
ALBION,6,2017,714609,June
ALBION,7,2016,968762,July
ALBION,7,2017,968762,July
ALBION,8,2016,1059422,August
ALBION,8,2017,1059422,August
ALBION,9,2016,1178914,September
ALBION,9,2017,1178914,September
ALBION,10,2016,992453,October
ALBION,10,2017,992452,October
ALBION,11,2016,767100,November
ALBION,11,2017,767100,November
ALBION,12,2016,756450,December
ALBION,12,2017,756450,December
ALPHINGTON,1,2016,998321,January
ALPHINGTON,1,2017,998321,January
ALPHINGTON,2,2016,911982,February
ALPHINGTON,2,2017,911982,February
ALPHINGTON,3,2016,891144,March
ALPHINGTON,3,2017,891144,March
ALPHINGTON,4,2016,1213495,April
ALPHINGTON,4,2017,1213495,April
ALPHINGTON,5,2016,794963,May
ALPHINGTON,5,2017,794963,May
ALPHINGTON,6,2016,1182743,June
ALPHINGTON,6,2017,1182743,June
ALPHINGTON,7,2016,891946,July
ALPHINGTON,7,2017,891946,July
ALPHINGTON,8,2016,772752,August
ALPHINGTON,8,2017,772752,August
ALPHINGTON,9,2016,909245,September
ALPHINGTON,9,2017,909245,September
ALPHINGTON,10,2016,440500,October
ALPHINGTON,10,2017,440500,October
ALPHINGTON,11,2016,556092,November
ALPHINGTON,11,2017,556092,November
ALPHINGTON,12,2016,574751,December
ALPHINGTON,12,2017,574751,December
ALTONA,1,2016,585000,January
ALTONA,1,2017,585000,January
ALTONA,2,2016,962067,February
ALTONA,2,2017,962067,February
ALTONA,3,2016,869839,March
ALTONA,3,2017,869839,March
ALTONA,4,2016,894490,April
ALTONA,4,2017,894490,April
ALTONA,5,2016,798075,May
ALTONA,5,2017,798075,May
ALTONA,6,2016,910000,June
ALTONA,6,2017,910000,June
ALTONA,7,2016,443711,July
ALTONA,7,2017,443711,July
ALTONA,8,2016,614432,August
ALTONA,8,2017,614432,August
ALTONA,9,2016,627252,September
ALTONA,9,2017,627252,September
ALTONA,10,2016,1715000,October
ALTONA,10,2017,1715000,October
ALTONA,11,2016,588755,November
ALTONA,11,2017,588755,November
ALTONA,12,2016,520552,December
ALTONA,12,2017,520552,December
ALTONA MEADOWS,1,2016,729167,January
ALTONA MEADOWS,1,2017,729167,January
ALTONA MEADOWS,2,2016,723896,February
ALTONA MEADOWS,2,2017,723896,February
ALTONA MEADOWS,3,2016,470500,March
ALTONA MEADOWS,3,2017,470500,March
ALTONA MEADOWS,4,2016,913841,April
ALTONA MEADOWS,4,2017,913841,April
ALTONA MEADOWS,5,2016,865000,May
ALTONA MEADOWS,5,2017,865000,May
ALTONA MEADOWS,6,2016,1206961,June
ALTONA MEADOWS,6,2017,1206961,June
ALTONA MEADOWS,7,2016,1343874,July
ALTONA MEADOWS,7,2017,1343874,July
ALTONA MEADOWS,8,2016,1223300,August
ALTONA MEADOWS,8,2017,1223300,August
ALTONA MEADOWS,9,2016,494500,September
ALTONA MEADOWS,9,2017,494500,September
ALTONA MEADOWS,10,2016,489045,October
ALTONA MEADOWS,10,2017,489045,October
ALTONA MEADOWS,11,2016,1633039,November
ALTONA MEADOWS,11,2017,1633039,November
ALTONA MEADOWS,12,2016,1405216,December
ALTONA MEADOWS,12,2017,1405216,December
ALTONA NORTH,1,2016,931878,January
ALTONA NORTH,1,2017,931878,January
ALTONA NORTH,2,2016,1278926,February
ALTONA NORTH,2,2017,1278926,February
ALTONA NORTH,3,2016,875215,March
ALTONA NORTH,3,2017,875215,March
ALTONA NORTH,4,2016,892514,April
ALTONA NORTH,4,2017,892514,April
ALTONA NORTH,5,2016,1005529,May
ALTONA NORTH,5,2017,1005529,May
ALTONA NORTH,6,2016,655000,June
ALTONA NORTH,6,2017,655000,June
ALTONA NORTH,7,2016,642639,July
ALTONA NORTH,7,2017,642639,July
ALTONA NORTH,8,2016,564604,August
ALTONA NORTH,8,2017,564604,August
ALTONA NORTH,9,2016,1054654,September
ALTONA NORTH,9,2017,1054654,September
ALTONA NORTH,10,2016,882186,October
ALTONA NORTH,10,2017,882186,October
ALTONA NORTH,11,2016,1053582,November
ALTONA NORTH,11,2017,1053582,November
ALTONA NORTH,12,2017,1080354,December
ALTONA NORTH,12,2016,1080353,December
ARDEER,1,2016,646870,January
ARDEER,1,2017,646870,January
ARDEER,2,2016,788473,February
ARDEER,2,2017,788473,February
ARDEER,3,2016,1202306,March
ARDEER,3,2017,1202306,March
ARDEER,4,2016,1275616,April
ARDEER,4,2017,1275616,April
ARDEER,5,2016,806942,May
ARDEER,5,2017,806942,May
ARDEER,6,2016,661608,June
ARDEER,6,2017,661608,June
ARDEER,7,2016,961962,July
ARDEER,7,2017,961962,July
ARDEER,8,2016,650681,August
ARDEER,8,2017,650681,August
ARDEER,9,2016,496000,September
ARDEER,9,2017,496000,September
ARDEER,10,2016,1059161,October
ARDEER,10,2017,1059161,October
ARDEER,11,2016,1021333,November
ARDEER,11,2017,1021333,November
ARDEER,12,2016,619607,December
ARDEER,12,2017,619607,December
ARMADALE,1,2016,659332,January
ARMADALE,1,2017,659332,January
ARMADALE,2,2016,887530,February
ARMADALE,2,2017,887530,February
ARMADALE,3,2016,1619848,March
ARMADALE,3,2017,1619848,March
ARMADALE,4,2016,1309248,April
ARMADALE,4,2017,1309248,April
ARMADALE,5,2016,636453,May
ARMADALE,5,2017,636453,May
ARMADALE,6,2016,709744,June
ARMADALE,6,2017,709744,June
ARMADALE,7,2016,819293,July
ARMADALE,7,2017,819293,July
ARMADALE,8,2016,736561,August
ARMADALE,8,2017,736561,August
ARMADALE,9,2016,683592,September
ARMADALE,9,2017,683592,September
ARMADALE,10,2016,760917,October
ARMADALE,10,2017,760917,October
ARMADALE,11,2016,1578953,November
ARMADALE,11,2017,1578953,November
ARMADALE,12,2016,1077992,December
ARMADALE,12,2017,1077992,December
ASCOT VALE,1,2016,565458,January
ASCOT VALE,1,2017,565458,January
ASCOT VALE,2,2016,1376518,February
ASCOT VALE,2,2017,1376517,February
ASCOT VALE,3,2016,1438205,March
ASCOT VALE,3,2017,1438205,March
ASCOT VALE,4,2016,650000,April
ASCOT VALE,4,2017,650000,April
ASCOT VALE,5,2016,959576,May
ASCOT VALE,5,2017,959576,May
ASCOT VALE,6,2016,903485,June
ASCOT VALE,6,2017,903485,June
ASCOT VALE,7,2016,749960,July
ASCOT VALE,7,2017,749960,July
ASCOT VALE,8,2016,652676,August
ASCOT VALE,8,2017,652676,August
ASCOT VALE,9,2016,1204709,September
ASCOT VALE,9,2017,1204709,September
ASCOT VALE,10,2016,635516,October
ASCOT VALE,10,2017,635516,October
ASCOT VALE,11,2016,548570,November
ASCOT VALE,11,2017,548570,November
ASCOT VALE,12,2016,1016401,December
ASCOT VALE,12,2017,1016401,December
ASHBURTON,1,2016,1080475,January
ASHBURTON,1,2017,1080475,January
ASHBURTON,2,2016,790000,February
ASHBURTON,2,2017,790000,February
ASHBURTON,3,2016,1177136,March
ASHBURTON,3,2017,1177136,March
ASHBURTON,4,2016,1889738,April
ASHBURTON,4,2017,1889738,April
ASHBURTON,5,2016,498922,May
ASHBURTON,5,2017,498922,May
ASHBURTON,6,2016,589758,June
ASHBURTON,6,2017,589758,June
ASHBURTON,7,2016,818217,July
ASHBURTON,7,2017,818217,July
ASHBURTON,8,2016,662991,August
ASHBURTON,8,2017,662991,August
ASHBURTON,9,2016,810004,September
ASHBURTON,9,2017,810004,September
ASHBURTON,10,2016,660000,October
ASHBURTON,10,2017,660000,October
