Suburb,Month,Year,avg_price
ABBOTSFORD,1,2016,1043255
ABBOTSFORD,2,2016,1136042
ABBOTSFORD,3,2016,1043255
ABBOTSFORD,4,2016,968542
ABBOTSFORD,5,2016,1024729
ABBOTSFORD,6,2016,1066667
ABBOTSFORD,7,2016,1023042
ABBOTSFORD,8,2016,1013658
ABBOTSFORD,9,2016,1081108
ABBOTSFORD,10,2016,947143
ABBOTSFORD,11,2016,1089894
ABBOTSFORD,12,2016,914608
ABBOTSFORD,1,2017,1043255
ABBOTSFORD,2,2017,1180667
ABBOTSFORD,3,2017,1145347
ABBOTSFORD,4,2017,1204502
ABBOTSFORD,5,2017,1042940
ABBOTSFORD,6,2017,695000
ABBOTSFORD,7,2017,975074
ABBOTSFORD,8,2017,1245537
ABBOTSFORD,9,2017,1024086
ABBOTSFORD,10,2017,1043255
ABBOTSFORD,11,2017,1043255
ABBOTSFORD,12,2017,1043255
ABERFELDIE,1,2016,1315727
ABERFELDIE,2,2016,1315727
ABERFELDIE,3,2016,1315727
ABERFELDIE,4,2016,1227816
ABERFELDIE,5,2016,1264729
ABERFELDIE,6,2016,1687762
ABERFELDIE,7,2016,1315727
ABERFELDIE,8,2016,1315727
ABERFELDIE,9,2016,1006500
ABERFELDIE,10,2016,1590333
ABERFELDIE,11,2016,1009667
ABERFELDIE,12,2016,1708333
ABERFELDIE,1,2017,1315727
ABERFELDIE,2,2017,1233750
ABERFELDIE,3,2017,955333
ABERFELDIE,4,2017,1263896
ABERFELDIE,5,2017,1800833
ABERFELDIE,6,2017,858500
ABERFELDIE,7,2017,1169969
ABERFELDIE,8,2017,1683333
ABERFELDIE,9,2017,1275143
ABERFELDIE,10,2017,1315727
ABERFELDIE,11,2017,1315727
ABERFELDIE,12,2017,1315727
AIRPORT WEST,1,2016,713979
AIRPORT WEST,2,2016,713979
AIRPORT WEST,3,2016,713979
AIRPORT WEST,4,2016,746000
AIRPORT WEST,5,2016,655000
AIRPORT WEST,6,2016,465000
AIRPORT WEST,7,2016,626938
AIRPORT WEST,8,2016,651167
AIRPORT WEST,9,2016,780125
AIRPORT WEST,10,2016,629833
AIRPORT WEST,11,2016,712062
AIRPORT WEST,12,2016,765000
AIRPORT WEST,1,2017,713979
AIRPORT WEST,2,2017,746029
AIRPORT WEST,3,2017,694898
AIRPORT WEST,4,2017,742214
AIRPORT WEST,5,2017,790667
AIRPORT WEST,6,2017,842994
AIRPORT WEST,7,2017,708470
AIRPORT WEST,8,2017,804250
AIRPORT WEST,9,2017,777000
AIRPORT WEST,10,2017,713979
AIRPORT WEST,11,2017,713979
AIRPORT WEST,12,2017,713979
ALBANVALE,1,2016,532729
ALBANVALE,2,2016,532729
ALBANVALE,3,2016,532729
ALBANVALE,4,2016,532729
ALBANVALE,5,2016,532729
ALBANVALE,6,2016,532729
ALBANVALE,7,2016,532729
ALBANVALE,8,2016,532729
ALBANVALE,9,2016,532729
ALBANVALE,10,2016,532729
ALBANVALE,11,2016,532729
ALBANVALE,12,2016,532729
ALBANVALE,1,2017,532729
ALBANVALE,2,2017,532729
ALBANVALE,3,2017,532729
ALBANVALE,4,2017,532729
ALBANVALE,5,2017,532729
ALBANVALE,6,2017,529458
ALBANVALE,7,2017,555000
ALBANVALE,8,2017,504000
ALBANVALE,9,2017,542458
ALBANVALE,10,2017,532729
ALBANVALE,11,2017,532729
ALBANVALE,12,2017,532729
ALBERT PARK,1,2016,2032937
ALBERT PARK,2,2016,2032937
ALBERT PARK,3,2016,2032937
ALBERT PARK,4,2016,2050000
ALBERT PARK,5,2016,1809005
ALBERT PARK,6,2016,2042156
ALBERT PARK,7,2016,2268000
ALBERT PARK,8,2016,1706622
ALBERT PARK,9,2016,1916326
ALBERT PARK,10,2016,1901467
ALBERT PARK,11,2016,1638156
ALBERT PARK,12,2016,1908333
ALBERT PARK,1,2017,2032937
ALBERT PARK,2,2017,2079625
ALBERT PARK,3,2017,2099873
ALBERT PARK,4,2017,2093750
ALBERT PARK,5,2017,2157671
ALBERT PARK,6,2017,1987708
ALBERT PARK,7,2017,2688125
ALBERT PARK,8,2017,2371667
ALBERT PARK,9,2017,1841444
ALBERT PARK,10,2017,2032937
ALBERT PARK,11,2017,2032937
ALBERT PARK,12,2017,2032937
ALBION,1,2016,621610
ALBION,2,2016,765000
ALBION,3,2016,621610
ALBION,4,2016,621610
ALBION,5,2016,600000
ALBION,6,2016,567000
ALBION,7,2016,325000
ALBION,8,2016,185000
ALBION,9,2016,567500
ALBION,10,2016,657250
ALBION,11,2016,800000
ALBION,12,2016,720000
ALBION,1,2017,621610
ALBION,2,2017,591833
ALBION,3,2017,715000
ALBION,4,2017,800000
ALBION,5,2017,537000
ALBION,6,2017,784333
ALBION,7,2017,525750
ALBION,8,2017,665833
ALBION,9,2017,760875
ALBION,10,2017,621610
ALBION,11,2017,621610
ALBION,12,2017,621610
ALPHINGTON,1,2016,1415133
ALPHINGTON,2,2016,1415133
ALPHINGTON,3,2016,1415133
ALPHINGTON,4,2016,1781146
ALPHINGTON,5,2016,768148
ALPHINGTON,6,2016,1525000
ALPHINGTON,7,2016,1630000
ALPHINGTON,8,2016,1956823
ALPHINGTON,9,2016,1259398
ALPHINGTON,10,2016,1673833
ALPHINGTON,11,2016,1374438
ALPHINGTON,12,2016,1415133
ALPHINGTON,1,2017,1415133
ALPHINGTON,2,2017,1298431
ALPHINGTON,3,2017,1156000
ALPHINGTON,4,2017,1540000
ALPHINGTON,5,2017,963200
ALPHINGTON,6,2017,1795382
ALPHINGTON,7,2017,1623977
ALPHINGTON,8,2017,983000
ALPHINGTON,9,2017,1313350
