Suburb,Month,Year,avg_price
ABBOTSFORD,2,2016,1136041.5
ABBOTSFORD,4,2016,968541.5
ABBOTSFORD,5,2016,1024729
ABBOTSFORD,6,2016,1066666.67
ABBOTSFORD,7,2016,1023041.5
ABBOTSFORD,8,2016,1013658
ABBOTSFORD,9,2016,1081108
ABBOTSFORD,10,2016,947142.86
ABBOTSFORD,11,2016,1089893.82
ABBOTSFORD,12,2016,914608
ABBOTSFORD,2,2017,1180666.67
ABBOTSFORD,3,2017,1145347.17
ABBOTSFORD,4,2017,1204502.14
ABBOTSFORD,5,2017,1042940.43
ABBOTSFORD,6,2017,695000
ABBOTSFORD,7,2017,975073.57
ABBOTSFORD,8,2017,1245536.89
ABBOTSFORD,9,2017,1024086.4
ABERFELDIE,4,2016,1227816
ABERFELDIE,5,2016,1264728.6
ABERFELDIE,6,2016,1687762
ABERFELDIE,9,2016,1006500
ABERFELDIE,10,2016,1590333.33
ABERFELDIE,11,2016,1009666.67
ABERFELDIE,12,2016,1708333.33
ABERFELDIE,2,2017,1233750
ABERFELDIE,3,2017,955333.33
ABERFELDIE,4,2017,1263896.43
ABERFELDIE,5,2017,1800833.33
ABERFELDIE,6,2017,858500
ABERFELDIE,7,2017,1169969.33
ABERFELDIE,8,2017,1683333.33
ABERFELDIE,9,2017,1275142.86
AIRPORT WEST,4,2016,746000
AIRPORT WEST,5,2016,655000
AIRPORT WEST,6,2016,465000
AIRPORT WEST,7,2016,626937.5
AIRPORT WEST,8,2016,651166.67
AIRPORT WEST,9,2016,780125
AIRPORT WEST,10,2016,629833.33
AIRPORT WEST,11,2016,712062.5
AIRPORT WEST,12,2016,765000
AIRPORT WEST,2,2017,746028.67
AIRPORT WEST,3,2017,694898.44
AIRPORT WEST,4,2017,742214.29
AIRPORT WEST,5,2017,790666.67
AIRPORT WEST,6,2017,842994.38
AIRPORT WEST,7,2017,708470.18
AIRPORT WEST,8,2017,804250
AIRPORT WEST,9,2017,777000.13
ALBANVALE,6,2017,529458.5
ALBANVALE,7,2017,555000
ALBANVALE,8,2017,504000
ALBANVALE,9,2017,542458.5
ALBERT PARK,4,2016,2050000
ALBERT PARK,5,2016,1809004.67
ALBERT PARK,6,2016,2042155.6
ALBERT PARK,7,2016,2268000
ALBERT PARK,8,2016,1706622.2
ALBERT PARK,9,2016,1916326.4
ALBERT PARK,10,2016,1901466.6
ALBERT PARK,11,2016,1638155.6
ALBERT PARK,12,2016,1908333.33
ALBERT PARK,2,2017,2079625
ALBERT PARK,3,2017,2099873
ALBERT PARK,4,2017,2093750
ALBERT PARK,5,2017,2157670.9
ALBERT PARK,6,2017,1987708.33
ALBERT PARK,7,2017,2688125
ALBERT PARK,8,2017,2371666.67
ALBERT PARK,9,2017,1841444.5
ALBION,2,2016,765000
ALBION,5,2016,600000
ALBION,6,2016,567000
ALBION,7,2016,325000
ALBION,8,2016,185000
ALBION,9,2016,567500
ALBION,10,2016,657250
ALBION,11,2016,800000
ALBION,12,2016,720000
ALBION,2,2017,591833.33
ALBION,3,2017,715000
ALBION,4,2017,800000
ALBION,5,2017,537000
ALBION,6,2017,784333.33
ALBION,7,2017,525750
ALBION,8,2017,665833
ALBION,9,2017,760875
ALPHINGTON,4,2016,1781146
ALPHINGTON,5,2016,768147.75
ALPHINGTON,6,2016,1525000
ALPHINGTON,7,2016,1630000
ALPHINGTON,8,2016,1956823
ALPHINGTON,9,2016,1259397.75
ALPHINGTON,10,2016,1673833.33
ALPHINGTON,11,2016,1374437.5
ALPHINGTON,2,2017,1298430.67
ALPHINGTON,3,2017,1156000
ALPHINGTON,4,2017,1540000
ALPHINGTON,5,2017,963200
ALPHINGTON,6,2017,1795382
ALPHINGTON,7,2017,1623976.6
ALPHINGTON,8,2017,983000
ALPHINGTON,9,2017,1313350
ALTONA,2,2016,720000
ALTONA,4,2016,661666.67
ALTONA,5,2016,807157.14
ALTONA,6,2016,1104333.33
ALTONA,7,2016,557800
ALTONA,8,2016,747642.86
ALTONA,9,2016,647400
ALTONA,10,2016,740400
ALTONA,11,2016,818916.67
ALTONA,12,2016,1065000
ALTONA,2,2017,705187.11
ALTONA,3,2017,908666.67
ALTONA,4,2017,822979.6
ALTONA,5,2017,1193000
ALTONA,6,2017,883755.14
ALTONA,7,2017,950978.55
ALTONA,8,2017,871321.45
ALTONA,9,2017,819681.33
ALTONA MEADOWS,6,2017,820000
ALTONA MEADOWS,7,2017,559375
ALTONA MEADOWS,8,2017,810000
ALTONA MEADOWS,9,2017,701430.5
ALTONA NORTH,4,2016,590000
ALTONA NORTH,5,2016,712000
ALTONA NORTH,6,2016,703473.82
ALTONA NORTH,7,2016,750625
ALTONA NORTH,8,2016,701158.7
ALTONA NORTH,9,2016,826601.71
ALTONA NORTH,10,2016,804750
ALTONA NORTH,11,2016,730537.69
ALTONA NORTH,12,2016,703319.5
ALTONA NORTH,2,2017,769958.33
ALTONA NORTH,3,2017,783479.17
ALTONA NORTH,4,2017,799070.67
ALTONA NORTH,5,2017,821625
ALTONA NORTH,6,2017,819023.56
ALTONA NORTH,7,2017,814900.92
ALTONA NORTH,8,2017,841166.67
ALTONA NORTH,9,2017,900458.86
ARDEER,5,2017,651750
ARDEER,6,2017,651750
ARDEER,7,2017,636000
ARDEER,8,2017,730000
ARDEER,9,2017,636166.67
ARMADALE,4,2016,1894135.8
ARMADALE,5,2016,1646802
ARMADALE,6,2016,1756465
ARMADALE,7,2016,958984.86
ARMADALE,8,2016,1312012.2
ARMADALE,9,2016,2019815.6
ARMADALE,10,2016,1910187.5
ARMADALE,11,2016,2026238.4
ARMADALE,12,2016,1407513.77
ARMADALE,2,2017,1524586.86
ARMADALE,3,2017,1515272.13
ARMADALE,4,2017,1031830.44
ARMADALE,5,2017,1629191.14
ARMADALE,6,2017,2305438.71
ARMADALE,7,2017,734142.43
ARMADALE,8,2017,1702781.22
ARMADALE,9,2017,2105063.28
ASCOT VALE,2,2016,895000
ASCOT VALE,4,2016,1159800
ASCOT VALE,5,2016,1025765.71
ASCOT VALE,6,2016,859590.91
ASCOT VALE,7,2016,1085111.11
ASCOT VALE,8,2016,1121500
ASCOT VALE,9,2016,984075
ASCOT VALE,10,2016,1032624.44
ASCOT VALE,11,2016,1001156
ASCOT VALE,12,2016,953460
ASCOT VALE,2,2017,1018585.71
ASCOT VALE,3,2017,1247666.67
ASCOT VALE,4,2017,1182340
ASCOT VALE,5,2017,1212388.24
ASCOT VALE,6,2017,1190177.5
ASCOT VALE,7,2017,992848
ASCOT VALE,8,2017,1275183.33
ASCOT VALE,9,2017,915261.11
ASHBURTON,2,2016,1506365
ASHBURTON,4,2016,1471932.5
ASHBURTON,5,2016,1642380.7
ASHBURTON,6,2016,1421818.33
ASHBURTON,7,2016,1440000
ASHBURTON,8,2016,1694825.88
ASHBURTON,9,2016,1914125
ASHBURTON,10,2016,1364800
ASHBURTON,11,2016,1503103.5
ASHBURTON,12,2016,1578961.43
ASHBURTON,2,2017,1712031.13
ASHBURTON,3,2017,1758943.86
ASHBURTON,4,2017,1543277.5
ASHBURTON,5,2017,1796773
ASHBURTON,6,2017,1991655.18
ASHBURTON,7,2017,1464510
ASHBURTON,8,2017,1674563.18
ASHBURTON,9,2017,1497861
ASHWOOD,2,2016,1094856
ASHWOOD,4,2016,997318.25
ASHWOOD,5,2016,1159795.5
ASHWOOD,6,2016,1021942.67
ASHWOOD,7,2016,1192208.5
ASHWOOD,8,2016,1137018.43
ASHWOOD,9,2016,1146530.33
ASHWOOD,10,2016,1401171.2
ASHWOOD,11,2016,1044536.55
ASHWOOD,12,2016,1042942.4
ASHWOOD,2,2017,1156883.4
ASHWOOD,3,2017,1085631
ASHWOOD,4,2017,1117571.43
ASHWOOD,5,2017,1138892.78
ASHWOOD,6,2017,1270000
ASHWOOD,7,2017,1283833.33
ASHWOOD,8,2017,1253333.33
ASHWOOD,9,2017,1154733.4
ASPENDALE,5,2017,1610000
ASPENDALE,6,2017,1040250
ASPENDALE,7,2017,1019694.5
ASPENDALE,8,2017,1495700
ASPENDALE,9,2017,1174223.86
ASPENDALE GARDENS,7,2017,840000
ASPENDALE GARDENS,9,2017,832500
ATTWOOD,6,2017,640000
ATTWOOD,9,2017,640000
AVONDALE HEIGHTS,4,2016,713100
AVONDALE HEIGHTS,5,2016,931657.44
AVONDALE HEIGHTS,6,2016,977500
AVONDALE HEIGHTS,7,2016,714250
AVONDALE HEIGHTS,8,2016,724677.13
AVONDALE HEIGHTS,9,2016,748611.11
AVONDALE HEIGHTS,10,2016,794101.89
AVONDALE HEIGHTS,11,2016,722601.89
AVONDALE HEIGHTS,12,2016,1061806
AVONDALE HEIGHTS,2,2017,812903.17
AVONDALE HEIGHTS,3,2017,736000
AVONDALE HEIGHTS,4,2017,952927.13
AVONDALE HEIGHTS,5,2017,932000
AVONDALE HEIGHTS,6,2017,910600
AVONDALE HEIGHTS,7,2017,790318.18
AVONDALE HEIGHTS,8,2017,869139
AVONDALE HEIGHTS,9,2017,775500
BALACLAVA,5,2016,445286.75
BALACLAVA,6,2016,902642.8
BALACLAVA,7,2016,1284214
BALACLAVA,8,2016,497500
BALACLAVA,9,2016,1181738
BALACLAVA,10,2016,511250
BALACLAVA,11,2016,778333.33
BALACLAVA,12,2016,410000
BALACLAVA,2,2017,1335500
BALACLAVA,3,2017,589147
BALACLAVA,4,2017,465000
BALACLAVA,5,2017,450000
BALACLAVA,6,2017,882500
BALACLAVA,7,2017,434333.33
BALACLAVA,8,2017,1004875
BALACLAVA,9,2017,672358.29
BALWYN,2,2016,450000
BALWYN,4,2016,1576471.67
BALWYN,5,2016,1992105.76
BALWYN,6,2016,2107311.2
BALWYN,7,2016,2120099.56
BALWYN,8,2016,1579518.88
BALWYN,9,2016,1665035.39
BALWYN,10,2016,1695330
BALWYN,11,2016,1919145.19
BALWYN,12,2016,1986409.09
BALWYN,2,2017,2049321
BALWYN,3,2017,2071171.73
BALWYN,4,2017,1296580
BALWYN,5,2017,1408383.33
BALWYN,6,2017,2071806.67
BALWYN,7,2017,2092935
BALWYN,8,2017,1757466.86
BALWYN,9,2017,1993994.22
BALWYN NORTH,4,2016,1916996.15
BALWYN NORTH,5,2016,1582081.82
BALWYN NORTH,6,2016,1782838.84
BALWYN NORTH,7,2016,1657571.78
BALWYN NORTH,8,2016,1830825.23
BALWYN NORTH,9,2016,1707855.59
BALWYN NORTH,10,2016,1835548.93
BALWYN NORTH,11,2016,1627091.44
BALWYN NORTH,12,2016,2004441.25
BALWYN NORTH,2,2017,1646500.11
BALWYN NORTH,3,2017,1814930
BALWYN NORTH,4,2017,1821598.9
BALWYN NORTH,5,2017,1675197.83
BALWYN NORTH,6,2017,1786646.45
BALWYN NORTH,7,2017,1661490.64
BALWYN NORTH,8,2017,2033390.06
BALWYN NORTH,9,2017,1821647.43
BAYSWATER,5,2017,657500
BAYSWATER,6,2017,758418.8
BAYSWATER,7,2017,686333.33
BAYSWATER,8,2017,630797
BAYSWATER,9,2017,820500
BAYSWATER NORTH,6,2017,741166.5
BAYSWATER NORTH,7,2017,683171.4
BAYSWATER NORTH,8,2017,678857
BAYSWATER NORTH,9,2017,793000
BEACONSFIELD,7,2017,581333.33
BEACONSFIELD UPPER,6,2017,675000
BEAUMARIS,5,2017,2364375
BEAUMARIS,6,2017,1733458.33
BEAUMARIS,7,2017,1373575
BEAUMARIS,8,2017,1860200.5
BEAUMARIS,9,2017,1682379.17
BELLFIELD,4,2016,770000
BELLFIELD,5,2016,635000
BELLFIELD,6,2016,804867
BELLFIELD,7,2016,752000
BELLFIELD,8,2016,773000
BELLFIELD,9,2016,780000
BELLFIELD,10,2016,890000
BELLFIELD,11,2016,835000
BELLFIELD,12,2016,804867
BELLFIELD,2,2017,720000
BELLFIELD,3,2017,778622.33
BELLFIELD,4,2017,849433.5
BELLFIELD,5,2017,875500
BELLFIELD,7,2017,850291.5
BELLFIELD,8,2017,852333.33
BELLFIELD,9,2017,900000
BENTLEIGH,2,2016,1222500
BENTLEIGH,4,2016,1572660.2
BENTLEIGH,5,2016,1291966.83
BENTLEIGH,6,2016,1330413.23
BENTLEIGH,7,2016,1114000
BENTLEIGH,8,2016,1325730.76
BENTLEIGH,9,2016,1155856.58
BENTLEIGH,10,2016,1240767.23
BENTLEIGH,11,2016,1233013.73
BENTLEIGH,12,2016,1259079
BENTLEIGH,2,2017,1406000
BENTLEIGH,3,2017,1158740.08
BENTLEIGH,4,2017,960861.27
BENTLEIGH,5,2017,1359558.33
BENTLEIGH,6,2017,1330212.08
BENTLEIGH,7,2017,1214500
BENTLEIGH,8,2017,1401079
BENTLEIGH,9,2017,1456156.08
BENTLEIGH EAST,2,2016,788435
BENTLEIGH EAST,4,2016,971800
BENTLEIGH EAST,5,2016,996996.29
BENTLEIGH EAST,6,2016,981595.88
BENTLEIGH EAST,7,2016,1067437.5
BENTLEIGH EAST,8,2016,1134945.04
BENTLEIGH EAST,9,2016,1088130.08
BENTLEIGH EAST,10,2016,992755.21
BENTLEIGH EAST,11,2016,1069963.53
