Suburb,Address,Rooms,Type,Price,Method,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,YearBuilt,CouncilArea,Regionname
Abbotsford,68 Studley St,2,h,937432,SS,Sep-16,2.5,3067,2,1,1,126,1953,Yarra,Northern Metropolitan
Abbotsford,85 Turner St,2,h,1480000,S,Dec-16,2.5,3067,2,1,1,202,1953,Yarra,Northern Metropolitan
Abbotsford,25 Bloomburg St,2,h,1035000,S,Feb-16,2.5,3067,2,1,0,156,1900,Yarra,Northern Metropolitan
Abbotsford,18/659 Victoria St,3,u,1237083,VB,Feb-16,2.5,3067,3,2,1,0,1952,Yarra,Northern Metropolitan
Abbotsford,5 Charles St,3,h,1465000,SP,Mar-17,2.5,3067,3,2,0,134,1900,Yarra,Northern Metropolitan
Abbotsford,40 Federation La,3,h,850000,PI,Mar-17,2.5,3067,3,2,1,94,1952,Yarra,Northern Metropolitan
Abbotsford,55a Park St,4,h,1600000,VB,Jun-16,2.5,3067,3,1,2,120,2014,Yarra,Northern Metropolitan
Abbotsford,16 Maugie St,4,h,1596400,SN,Aug-16,2.5,3067,3,2,2,400,2006,Yarra,Northern Metropolitan
Abbotsford,53 Turner St,2,h,937432,S,Aug-16,2.5,3067,4,1,2,201,1900,Yarra,Northern Metropolitan
Abbotsford,99 Turner St,2,h,937432,S,Aug-16,2.5,3067,3,2,1,202,1900,Yarra,Northern Metropolitan
Abbotsford,129 Charles St,2,h,941000,S,May-16,2.5,3067,2,1,0,181,1953,Yarra,Northern Metropolitan
Abbotsford,124 Yarra St,3,h,1876000,S,May-16,2.5,3067,4,2,0,245,1910,Yarra,Northern Metropolitan
Abbotsford,121/56 Nicholson St,2,u,937432,PI,Nov-16,2.5,3067,2,2,1,4292,2009,Yarra,Northern Metropolitan
Abbotsford,17 Raphael St,4,h,1596400,W,Nov-16,2.5,3067,6,2,0,230,1860,Yarra,Northern Metropolitan
Abbotsford,98 Charles St,2,h,1636000,S,Oct-16,2.5,3067,2,1,2,256,1890,Yarra,Northern Metropolitan
Abbotsford,217 Langridge St,3,h,1000000,S,Oct-16,2.5,3067,3,2,1,331,1952,Yarra,Northern Metropolitan
Abbotsford,18a Mollison St,2,t,745000,S,Oct-16,2.5,3067,2,1,1,420,1953,Yarra,Northern Metropolitan
Abbotsford,6/241 Nicholson St,1,u,300000,S,Oct-16,2.5,3067,1,1,1,0,2013,Yarra,Northern Metropolitan
Abbotsford,10 Valiant St,2,h,1097000,S,Oct-16,2.5,3067,3,1,2,220,1900,Yarra,Northern Metropolitan
Abbotsford,403/609 Victoria St,2,u,542000,S,Oct-16,2.5,3067,2,1,1,420,1953,Yarra,Northern Metropolitan
Abbotsford,2 Rich St,2,h,937432,SP,Dec-16,2.5,3067,2,1,1,176,1925,Yarra,Northern Metropolitan
Abbotsford,25/84 Trenerry Cr,2,u,760000,SP,Dec-16,2.5,3067,2,1,1,420,1953,Yarra,Northern Metropolitan
Abbotsford,106/119 Turner St,1,u,481000,SP,Dec-16,2.5,3067,1,1,1,0,2013,Yarra,Northern Metropolitan
