Suburb,Address,Rooms,Type,Price,Method,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,YearBuilt,CouncilArea,Regionname
Alphington,30 Austin St,3,House,1337591,SN,Sep-16,6.4,3078,3,2,1,174,2003,Darebin,Northern Metropolitan
Alphington,6 Smith St,4,House,2000000,S,Sep-16,6.4,3078,3,2,4,853,1930,Darebin,Northern Metropolitan
Alphington,5/6 Yarralea St,3,House,1110000,S,Sep-16,6.4,3078,3,2,2,208,2013,Yarra,Northern Metropolitan
Alphington,136A Fulham Rd,3,House,1492000,S,Mar-17,6.4,3078,3,2,2,411,1990,Darebin,Northern Metropolitan
Alphington,1/9 Roemer Cr,2,Unit,480000,PI,May-16,6.4,3078,2,1,1,71,1972,Darebin,Northern Metropolitan
Alphington,4 Tuckett St,3,House,1337591,S,May-16,6.4,3078,3,1,3,922,1990,Darebin,Northern Metropolitan
Alphington,2/21 Fulham Rd,3,Townhouse,1304000,SP,Oct-16,6.4,3078,3,1,2,524,1990,Darebin,Northern Metropolitan
Alphington,44 Shiers St,4,House,1717500,S,Oct-16,6.4,3078,4,2,1,599,1925,Darebin,Northern Metropolitan
Alphington,83 Fulham Rd,5,House,2840000,S,Jun-16,6.4,3078,5,4,4,809,1910,Darebin,Northern Metropolitan
Alphington,29 Alphington St,5,House,2840000,S,Nov-16,6.4,3078,5,3,4,743,1915,Yarra,Northern Metropolitan
Alphington,3/19 Harker St,2,Unit,525500,S,Nov-16,6.4,3078,2,1,1,88,1960,Darebin,Northern Metropolitan
Alphington,4/2 Miller St,2,Townhouse,805000,S,Nov-16,6.4,3078,2,2,3,155,2004,Darebin,Northern Metropolitan
Alphington,2/5 Yarana Rd,2,Unit,465000,S,Nov-16,6.4,3078,2,1,1,0,1972,Darebin,Northern Metropolitan
Alphington,4/5 Chandler Hwy,4,Townhouse,2022292,PN,Aug-16,6.4,3078,4,2,2,618,1947,Darebin,Northern Metropolitan
Alphington,69 Lucerne Cr,3,House,1480000,S,Aug-16,6.4,3078,3,1,2,524,1990,Darebin,Northern Metropolitan
Alphington,815 Heidelberg Rd,3,House,2000000,PI,Oct-16,6.4,3078,3,3,2,686,1990,Darebin,Northern Metropolitan
Alphington,44 Naroon Rd,3,House,1540000,S,Apr-16,6.4,3078,3,1,2,592,1990,Darebin,Northern Metropolitan
Alphington,11 Tower Av,4,House,2022292,S,Apr-16,6.4,3078,4,2,2,618,1947,Darebin,Northern Metropolitan
Alphington,1/17 Rex Av,2,Unit,590000,PI,Sep-16,6.4,3078,2,1,1,71,1972,Darebin,Northern Metropolitan
Alphington,3/98 Grange Rd,2,Unit,820000,S,Mar-17,6.4,3078,2,1,1,183,1972,Darebin,Northern Metropolitan
Alphington,10 Bennett St,4,House,1830000,S,Nov-16,6.4,3078,4,2,2,606,1970,Darebin,Northern Metropolitan
Alphington,38 Bennett St,4,House,2100000,S,Nov-16,6.4,3078,4,2,2,575,2008,Darebin,Northern Metropolitan
Alphington,2c Hamilton St,3,House,865000,SP,May-16,6.4,3078,3,1,1,180,2010,Darebin,Northern Metropolitan
Alphington,5/5 Yarana Rd,2,Unit,390000,VB,May-16,6.4,3078,2,1,1,0,1960,Darebin,Northern Metropolitan
Alphington,1/14 Fulham Rd,2,Unit,512000,S,Feb-17,6.4,3078,2,1,1,0,1965,Darebin,Northern Metropolitan
Alphington,17 Lowther St,3,House,1361000,S,Feb-17,6.4,3078,3,1,2,524,1990,Darebin,Northern Metropolitan
