Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,YearBuilt,CouncilArea,Regionname,Propertycount,Area
Albert Park,105 Kerferd Rd,2,h,1275000,S,hockingstuart,2016-09-03,3.3,3206,2,1,0,120,1900,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,85 Richardson St,2,h,1455000,S,Thomson,2016-09-03,3.3,3206,2,1,0,159,1907,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,112 Beaconsfield Pde,3,h,2850000,PI,Buxton,2017-03-04,3.3,3206,3,2,0,211,1890,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,94 Graham St,3,h,1850000,S,Greg,2017-03-04,3.3,3206,3,2,0,128,1890,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,14 Merton St,2,h,1562333,SP,Marshall,2017-03-04,3.3,3206,2,1,0,215,1900,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,396 Montague St,2,h,1436000,S,RT,2017-03-04,3.3,3206,2,1,0,130,1900,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,9 Boyd St,3,h,2090778,SN,Greg,2016-08-06,3.3,3206,2,2,1,336,1890,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,75 Graham St,2,h,1110000,S,Marshall,2016-08-06,3.3,3206,1,1,0,147,1900,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,54 Brooke St,2,h,1550000,S,Sotheby's,2016-05-07,3.3,3206,2,1,1,167,1907,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,104 Richardson St,4,h,2300000,S,Marshall,2016-05-07,3.3,3206,4,2,1,153,1880,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,81 Richardson St,3,h,2090778,S,Marshall,2016-05-07,3.3,3206,3,1,2,316,1880,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,4a Mills St,3,t,1550000,VB,Marshall,2016-11-07,3.3,3206,3,2,2,718,1911,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,1 Moubray St,3,h,1800000,VB,Greg,2016-11-07,3.3,3206,3,2,1,132,1996,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,114 Victoria Av,3,h,2485000,S,Cayzer,2016-10-08,3.3,3206,3,2,1,182,1911,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,29 Faussett St,2,h,2120000,S,Greg,2016-09-10,3.3,3206,2,1,1,199,1900,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,3 Herbert St,3,h,1800000,VB,Cayzer,2016-09-10,3.3,3206,3,1,1,253,1911,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,24 Kerferd Pl,3,h,1800000,S,Marshall,2016-09-10,3.3,3206,3,2,1,90,1900,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,5 Withers St,3,h,2090778,SN,Marshall,2016-09-10,3.3,3206,3,1,0,126,1910,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,44 Draper St,2,h,1810000,PI,Greg,2016-12-10,3.3,3206,2,1,0,240,1907,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,2 Dundas Pl,3,h,2615000,S,Cayzer,2016-12-10,3.3,3206,3,2,1,177,1880,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,31 Richardson St,3,h,1300000,S,hockingstuart,2016-12-10,3.3,3206,3,1,0,129,1911,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,4a Gatehouse La,3,h,1370000,S,Greg,2016-06-12,3.3,3206,3,2,2,0,2000,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,60 Brooke St,2,h,1000000,S,Cayzer,2016-11-12,3.3,3206,2,1,0,288,1907,Port Phillip,Southern Metropolitan,3280,Suburb
