Suburb,CouncilArea,Area,avg_price
Canterbury,Boroondara,Suburb,2359140.820754717
Middle Park,Port Phillip,Suburb,2269616.0178571427
Malvern,Stonnington,Suburb,2006118.3641618497
Albert Park,Port Phillip,Suburb,2000214.6732673268
Brighton,Bayside,Suburb,1993757.6169590643
Canterbury,Boroondara,Council Area,2359140.820754717
Malvern,Stonnington,Council Area,2006118.3641618497
Brighton,Bayside,Council Area,1993757.6169590643
Mont Albert,Whitehorse,Council Area,1549152.35
Templestowe,Manningham,Council Area,1524640.5789473683
