Suburb,Year,Median Price
Albert Park,2010,1167500
Brighton,2010,1810000
Canterbury,2010,1827500
Malvern,2010,1741500
Middle Park,2010,1512500
Albert Park,2011,1390000
Brighton,2011,1730000
Canterbury,2011,1730000
Malvern,2011,1542500
Middle Park,2011,1345000
Albert Park,2012,1265000
Brighton,2012,1789500
Canterbury,2012,1790000
Malvern,2012,1550000
Middle Park,2012,1420500
Albert Park,2013,1360000
Brighton,2013,1802500
Canterbury,2013,1950000
Malvern,2013,1508500
Middle Park,2013,1587500
Albert Park,2014,1503000
Brighton,2014,1940000
Canterbury,2014,2100000
Malvern,2014,1946000
Middle Park,2014,2125000
Albert Park,2015,1700000
Brighton,2015,2302500
Canterbury,2015,2523000
Malvern,2015,2230000
Middle Park,2015,2317000
Albert Park,2016,1775000
Brighton,2016,2740000
Canterbury,2016,2620000
Malvern,2016,2328500
Middle Park,2016,2238500
Albert Park,2017,2150000
Brighton,2017,3050000
Canterbury,2017,3140000
Malvern,2017,2750000
Middle Park,2017,2370000
Albert Park,2018,2070000
Brighton,2018,2888000
Canterbury,2018,2536500
Malvern,2018,2661000
Middle Park,2018,2685000
Albert Park,2019,1980000
Brighton,2019,2662500
Canterbury,2019,2902500
Malvern,2019,2570000
Middle Park,2019,2775000
Albert Park,2020,1890000
Brighton,2020,3065000
Canterbury,2020,2700000
Malvern,2020,2748000
Middle Park,2020,2652500
Albert Park,2021,2390000
Brighton,2021,2842500
Canterbury,2021,2830000
Malvern,2021,2317500
Middle Park,2021,3675000
