Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,YearBuilt,CouncilArea,Regionname,Propertycount
Ashburton,61 Dent St,4,House,2650000,S,Marshall,2016-09-03,11,3147,4,3,2,753,2015,Boroondara,Southern Metropolitan,3052
Ashburton,1 Wilgra Av,2,House,1820000,S,Marshall,2016-09-03,11,3147,2,1,2,557,1965,Boroondara,Southern Metropolitan,3052
Ashburton,69 Albion Rd,3,House,1670000,S,Jellis,2016-12-03,11,3147,3,2,2,599,1930,Boroondara,Southern Metropolitan,3052
Ashburton,1/17 Ashburn Gr,3,Townhouse,955000,S,Buxton,2016-12-03,11,3147,3,2,2,203,1960,Boroondara,Southern Metropolitan,3052
Ashburton,3/39 Solway St,3,Townhouse,2050000,S,Fletchers,2016-12-03,11,3147,3,3,4,310,2014,Boroondara,Southern Metropolitan,3052
Ashburton,7A Wirraway Ct,3,House,1506365,S,Buxton,2016-02-04,11,3147,3,1,1,370,1950,Boroondara,Southern Metropolitan,3052
Ashburton,101/218 High St,2,Unit,500000,VB,Fletchers,2017-03-04,11,3147,2,1,1,710,2010,Boroondara,Southern Metropolitan,3052
Ashburton,51 Victory Bvd,2,House,1575000,S,Jellis,2017-03-04,11,3147,2,1,2,679,1965,Boroondara,Southern Metropolitan,3052
Ashburton,50 Warner Av,4,House,1991000,S,Jellis,2017-03-04,11,3147,4,2,2,579,1979,Boroondara,Southern Metropolitan,3052
Ashburton,2 Benghazi Av,3,House,1425000,S,Jellis,2016-06-04,11,3147,3,2,2,615,1960,Boroondara,Southern Metropolitan,3052
Ashburton,3 Dunlop St,3,House,1555000,S,Jellis,2016-06-04,11,3147,3,2,2,731,1935,Boroondara,Southern Metropolitan,3052
Ashburton,36 Morotai Av,2,House,1417000,S,Buxton,2016-06-04,11,3147,2,1,2,557,1965,Boroondara,Southern Metropolitan,3052
Ashburton,15 Lancaster St,4,House,1849442,SP,Fletchers,2016-05-07,11,3147,4,2,2,579,1979,Boroondara,Southern Metropolitan,3052
