LOCATION,SUBJECT,MEASURE,TIME,Value
Australia,PRICEINCOME,IDX2015,1970,57.43829977
Australia,PRICEINCOME,IDX2015,1971,58.93071223
Australia,PRICEINCOME,IDX2015,1972,59.96049177
Australia,PRICEINCOME,IDX2015,1973,62.09235783
Australia,PRICEINCOME,IDX2015,1974,63.01671415
Australia,PRICEINCOME,IDX2015,1975,58.59142217
Australia,PRICEINCOME,IDX2015,1976,58.27276164
Australia,PRICEINCOME,IDX2015,1977,57.11174831
Australia,PRICEINCOME,IDX2015,1978,54.43141918
Australia,PRICEINCOME,IDX2015,1979,55.02049517
Australia,PRICEINCOME,IDX2015,1980,55.94601889
Australia,PRICEINCOME,IDX2015,1981,57.68701224
Australia,PRICEINCOME,IDX2015,1982,53.99421075
Australia,PRICEINCOME,IDX2015,1983,52.84425207
Australia,PRICEINCOME,IDX2015,1984,54.07076076
Australia,PRICEINCOME,IDX2015,1985,55.81504449
Australia,PRICEINCOME,IDX2015,1986,55.74855856
Australia,PRICEINCOME,IDX2015,1987,55.44907099
Australia,PRICEINCOME,IDX2015,1988,62.2119919
Australia,PRICEINCOME,IDX2015,1989,70.0754148
Australia,PRICEINCOME,IDX2015,1990,66.03807151
Australia,PRICEINCOME,IDX2015,1991,67.09882351
Australia,PRICEINCOME,IDX2015,1992,66.29392985
Australia,PRICEINCOME,IDX2015,1993,66.47947997
Australia,PRICEINCOME,IDX2015,1994,65.73602927
Australia,PRICEINCOME,IDX2015,1995,63.56294846
Australia,PRICEINCOME,IDX2015,1996,60.9869556
Australia,PRICEINCOME,IDX2015,1997,61.26093062
Australia,PRICEINCOME,IDX2015,1998,64.7204622
Australia,PRICEINCOME,IDX2015,1999,66.28825928
Australia,PRICEINCOME,IDX2015,2000,68.22872066
Australia,PRICEINCOME,IDX2015,2001,70.12064384
Australia,PRICEINCOME,IDX2015,2002,81.63781795
Australia,PRICEINCOME,IDX2015,2003,92.17960847
Australia,PRICEINCOME,IDX2015,2004,91.33359124
