Country,Region,Sea-LevelRiseScenarios,ImpactedGDP ,PercentageofGDPimpacted,Region2,Sea-Level Rise Scenarios2,PercentageofGDPimpacted2,ImpactedGDP2
Argentina,Latin America / Caribbean,Onemeter,1362,0.309617933,Latin America / Caribbean,Onemeter,0.540943976,19743
Bahamas,Latin America / Caribbean,Onemeter,235,4.735993551,Middle East / North Africa,Onemeter,1.510249418,21211
Belize,Latin America / Caribbean,Onemeter,27,2.057926829,Sub-Saharan Africa,Onemeter,0.237889295,2401
Brazil,Latin America / Caribbean,Onemeter,7134,0.578291923,East Asia,Onemeter,2.090849846,158428
Chile,Latin America / Caribbean,Onemeter,113,0.083099234,South Asia,Onemeter,0.566002755,18653
Colombia,Latin America / Caribbean,Onemeter,594,0.200386604,Latin America / Caribbean,Twometer,1.003526013,36626
Costa Rica,Latin America / Caribbean,Onemeter,43,0.1120346,Middle East / North Africa,Twometer,2.181961879,30645
Cuba,Latin America / Caribbean,Onemeter,86,0.447916667,Sub-Saharan Africa,Twometer,0.450711538,4549
Dominican Republic,Latin America / Caribbean,Onemeter,88,0.152046582,East Asia,Twometer,3.372615183,255550
Ecuador,Latin America / Caribbean,Onemeter,1065,2.659441642,South Asia,Twometer,0.963749182,31761
El Salvador,Latin America / Caribbean,Onemeter,93,0.282863921,Latin America / Caribbean,Threemeter,1.358154889,49569
French Guiana,Latin America / Caribbean,Onemeter,59,3.02409021,Middle East / North Africa,Threemeter,2.784822745,39112
Guatemala,Latin America / Caribbean,Onemeter,10,0.019832613,Sub-Saharan Africa,Threemeter,0.725656474,7324
Guyana,Latin America / Caribbean,Onemeter,161,4.641106947,East Asia,Threemeter,5.201508313,394129
Haiti,Latin America / Caribbean,Onemeter,12,0.078436499,South Asia,Threemeter,1.61043608,53073
Honduras,Latin America / Caribbean,Onemeter,15,0.082603668,Latin America / Caribbean,Fourmeter,1.851506316,67575
Jamaica,Latin America / Caribbean,Onemeter,62,0.672013874,Middle East / North Africa,Fourmeter,3.342684429,46947
Mexico,Latin America / Caribbean,Onemeter,4565,0.54400286,Sub-Saharan Africa,Fourmeter,1.097401845,11076
Suriname,Latin America / Caribbean,Onemeter,95,6.418918919,East Asia,Fourmeter,7.821576977,592657
Nicaragua,Latin America / Caribbean,Onemeter,13,0.099236641,South Asia,Fourmeter,2.271687998,74865
Peru,Latin America / Caribbean,Onemeter,774,0.644532714,Latin America / Caribbean,Fivemeter,2.385408678,87061
Panama,Latin America / Caribbean,Onemeter,142,0.852699213,Middle East / North Africa,Fivemeter,3.956011876,55561
Puerto Rico,Latin America / Caribbean,Onemeter,1473,1.528198531,Sub-Saharan Africa,Fivemeter,1.378093378,13909
Uruguay,Latin America / Caribbean,Onemeter,428,1.481635338,East Asia,Fivemeter,10.20397228,773176
Venezuela,Latin America / Caribbean,Onemeter,1094,0.811181552,South Asia,Fivemeter,3.001607918,98920
Argentina,Latin America / Caribbean,Twometer,3266,0.742446527,,,,
Bahamas,Latin America / Caribbean,Twometer,397,8.000806127,,,,
Belize,Latin America / Caribbean,Twometer,46,3.506097561,,,,
Brazil,Latin America / Caribbean,Twometer,12432,1.007755143,,,,
Chile,Latin America / Caribbean,Twometer,151,0.111044109,,,,
Colombia,Latin America / Caribbean,Twometer,1500,0.506026779,,,,
Costa Rica,Latin America / Caribbean,Twometer,67,0.17456554,,,,
Cuba,Latin America / Caribbean,Twometer,670,3.489583333,,,,
Dominican Republic,Latin America / Caribbean,Twometer,188,0.324826788,,,,
Ecuador,Latin America / Caribbean,Twometer,1356,3.386105978,,,,
El Salvador,Latin America / Caribbean,Twometer,100,0.304154754,,,,
French Guiana,Latin America / Caribbean,Twometer,60,3.075345976,,,,
Guatemala,Latin America / Caribbean,Twometer,16,0.03173218,,,,
Guyana,Latin America / Caribbean,Twometer,283,8.157970597,,,,
Haiti,Latin America / Caribbean,Twometer,27,0.176482123,,,,
Honduras,Latin America / Caribbean,Twometer,40,0.220276447,,,,
Jamaica,Latin America / Caribbean,Twometer,76,0.823758942,,,,
