Country,Confirmed,Deaths,Recovered,Active,Population,Continent
Afghanistan,39703,1473,33064,5166,38928341,Asia
Albania,15231,416,9406,5409,2877800,Europe
Algeria,52940,1795,37170,13975,43851043,Africa
Andorra,2696,55,1814,827,77265,Europe
Angola,6246,218,2716,3312,32866268,Africa
Antigua and Barbuda,111,3,97,11,97928,North America
Argentina,883882,23581,709464,150837,45195777,South America
Armenia,55736,1016,45771,8949,2963234,Europe
Australia,27263,898,24987,1378,25499881,Oceania
Austria,54423,852,42829,10742,9006400,Europe
Azerbaijan,41752,608,39235,1909,10139175,Europe
Bahamas,5023,106,2815,2102,393248,North America
Bahrain,75287,273,70808,4206,1701583,Asia
Bangladesh,377073,5500,291365,80208,164689383,Asia
Barbados,206,7,183,16,287371,North America
Belarus,82471,885,76543,5043,9449321,Europe
Belgium,156931,10175,20202,126554,11589616,Europe
Belize,2427,35,1487,905,397621,North America
Benin,2411,41,1973,397,12123198,Africa
Bhutan,306,0,287,19,771612,Asia
Bolivia,138463,8292,100786,29385,11673029,South America
Bosnia and Herzegovina,30345,927,23370,6048,3280815,Europe
Botswana,3219,18,834,2367,2351625,Africa
Brazil,5055888,149639,4502854,403395,212559409,South America
Brunei,146,3,143,0,437479,Asia
Bulgaria,24319,891,15818,7610,6948445,Europe
Burkina Faso,2271,61,1542,668,20903278,Africa
Burma,26064,598,7050,18416,54409800,Asia
Burundi,517,1,472,44,11890781,Africa
Cabo Verde,6913,74,5970,869,548800,Africa
Cambodia,283,0,277,6,16718971,Asia
Cameroon,21203,423,20117,663,26545864,Africa
Canada,182767,9661,153857,19249,37742157,North America
Central African Republic,4854,62,1924,2868,4829764,Africa
Chad,1291,92,1103,96,16425859,Africa
Chile,479595,13272,452054,14269,19116209,South America
China,90778,4739,85658,381,1439323774,Asia
Colombia,902747,27660,783131,91956,50882884,South America
Comoros,495,7,475,13,869595,Africa
Congo,10841,276,10242,323,5518092,Africa
Costa Rica,87439,1076,52669,33694,5094114,North America
Croatia,19932,317,16953,2662,4105268,Europe
Cuba,5948,123,5440,385,11326616,North America
Cyprus,1986,25,1444,517,875899,Europe
Czechia,114005,948,54909,58148,10708982,Europe
Denmark,32575,667,26462,5446,5792203,Europe
Djibouti,5423,61,5355,7,988002,Africa
Dominica,32,0,24,8,71991,North America
Dominican Republic,118014,2167,93627,22220,10847904,North America
Ecuador,146828,12188,120511,14129,17643060,South America
Egypt,104387,6040,97643,704,102334403,Africa
El Salvador,29951,887,24995,4069,6486201,North America
Equatorial Guinea,5063,83,4894,86,1402985,Africa
Eritrea,414,0,372,42,3546427,Africa
Estonia,3846,68,2946,832,1326539,Europe
Eswatini,5660,113,5282,265,1160164,Africa
Ethiopia,83429,1277,37683,44469,114963583,Africa
Fiji,32,2,28,2,896444,Oceania
Finland,11849,346,8500,3003,5540718,Europe
France,732434,32601,103232,596601,65273512,Europe
Gabon,8835,54,8189,592,2225728,Africa
Gambia,3628,117,2540,971,2416664,Africa
Georgia,11271,78,6119,5074,3989175,Europe
Germany,323463,9620,274934,38909,83783945,Europe
Ghana,47005,306,46398,301,31072945,Africa
Greece,22078,436,1347,20295,10423056,Europe
Grenada,24,0,24,0,112519,North America
Guatemala,97544,3365,86046,8133,17915567,North America
Guinea,10996,69,10304,623,13132792,Africa
Guinea-Bissau,2385,40,1728,617,1874000,Africa
Guyana,3405,102,2304,999,786559,South America
Haiti,8860,230,7104,1526,11402533,North America
Honduras,83146,2504,31931,48711,9904608,North America
Hungary,36596,933,9683,25980,9660350,Europe
Iceland,3460,10,2466,984,341250,Europe
India,7053806,108334,6077976,867496,1380004385,Asia
Indonesia,328952,11765,251481,65706,273523621,Asia
Iran,496253,28293,403950,64010,83992953,Asia
Iraq,400124,9790,332330,58004,40222503,Asia
Ireland,41714,1824,23364,16526,4937796,Europe
Israel,289875,1941,225725,62209,8655541,Asia
Italy,349494,36140,238525,74829,60461828,Europe
Jamaica,7559,138,3142,4279,2961161,North America
Japan,88962,1626,80798,6538,126476458,Asia
Jordan,23998,181,6045,17772,10203140,Asia
Kazakhstan,108757,1746,103980,3031,18776707,Asia
Kenya,41158,760,31876,8522,53771300,Africa
"Korea, South",24606,432,22693,1481,51640000,Asia
Kosovo,16130,645,14282,1203,1932774,Europe
Kuwait,110568,655,102722,7191,4270563,Asia
Kyrgyzstan,48924,1082,44227,3615,6524191,Asia
Laos,23,0,22,1,7275556,Asia
Latvia,2596,40,1322,1234,1886202,Europe
Lebanon,52558,455,22719,29384,6825442,Asia
Lesotho,1800,42,926,832,2142252,Africa
Liberia,1363,82,1245,36,5057677,Africa
Libya,41686,623,23791,17272,6871287,Africa
Liechtenstein,142,1,117,24,38137,Europe
Lithuania,5963,103,2751,3109,2722291,Europe
Luxembourg,9119,128,7900,1091,625976,Europe
Madagascar,16702,237,16012,453,27691019,Africa
Malawi,5821,180,4644,997,19129955,Africa
Malaysia,15096,155,10780,4161,32365998,Asia
Maldives,10859,34,9683,1142,540542,Asia
Mali,3273,132,2525,616,20250834,Africa
Malta,3681,41,2937,703,441539,Europe
Mauritania,7550,163,7266,121,4649660,Africa
Mauritius,395,10,358,27,1271767,Africa
Mexico,814328,83642,689377,41309,128932753,North America
Moldova,61762,1458,43982,16322,4033963,Europe
Monaco,233,2,209,22,39244,Europe
Mongolia,315,0,310,5,3278292,Asia
Montenegro,13641,198,9429,4014,628062,Europe
