Country,Confirmed,Deaths,Recovered,Active,Population
Afghanistan,39703,1473,33064,5166,38928341
Albania,15231,416,9406,5409,2877800
Algeria,52940,1795,37170,13975,43851043
Andorra,2696,55,1814,827,77265
Angola,6246,218,2716,3312,32866268
Antigua and Barbuda,111,3,97,11,97928
Argentina,883882,23581,709464,150837,45195777
Armenia,55736,1016,45771,8949,2963234
Australia,27263,898,24987,1378,25499881
Austria,54423,852,42829,10742,9006400
Azerbaijan,41752,608,39235,1909,10139175
Bahamas,5023,106,2815,2102,393248
Bahrain,75287,273,70808,4206,1701583
Bangladesh,377073,5500,291365,80208,164689383
Barbados,206,7,183,16,287371
Belarus,82471,885,76543,5043,9449321
Belgium,156931,10175,20202,126554,11589616
Belize,2427,35,1487,905,397621
Benin,2411,41,1973,397,12123198
Bhutan,306,0,287,19,771612
Bolivia,138463,8292,100786,29385,11673029
Bosnia and Herzegovina,30345,927,23370,6048,3280815
Botswana,3219,18,834,2367,2351625
Brazil,5055888,149639,4502854,403395,212559409
Brunei,146,3,143,0,437479
Bulgaria,24319,891,15818,7610,6948445
Burkina Faso,2271,61,1542,668,20903278
Burma,26064,598,7050,18416,54409800
Burundi,517,1,472,44,11890781
Cabo Verde,6913,74,5970,869,548800
Cambodia,283,0,277,6,16718971
Cameroon,21203,423,20117,663,26545864
Canada,182767,9661,153857,19250,37742157
Central African Republic,4854,62,1924,2868,4829764
Chad,1291,92,1103,96,16425859
Chile,479595,13272,452054,14269,19116209
China,90778,4739,85658,381,1439323774
Colombia,902747,27660,783131,91956,50882884
Comoros,495,7,475,13,869595
Congo (Kinshasa),10841,276,10242,323,5518092
Costa Rica,87439,1076,52669,33694,5094114
Cote d'Ivoire,20128,120,19752,256,25070000
Croatia,19932,317,16953,2662,4105268
Cuba,5948,123,5440,385,11326616
Cyprus,1986,25,1444,517,875899
Czechia,114005,948,54909,58148,10708982
Denmark,32575,667,26462,5446,5792203
Djibouti,5423,61,5355,7,988002
Dominica,32,0,24,8,71991
Dominican Republic,118014,2167,93627,22220,10847904
Ecuador,146828,12188,120511,14129,17643060
Egypt,104387,6040,97643,704,102334403
El Salvador,29951,887,24995,4069,6486201
Equatorial Guinea,5063,83,4894,86,1402985
Eritrea,414,0,372,42,3546427
Estonia,3846,68,2946,832,1326539
Eswatini,5660,113,5282,265,1160164
Ethiopia,83429,1277,37683,44469,114963583
Fiji,32,2,28,2,896444
Finland,11849,346,8500,3003,5540718
France,732434,32601,103232,596601,65273512
Gabon,8835,54,8189,592,2225728
Gambia,3628,117,2540,971,2416664
Georgia,11271,78,6119,5074,3989175
Germany,323463,9620,274934,38909,83783945
Ghana,47005,306,46398,301,31072945
Greece,22078,436,1347,20295,10423056
Grenada,24,0,24,0,112519
Guatemala,97544,3365,86046,8133,17915567
Guinea,10996,69,10304,623,13132792
Guinea-Bissau,2385,40,1728,617,1874000
Guyana,3405,102,2304,999,786559
Haiti,8860,230,7104,1526,11402533
Holy See,12,0,12,0,809
Honduras,83146,2504,31931,48711,9904608
Hungary,36596,933,9683,25980,9660350
Iceland,3460,10,2466,984,341250
India,7053806,108334,6077976,867496,1380004385
Indonesia,328952,11765,251481,65706,273523621
Iran,496253,28293,403950,64010,83992953
Iraq,400124,9790,332330,58004,40222503
Ireland,41714,1824,23364,16526,4937796
Israel,289875,1941,225725,62209,8655541
Italy,349494,36140,238525,74829,60461828
Jamaica,7559,138,3142,4279,2961161
Japan,88962,1626,80798,6539,126476458
Jordan,23998,181,6045,17772,10203140
Kazakhstan,108757,1746,103980,3031,18776707
Kenya,41158,760,31876,8522,53771300
"Korea, South",24606,432,22693,1481,51640000
Kosovo,16130,645,14282,1203,1932774
Kuwait,110568,655,102722,7191,4270563
Kyrgyzstan,48924,1082,44227,3615,6524191
Laos,23,0,22,1,7275556
Latvia,2596,40,1322,1234,1886202
Lebanon,52558,455,22719,29384,6825442
Lesotho,1800,42,926,832,2142252
Liberia,1363,82,1245,36,5057677
Libya,41686,623,23791,17272,6871287
Liechtenstein,142,1,117,24,38137
Lithuania,5963,103,2751,3109,2722291
Luxembourg,9119,128,7900,1091,625976
Madagascar,16702,237,16012,453,27691019
Malawi,5821,180,4644,997,19129955
Malaysia,15096,155,10780,4161,32365998
Maldives,10859,34,9683,1142,540542
Mali,3273,132,2525,616,20250834
Malta,3681,41,2937,703,441539
Mauritania,7550,163,7266,121,4649660
Mauritius,395,10,358,27,1271767
Mexico,814328,83642,689377,41309,128932753
Moldova,61762,1458,43982,16322,4033963
Monaco,233,2,209,22,39244
Mongolia,315,0,310,5,3278292
Montenegro,13641,198,9429,4014,628062
Morocco,149841,2572,124854,22415,36910558
Mozambique,9844,70,7203,2571,31255435
Namibia,11891,128,9807,1956,2540916
Nepal,105684,614,74252,30818,29136808
Netherlands,173894,6624,4761,162509,17134873
New Zealand,1871,25,1801,45,4822233
Nicaragua,5264,153,4225,886,6624554
Niger,1201,69,1123,9,24206636
Nigeria,60103,1115,51711,7277,206139587
North Macedonia,20555,785,16099,3671,2083380
