Country,Confirmed,Deaths,Recovered,Active
Afghanistan,39703,1473,33064,5166
Albania,15231,416,9406,5409
Algeria,52940,1795,37170,13975
Andorra,2696,55,1814,827
Angola,6246,218,2716,3312
Antigua and Barbuda,111,3,97,11
Argentina,883882,23581,709464,150837
Armenia,55736,1016,45771,8949
Australia,27263,898,24987,1378
Austria,54423,852,42829,10742
Azerbaijan,41752,608,39235,1909
Bahamas,5023,106,2815,2102
Bahrain,75287,273,70808,4206
Bangladesh,377073,5500,291365,80208
Barbados,206,7,183,16
Belarus,82471,885,76543,5043
Belgium,156931,10175,20202,126554
Belize,2427,35,1487,905
Benin,2411,41,1973,397
Bhutan,306,0,287,19
Bolivia,138463,8292,100786,29385
Bosnia and Herzegovina,30345,927,23370,6048
Botswana,3219,18,834,2367
Brazil,5055888,149639,4502854,403395
Brunei,146,3,143,0
Bulgaria,24319,891,15818,7610
Burkina Faso,2271,61,1542,668
Burma,26064,598,7050,18416
Burundi,517,1,472,44
Cabo Verde,6913,74,5970,869
Cambodia,283,0,277,6
Cameroon,21203,423,20117,663
Canada,182767,9661,153857,19250
Central African Republic,4854,62,1924,2868
Chad,1291,92,1103,96
Chile,479595,13272,452054,14269
China,90778,4739,85658,381
Colombia,902747,27660,783131,91956
Comoros,495,7,475,13
Dem. Rep. Congo,5118,90,3887,1141
Congo (Kinshasa),10841,276,10242,323
Costa Rica,87439,1076,52669,33694
Cote d'Ivoire,20128,120,19752,256
Croatia,19932,317,16953,2662
Cuba,5948,123,5440,385
Cyprus,1986,25,1444,517
Czechia,114005,948,54909,58148
Denmark,32575,667,26462,5446
Diamond Princess,712,13,659,40
Djibouti,5423,61,5355,7
Dominica,32,0,24,8
Dominican Republic,118014,2167,93627,22220
Ecuador,146828,12188,120511,14129
Egypt,104387,6040,97643,704
El Salvador,29951,887,24995,4069
Equatorial Guinea,5063,83,4894,86
Eritrea,414,0,372,42
Estonia,3846,68,2946,832
Eswatini,5660,113,5282,265
Ethiopia,83429,1277,37683,44469
Fiji,32,2,28,2
Finland,11849,346,8500,3003
France,732434,32601,103232,596601
Gabon,8835,54,8189,592
Gambia,3628,117,2540,971
Georgia,11271,78,6119,5074
Germany,323463,9620,274934,38909
Ghana,47005,306,46398,301
Greece,22078,436,1347,20295
Grenada,24,0,24,0
Guatemala,97544,3365,86046,8133
Guinea,10996,69,10304,623
Guinea-Bissau,2385,40,1728,617
Guyana,3405,102,2304,999
Haiti,8860,230,7104,1526
Holy See,12,0,12,0
Honduras,83146,2504,31931,48711
Hungary,36596,933,9683,25980
Iceland,3460,10,2466,984
India,7053806,108334,6077976,867496
Indonesia,328952,11765,251481,65706
Iran,496253,28293,403950,64010
Iraq,400124,9790,332330,58004
Ireland,41714,1824,23364,16526
Israel,289875,1941,225725,62209
Italy,349494,36140,238525,74829
Jamaica,7559,138,3142,4279
Japan,88962,1626,80798,6539
Jordan,23998,181,6045,17772
Kazakhstan,108757,1746,103980,3031
Kenya,41158,760,31876,8522
"Korea, South",24606,432,22693,1481
Kosovo,16130,645,14282,1203
Kuwait,110568,655,102722,7191
Kyrgyzstan,48924,1082,44227,3615
Laos,23,0,22,1
Latvia,2596,40,1322,1234
Lebanon,52558,455,22719,29384
Lesotho,1800,42,926,832
Liberia,1363,82,1245,36
Libya,41686,623,23791,17272
Liechtenstein,142,1,117,24
Lithuania,5963,103,2751,3109
Luxembourg,9119,128,7900,1091
Madagascar,16702,237,16012,453
Malawi,5821,180,4644,997
Malaysia,15096,155,10780,4161
Maldives,10859,34,9683,1142
Mali,3273,132,2525,616
Malta,3681,41,2937,703
Mauritania,7550,163,7266,121
Mauritius,395,10,358,27
Mexico,814328,83642,689377,41309
Moldova,61762,1458,43982,16322
Monaco,233,2,209,22
Mongolia,315,0,310,5
Montenegro,13641,198,9429,4014
Morocco,149841,2572,124854,22415
Mozambique,9844,70,7203,2571
MS Zaandam,9,2,0,7
Namibia,11891,128,9807,1956
Nepal,105684,614,74252,30818
Netherlands,173894,6624,4761,162509
New Zealand,1871,25,1801,45
Nicaragua,5264,153,4225,886
Niger,1201,69,1123,9
Nigeria,60103,1115,51711,7277
North Macedonia,20555,785,16099,3671
Norway,15466,275,11863,3328
Oman,104129,1009,91731,11389
Pakistan,318932,6570,303458,8904
Panama,119666,2482,95552,21632
Papua New Guinea,549,7,532,10
Paraguay,48978,1065,31351,16562
Peru,846088,33223,733000,79865
Philippines,336926,6238,276094,54594
Poland,121638,2972,78982,39684
Portugal,85574,2067,52803,30704
Qatar,127778,219,124767,2792
Romania,152403,5358,116628,30417
Russia,1278245,22331,1011911,244003
Rwanda,4892,30,3566,1296
Saint Kitts and Nevis,19,0,18,1
Saint Lucia,29,0,27,2
Saint Vincent and the Grenadines,64,0,64,0
San Marino,741,42,682,17
Sao Tome and Principe,922,15,890,17
Saudi Arabia,338944,5018,324737,9189
Senegal,15244,314,13198,1732
Serbia,34685,762,0,33923
Seychelles,148,0,144,4
Sierra Leone,2300,72,1725,503
Singapore,57866,27,57698,141
Slovakia,18797,61,5553,13183
Slovenia,8252,167,5024,3061
Somalia,3847,99,3079,669
South Africa,690896,17673,622153,51070
South Sudan,2761,54,1290,1417
Spain,861112,32929,150376,677807
Sri Lanka,4628,13,3306,1309
Sudan,13670,836,6764,6070
Suriname,5035,107,4830,98
Sweden,98451,5894,0,92557
Switzerland,60368,2088,48400,9880
Syria,4673,221,1271,3181
Taiwan,527,7,488,32
Tajikistan,10180,79,9006,1095
Tanzania,509,21,183,305
Thailand,3636,59,3451,126
Timor-Leste,28,0,28,0
Togo,1935,49,1444,442
Trinidad and Tobago,5043,90,3221,1732
Tunisia,31259,456,5032,25771
Turkey,334031,8778,293145,32108
Uganda,9701,93,6022,3586
Ukraine,263105,5010,116861,141234
United Arab Emirates,105133,443,95973,8717
United Kingdom,593565,42850,2495,548220
Uruguay,2268,50,1930,288
United States of America,7717932,214370,3062983,4440581
Uzbekistan,60776,502,57704,2570
Venezuela,82453,691,73919,7843
Vietnam,1107,35,1024,48
West Bank and Gaza,43945,378,37240,6327
Western Sahara,10,1,8,1
Yemen,2051,595,1329,127
Zambia,15415,337,14541,537
Zimbabwe,8010,230,6492,1288
