locality,year,price
ABBOTSFORD,2010,736000.0
ABERFELDIE,2010,1046500.0
AINTREE,2010,
AIREYS INLET,2010,606000.0
AIRPORT WEST,2010,575000.0
ALBANVALE,2010,320000.0
ALBERT PARK,2010,1167500.0
ALBION,2010,440000.0
ALEXANDRA,2010,230000.0
ALFREDTON,2010,316000.0
ALLANSFORD,2010,250500.0
ALPHINGTON,2010,1000000.0
ALTONA,2010,628500.0
ALTONA EAST,2010,571000.0
ALTONA MEADOWS,2010,385000.0
ALTONA NORTH,2010,515000.0
ANGLESEA,2010,580000.0
APOLLO BAY,2010,442500.0
ARARAT,2010,174000.0
ARDEER,2010,382500.0
ARMADALE,2010,1800000.0
ARMSTRONG CREEK,2010,
ASCOT (GREATER BENDIGO),2010,330000.0
ASCOT VALE,2010,750000.0
ASHBURTON,2010,985000.0
ASHWOOD,2010,760000.0
ASPENDALE,2010,637500.0
ASPENDALE GARDENS,2010,581000.0
ATTWOOD,2010,576000.0
AVENEL,2010,268500.0
AVOCA,2010,144000.0
AVONDALE HEIGHTS,2010,576000.0
AVONSLEIGH,2010,321500.0
BACCHUS MARSH,2010,305000.0
BADGER CREEK,2010,295000.0
BAIRNSDALE,2010,230000.0
BALACLAVA,2010,916000.0
BALCOMBE,2010,655000.0
BALLAN,2010,260000.0
BALLARAT CENTRAL,2010,280000.0
BALLARAT EAST,2010,225500.0
BALLARAT NORTH,2010,272000.0
BALNARRING,2010,480000.0
BALNARRING BEACH,2010,787500.0
BALWYN,2010,1450000.0
BALWYN NORTH,2010,1141000.0
BANNOCKBURN,2010,342500.0
BARANDUDA,2010,353000.0
BARNAWARTHA,2010,169000.0
BARWON HEADS,2010,615500.0
BAXTER,2010,317000.0
BAYSWATER,2010,453500.0
BAYSWATER NORTH,2010,450000.0
BEACONSFIELD,2010,460000.0
BEACONSFIELD UPPER,2010,472000.0
BEAUFORT,2010,174500.0
BEAUMARIS,2010,1107500.0
BEECHWORTH,2010,310500.0
BELGRAVE,2010,380000.0
BELGRAVE HEIGHTS,2010,425000.0
BELGRAVE SOUTH,2010,490000.0
BELL PARK,2010,290000.0
BELL POST HILL,2010,310000.0
BELLFIELD (BANYULE),2010,575000.0
BELMONT,2010,338000.0
BENALLA,2010,220000.0
BENDIGO,2010,295000.0
BENTLEIGH,2010,910000.0
BENTLEIGH EAST,2010,760000.0
BERWICK,2010,450000.0
BEVERIDGE,2010,522500.0
BIRCHIP,2010,67500.0
BIRREGURRA,2010,230000.0
BITTERN,2010,352000.0
BLACK HILL,2010,263500.0
BLACK ROCK,2010,1390000.0
BLACKBURN,2010,850000.0
BLACKBURN NORTH,2010,659000.0
BLACKBURN SOUTH,2010,670000.0
BLACKWOOD,2010,260000.0
BLAIRGOWRIE,2010,625000.0
BLIND BIGHT,2010,337500.0
BONBEACH,2010,585000.0
BONNIE DOON,2010,210000.0
BONSHAW,2010,
BOOLARRA,2010,178000.0
BOORT,2010,157000.0
BORONIA,2010,450000.0
BOTANIC RIDGE,2010,520000.0
