locality,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ABBOTSFORD,736000,730000,714000,792500,862500,925000,1187500,1280000,1192500,1050000,1205000,1375000
ABERFELDIE,1046500,994000,852500,947500,1045000,1207500,1300000,1471000,1500000,1390000,1620000,1700000
AINTREE,,,,,,590000,607500,571000,568500,593000,685000,717500
AIREYS INLET,606000,680000,634000,664000,625500,680000,715000,737500,869000,985000,1125000,1522000
AIRPORT WEST,575000,557500,495000,532000,575000,635000,742000,845000,845000,795000,807500,889500
ALBANVALE,320000,317000,310000,313000,328000,345000,439000,526500,546000,512000,540000,579000
ALBERT PARK,1167500,1390000,1265000,1360000,1503000,1700000,1775000,2150000,2070000,1980000,1890000,2390000
ALBION,440000,400000,379500,379000,432000,481000,593000,730000,755000,675000,727500,950000
ALEXANDRA,230000,255000,239000,261000,247500,285000,275000,291500,335000,325000,380000,402500
ALFREDTON,316000,333000,340000,361500,362000,340500,375000,412500,439000,480000,510000,585000
ALLANSFORD,250500,332000,257500,310000,242500,259000,275000,280000,245000,300000,362000,
ALPHINGTON,1000000,985000,1000000,1080000,1029000,1296500,1272500,1560000,1720000,1592500,1857500,2600000
ALTONA,628500,575000,570000,575000,646500,718000,825000,950000,932500,890000,927500,957500
ALTONA EAST,571000,523000,550000,561000,603000,650000,795000,885000,895000,855000,870000,910500
ALTONA MEADOWS,385000,395000,375000,390000,415000,440000,495000,625000,631500,617500,642500,640000
ALTONA NORTH,515000,520000,484000,510000,555000,645000,726000,828000,840000,790000,840000,865000
ANGLESEA,580000,600500,587500,550000,612500,635000,652500,788000,870000,910000,1070000,1200000
APOLLO BAY,442500,495000,432500,450000,457500,435000,480000,545000,555000,600000,710000,862500
ARARAT,174000,169000,165000,180000,200000,210000,204500,200000,199000,215000,244000,286000
ARDEER,382500,360000,342500,330000,360000,381500,517500,595000,629000,572000,615000,658000
ARMADALE,1800000,1615000,1500000,1675000,1750000,2172500,2367500,2300000,2341500,2495000,2575000,2197500
ARMSTRONG CREEK,,205000,362500,467500,441500,440000,450000,471000,535000,535000,555000,597500
ASCOT (GREATER BENDIGO),330000,323500,350000,349500,344500,349000,370000,358000,380000,415500,467500,463000
ASCOT VALE,750000,735000,701500,735000,810000,885000,1010000,1180000,1197500,1088500,1275000,1175000
ASHBURTON,985000,890000,870000,1000000,1200000,1435000,1567500,1812500,1712500,1641500,1590000,1650000
ASHWOOD,760000,749000,681000,775000,888000,1140000,1230000,1359000,1210000,1100000,1250000,1350000
ASPENDALE,637500,630000,610000,620000,690000,795500,891000,1125000,980000,994000,1115000,1150000
ASPENDALE GARDENS,581000,550000,552000,586500,632000,715000,775000,882500,935000,844000,970000,1070000
ATTWOOD,576000,592000,500000,540000,515000,620000,660000,742500,750000,767500,750000,880000
AVENEL,268500,221500,230500,231000,302000,245000,250000,355000,349000,370000,450000,500000
AVOCA,144000,151000,181500,182500,180000,182500,165000,212500,220000,219500,280000,268000
AVONDALE HEIGHTS,576000,538000,536000,532500,560000,650000,750000,845500,830000,810000,840000,841000
AVONSLEIGH,321500,385500,345000,420000,355000,397500,501000,562000,540000,532500,615000,752000
BACCHUS MARSH,305000,330000,325000,335500,348000,355000,376000,415500,480000,500000,518000,555000
BADGER CREEK,295000,295000,295000,315000,325000,345000,379000,465000,500000,498000,550000,626500
BAIRNSDALE,230000,235000,231000,235000,244000,246500,255000,272500,279000,274000,290000,327000
BALACLAVA,916000,793500,717500,860500,942000,1100000,1242500,1385500,1196000,1350000,1395000,1272500
BALCOMBE,655000,718500,686000,712500,737000,871000,950000,1100000,1240000,1125000,1300000,1458000
BALLAN,260000,310000,305000,352000,330000,359000,370000,417000,462000,450000,500000,640000
BALLARAT CENTRAL,280000,320000,313500,322000,327500,353000,385000,430000,447500,515000,560000,652500
BALLARAT EAST,225500,245000,255000,265000,265000,275000,295000,310000,340000,360000,398000,430000
BALLARAT NORTH,272000,275000,280000,296000,312000,315000,339500,346500,389000,415000,423000,542500
BALNARRING,480000,472500,501500,525000,544000,595000,670000,815000,814500,825000,938500,1125000
BALNARRING BEACH,787500,630000,660000,750000,700000,887500,904000,890000,1115000,1275000,1210000,1248500
BALWYN,1450000,1363000,1295000,1530000,1780000,2210000,2180000,2340000,2420000,2392500,2260000,2450000
BALWYN NORTH,1141000,1100000,997500,1240000,1452000,1850000,1800000,1950000,1810000,1722500,1875000,2080000
BANNOCKBURN,342500,378000,351500,370000,405000,393000,382000,430000,487500,530000,555000,635000
BARANDUDA,353000,340000,340000,345000,330000,323000,350000,350000,403500,395000,425000,435000
BARNAWARTHA,169000,220000,222000,245000,220000,305000,245000,312000,280000,312000,345000,359000
BARWON HEADS,615500,607500,632500,742500,715000,775000,842500,916000,965000,1016500,1240000,1525500
BAXTER,317000,320000,315000,330500,325000,340000,403000,530000,542500,530000,567500,565000
BAYSWATER,453500,447500,426500,458500,525000,632500,693000,800500,753000,720000,746500,818000
BAYSWATER NORTH,450000,436000,426500,468500,490000,580000,628000,737500,713000,695000,730000,800500
BEACONSFIELD,460000,505000,511500,486500,525000,559000,585000,694500,730000,685000,717500,862500
BEACONSFIELD UPPER,472000,437500,535000,470000,507500,602500,630000,725500,903500,787500,818000,
BEAUFORT,174500,142500,186000,186000,220000,205000,237500,220000,225000,242500,322000,320000
BEAUMARIS,1107500,1050000,997000,1074000,1129500,1345000,1455000,1611000,1674000,1587500,1705000,1725000
BEECHWORTH,310500,320000,304500,295000,295000,332000,345000,399000,400000,478500,490000,530000
BELGRAVE,380000,375000,390000,410000,426000,482500,545000,620000,676000,636000,680000,717000
BELGRAVE HEIGHTS,425000,382000,399000,430000,480000,590500,624000,687500,701500,685000,737500,740000
BELGRAVE SOUTH,490000,475000,447500,548000,541000,555500,565000,689000,782500,665500,845000,660000
BELL PARK,290000,315000,290500,314000,323500,340000,360000,400000,452500,482000,497500,568000
BELL POST HILL,310000,320000,328000,328000,333500,344500,355000,435000,487000,475000,507000,540000
BELLFIELD (BANYULE),575000,550500,510000,516000,582500,700000,778000,897000,882500,790000,800000,843000
BELMONT,338000,345000,350000,360000,362000,395000,430000,500000,545000,545000,605000,710500
BENALLA,220000,225000,216500,228000,235500,222500,231500,250000,284000,290000,302000,351500
BENDIGO,295000,290000,335000,340000,376500,372000,400000,400000,400000,420000,499000,510000
BENTLEIGH,910000,882000,820000,900000,1050000,1245000,1380000,1470000,1394000,1380000,1505000,1541500
BENTLEIGH EAST,760000,720000,680000,750000,850000,1000500,1115000,1256000,1205000,1200000,1252500,1373500
BERWICK,450000,440000,451000,453000,487500,535000,583000,670000,690500,671000,701500,770000
BEVERIDGE,522500,416500,412500,396000,351500,400000,430000,495000,540000,590000,552000,616000
BIRCHIP,67500,77000,87500,120000,90000,121500,55000,100000,100000,108500,127500,110000
BIRREGURRA,230000,260000,260000,255000,337500,302500,345000,382500,412500,463000,467000,891000
BITTERN,352000,365000,382500,402000,390000,382500,464000,526500,650000,577500,630000,610000
BLACK HILL,263500,292000,265000,283500,321500,300000,315000,370000,405000,492500,491000,595000
BLACK ROCK,1390000,1237500,1175000,1225000,1400000,1545000,1745000,2017500,2029000,1777500,1867500,2450000
BLACKBURN,850000,786000,750000,860500,936000,1200500,1241000,1410000,1370500,1305000,1404000,1481000
BLACKBURN NORTH,659000,617500,609000,692000,790000,921500,1040000,1140500,1038000,1017500,1080000,1302000
BLACKBURN SOUTH,670000,636500,632000,697500,780000,920500,1050000,1200000,1063500,1034000,1101000,1232000
BLACKWOOD,260000,263000,245000,310000,266000,260000,291000,403000,326500,372500,477500,600000
BLAIRGOWRIE,625000,600000,580000,609000,627500,621500,770000,883000,990500,921500,1143500,1400000
BLIND BIGHT,337500,358000,319000,362500,343000,401000,440000,514000,546000,552500,565000,605000
BONBEACH,585000,555000,535000,580000,635000,700000,778000,882500,910000,855000,901500,871500
BONNIE DOON,210000,215000,262500,250000,275000,290000,290000,315000,417500,410000,372500,480000
BONSHAW,,,,,309000,309000,322500,235000,400000,379000,435000,510000
BOOLARRA,178000,209000,190000,196500,260000,212500,202500,255000,250000,247500,255000,310000
BOORT,157000,164000,107000,157500,162500,130000,200500,215000,180000,185000,165000,235000
BORONIA,450000,440000,430000,459500,500500,592500,648500,735000,742500,684000,715000,780000
BOTANIC RIDGE,520000,475000,500000,492000,519000,565000,600000,690000,730000,700000,730000,802500
BOX HILL,874000,975000,852000,855000,1067000,1350000,1360500,1752500,1700000,1536500,1470000,1570000
BOX HILL NORTH,726000,678000,648500,746000,856500,1060000,1146000,1321000,1188000,1200000,1180000,1276000
BOX HILL SOUTH,823000,770000,715000,785000,910000,1153000,1255000,1409000,1285500,1177500,1255000,1252000
BRAYBROOK,460000,443000,396000,424000,479500,550000,629000,665000,728500,645000,679500,707500
BREAKWATER,250000,252500,242500,255000,251500,267500,277500,335000,385000,405000,410000,456500
BRIAGOLONG,205000,225000,215000,226000,200000,215000,265000,257000,264000,315000,270000,411500
