,Country_or_region,Score,year
0,Finland,7.769,2019
1,Denmark,7.6,2019
2,Norway,7.554,2019
3,Iceland,7.494,2019
4,Netherlands,7.488,2019
5,Switzerland,7.48,2019
6,Sweden,7.343,2019
7,New Zealand,7.307,2019
8,Canada,7.278,2019
9,Austria,7.246,2019
10,Australia,7.228,2019
11,Costa Rica,7.167,2019
12,Israel,7.139,2019
13,Luxembourg,7.09,2019
14,United Kingdom,7.054,2019
15,Ireland,7.021,2019
16,Germany,6.985,2019
17,Belgium,6.923,2019
18,United States of America,6.892,2019
19,Czech Republic,6.852,2019
20,United Arab Emirates,6.825,2019
21,Malta,6.726,2019
22,Mexico,6.595,2019
23,France,6.592,2019
24,Taiwan,6.446,2019
25,Chile,6.444,2019
26,Guatemala,6.436,2019
27,Saudi Arabia,6.375,2019
28,Qatar,6.374,2019
29,Spain,6.354,2019
30,Panama,6.321,2019
31,Brazil,6.3,2019
32,Uruguay,6.293,2019
33,Singapore,6.262,2019
34,El Salvador,6.253,2019
35,Italy,6.223,2019
36,Bahrain,6.199,2019
37,Slovakia,6.198,2019
38,Trinidad & Tobago,6.192,2019
39,Poland,6.182,2019
40,Uzbekistan,6.174,2019
41,Lithuania,6.149,2019
42,Colombia,6.125,2019
43,Slovenia,6.118,2019
44,Nicaragua,6.105,2019
45,Kosovo,6.1,2019
46,Argentina,6.086,2019
47,Romania,6.07,2019
48,Cyprus,6.046,2019
49,Ecuador,6.028,2019
50,Kuwait,6.021,2019
51,Thailand,6.008,2019
52,Latvia,5.94,2019
53,South Korea,5.895,2019
54,Estonia,5.893,2019
55,Jamaica,5.89,2019
56,Mauritius,5.888,2019
57,Japan,5.886,2019
58,Honduras,5.86,2019
59,Kazakhstan,5.809,2019
60,Bolivia,5.779,2019
61,Hungary,5.758,2019
62,Paraguay,5.743,2019
63,Northern Cyprus,5.718,2019
64,Peru,5.697,2019
65,Portugal,5.693,2019
66,Pakistan,5.653,2019
67,Russia,5.648,2019
68,Philippines,5.631,2019
69,Serbia,5.603,2019
70,Moldova,5.529,2019
71,Libya,5.525,2019
72,Montenegro,5.523,2019
73,Tajikistan,5.467,2019
74,Croatia,5.432,2019
75,Hong Kong,5.43,2019
76,Dominican Republic,5.425,2019
77,Bosnia and Herzegovina,5.386,2019
78,Turkey,5.373,2019
79,Malaysia,5.339,2019
80,Belarus,5.323,2019
81,Greece,5.287,2019
82,Mongolia,5.285,2019
83,North Macedonia,5.274,2019
84,Nigeria,5.265,2019
85,Kyrgyzstan,5.261,2019
86,Turkmenistan,5.247,2019
87,Algeria,5.211,2019
88,Morocco,5.208,2019
89,Azerbaijan,5.208,2019
90,Lebanon,5.197,2019
91,Indonesia,5.192,2019
92,China,5.191,2019
93,Vietnam,5.175,2019
94,Bhutan,5.082,2019
95,Cameroon,5.044,2019
96,Bulgaria,5.011,2019
97,Ghana,4.996,2019
98,Ivory Coast,4.944,2019
99,Nepal,4.913,2019
100,Jordan,4.906,2019
101,Benin,4.883,2019
102,Congo (Brazzaville),4.812,2019
103,Gabon,4.799,2019
104,Laos,4.796,2019
105,South Africa,4.722,2019
106,Albania,4.719,2019
107,Venezuela,4.707,2019
108,Cambodia,4.7,2019
109,Palestinian Territories,4.696,2019
110,Senegal,4.681,2019
111,Somalia,4.668,2019
112,Namibia,4.639,2019
113,Niger,4.628,2019
114,Burkina Faso,4.587,2019
115,Armenia,4.559,2019
116,Iran,4.548,2019
117,Guinea,4.534,2019
118,Georgia,4.519,2019
119,Gambia,4.516,2019
120,Kenya,4.509,2019
121,Mauritania,4.49,2019
122,Mozambique,4.466,2019
123,Tunisia,4.461,2019
124,Bangladesh,4.456,2019
125,Iraq,4.437,2019
126,Congo (Kinshasa),4.418,2019
127,Mali,4.39,2019
128,Sierra Leone,4.374,2019
129,Sri Lanka,4.366,2019
130,Myanmar,4.36,2019
131,Chad,4.35,2019
132,Ukraine,4.332,2019
133,Ethiopia,4.286,2019
134,Swaziland,4.212,2019
135,Uganda,4.189,2019
136,Egypt,4.166,2019
137,Zambia,4.107,2019
138,Togo,4.085,2019
139,India,4.015,2019
140,Liberia,3.975,2019
141,Comoros,3.973,2019
142,Madagascar,3.933,2019
143,Lesotho,3.802,2019
144,Burundi,3.775,2019
145,Zimbabwe,3.663,2019
146,Haiti,3.597,2019
147,Botswana,3.488,2019
148,Syria,3.462,2019
149,Malawi,3.41,2019
150,Yemen,3.38,2019
151,Rwanda,3.334,2019
152,Tanzania,3.231,2019
153,Afghanistan,3.203,2019
154,Central African Republic,3.083,2019
155,South Sudan,2.853,2019
0,Finland,7.632,2018
1,Norway,7.594,2018
2,Denmark,7.555,2018
3,Iceland,7.495,2018
4,Switzerland,7.487,2018
5,Netherlands,7.441,2018
6,Canada,7.328,2018
7,New Zealand,7.324,2018
8,Sweden,7.314,2018
9,Australia,7.272,2018
10,United Kingdom,7.19,2018
11,Austria,7.139,2018
12,Costa Rica,7.072,2018
13,Ireland,6.977,2018
14,Germany,6.965,2018
15,Belgium,6.927,2018
16,Luxembourg,6.91,2018
17,United States of America,6.886,2018
18,Israel,6.814,2018
19,United Arab Emirates,6.774,2018
20,Czech Republic,6.711,2018
21,Malta,6.627,2018
22,France,6.489,2018
23,Mexico,6.488,2018
24,Chile,6.476,2018
25,Taiwan,6.441,2018
26,Panama,6.43,2018
27,Brazil,6.419,2018
28,Argentina,6.388,2018
29,Guatemala,6.382,2018
30,Uruguay,6.379,2018
31,Qatar,6.374,2018
32,Saudi Arabia,6.371,2018
33,Singapore,6.343,2018
34,Malaysia,6.322,2018
35,Spain,6.31,2018
36,Colombia,6.26,2018
37,Trinidad & Tobago,6.192,2018
38,Slovakia,6.173,2018
39,El Salvador,6.167,2018
40,Nicaragua,6.141,2018
41,Poland,6.123,2018
42,Bahrain,6.105,2018
43,Uzbekistan,6.096,2018
44,Kuwait,6.083,2018
45,Thailand,6.072,2018
46,Italy,6.0,2018
47,Ecuador,5.973,2018
48,Belize,5.956,2018
49,Lithuania,5.952,2018
50,Slovenia,5.948,2018
51,Romania,5.945,2018
52,Latvia,5.933,2018
53,Japan,5.915,2018
54,Mauritius,5.891,2018
55,Jamaica,5.89,2018
56,South Korea,5.875,2018
