Year,Location of death (state),count
2000,GA,1
2000,GA,1
2000,GA,1
2000,GA,1
2000,GA,1
2000,GA,1
2000,GA,1
2000,GA,1
2000,GA,1
2000,GA,1
2000,GA,1
2000,GA,1
2000,GA,1
2000,GA,1
2000,GA,1
2000,GA,1
2000,GA,1
2000,GA,1
2000,GA,1
2000,GA,1
2000,GA,1
2000,GA,1
2000,GA,1
2000,GA,1
2000,GA,1
2000,GA,1
2000,GA,1
2000,GA,1
2000,GA,1
2000,GA,1
2000,GA,1
2000,GA,1
2000,GA,1
2000,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2001,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2002,GA,1
2003,GA,1
2003,GA,1
2003,GA,1
2003,GA,1
2003,GA,1
2003,GA,1
2003,GA,1
2003,GA,1
2003,GA,1
2003,GA,1
2003,GA,1
2003,GA,1
2003,GA,1
2003,GA,1
2003,GA,1
2003,GA,1
2003,GA,1
2003,GA,1
2003,GA,1
2003,GA,1
2003,GA,1
2003,GA,1
2003,GA,1
2003,GA,1
2003,GA,1
2003,GA,1
2003,GA,1
2003,GA,1
2003,GA,1
2003,GA,1
2003,GA,1
2003,GA,1
2003,GA,1
2003,GA,1
2004,GA,1
2004,GA,1
2004,GA,1
2004,GA,1
2004,GA,1
2004,GA,1
2004,GA,1
2004,GA,1
2004,GA,1
2004,GA,1
2004,GA,1
2004,GA,1
2004,GA,1
2004,GA,1
2004,GA,1
2004,GA,1
2004,GA,1
2004,GA,1
2004,GA,1
2004,GA,1
2004,GA,1
2004,GA,1
2004,GA,1
2004,GA,1
2004,GA,1
2004,GA,1
2004,GA,1
2004,GA,1
2004,GA,1
2004,GA,1
2004,GA,1
2004,GA,1
2004,GA,1
2004,GA,1
2004,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2005,GA,1
2006,GA,1
2006,GA,1
2006,GA,1
2006,GA,1
2006,GA,1
2006,GA,1
2006,GA,1
2006,GA,1
2006,GA,1
2006,GA,1
2006,GA,1
2006,GA,1
2006,GA,1
2006,GA,1
2006,GA,1
2006,GA,1
2006,GA,1
2006,GA,1
2006,GA,1
2006,GA,1
2006,GA,1
2006,GA,1
2006,GA,1
2006,GA,1
2006,GA,1
2006,GA,1
2006,GA,1
2006,GA,1
2006,GA,1
2006,GA,1
2006,GA,1
