"country","latitude","longitude","show_id","type","title","director","cast","date_added","release_year","rating","duration","listed_in"
"Argentina",-38.416097,-63.616672,"s6483","Movie","Chronicle of an Escape","Israel Adrián Caetano","Rodrigo de la Serna, Pablo Echarri, Nazareno Casero, Lautaro Delgado, Matías Marmorato, Martín Urruty, César Albarracín, Guillermo Fernandez, Daniel Di Biase","June 15, 2018",2006,"R","104 min","Dramas, International Movies, Thrillers"
"Argentina",-38.416097,-63.616672,"s1877","Movie","Palermo Hollywood","Eduardo Pinto","Brian Maya, Matías Desiderio, Manuela Pal, Azul Lombardía","October 8, 2020",2004,"TV-MA","106 min","Dramas, International Movies"
"Argentina",-38.416097,-63.616672,"s2035","Movie","So Much Love to Give","Marcos Carnevale","Adrián Suar, Soledad Villamil, Gabriela Toscano, Alan Sabbagh, Darío Barassi, Magela Zanotta, Betiana Blum","September 9, 2020",2020,"TV-14","108 min","Comedies, International Movies, Music & Musicals"
"Argentina",-38.416097,-63.616672,"s4941","Movie","Todo lo que sería Lucas Lauriente","Raúl Campos, Jan Suter","Lucas Lauriente","April 6, 2018",2018,"TV-MA","78 min","Stand-Up Comedy"
"Argentina",-38.416097,-63.616672,"s3642","Movie","The Son","Sebastián Schindel","Joaquín Furriel, Martina Gusmán, Luciano Cáceres, Heidi Toini, Regina Lamm","July 26, 2019",2019,"TV-MA","93 min","Dramas, Independent Movies, International Movies"
"Argentina",-38.416097,-63.616672,"s3577","TV Show","Apache: The Life of Carlos Tevez","","Balthazar Murillo, Vanesa González, Alberto Ajaka, Sofía Gala Castiglione, Patricio Contreras, Matías Recalt, Osqui Guzmán, Roberto Vallejos, Diego Gallardo","August 16, 2019",2019,"TV-MA","1 Season","Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
"Argentina",-38.416097,-63.616672,"s4979","TV Show","Edha","","Juana Viale, Andrés Velencoso, Delfina Chaves, Osmar Nuñez, Germán Palacios, Juan Pablo Geretto, Sofía Gala, Daniel Pacheco, Daniel Hendler, Flavio Mendoza","March 16, 2018",2018,"TV-MA","1 Season","International TV Shows, Spanish-Language TV Shows, TV Dramas"
"Argentina",-38.416097,-63.616672,"s7422","Movie","Mater","Pablo D'Alo Abba","Lautaro Perotti, Tamara Kiper, Inda Lavalle, Miriam Odorico, Araceli Dvoskin, Gonzalo Ruiz, Patricio Aranguren, Marina Bellati, Luciana Fuks, Martin Slipak","August 1, 2018",2017,"TV-MA","80 min","Dramas, Independent Movies, International Movies"
"Argentina",-38.416097,-63.616672,"s6975","TV Show","Historia de un clan","","Alejandro Awada, Cecilia Roth, Chino Darín, Nazareno Casero, Tristán, Gustavo Garzón, Pablo Cedrón, María Soldi, Rita Pauls, Victoria Almeida, Benjamín Alfonso","January 13, 2017",2015,"TV-MA","1 Season","Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
"Argentina",-38.416097,-63.616672,"s5063","Movie","Sebastián Marcelo Wainraich","Raúl Campos, Jan Suter","Sebastián Marcelo Wainraich","January 26, 2018",2018,"TV-MA","49 min","Stand-Up Comedy"
"Argentina",-38.416097,-63.616672,"s4174","Movie","Just Love","Andy Caballero, Diego Corsini","Franco Masini, Yamila Saud, Victorio D'Alessandro, Andrea Frigerio, Gerardo Romano, Bautista Lena, Josefina Ramírez, Noel Schajris, Diana Hernández, Daniela Aita","January 24, 2019",2018,"TV-MA","96 min","Dramas, International Movies, Music & Musicals"
"Argentina",-38.416097,-63.616672,"s710","TV Show","Millennials","","Nicolás Riera, Laura Laprida, Juan Manuel Guilera, Johanna Francella, Matías Meyer, Noelia Marzol, Luisa Drozdek, Agustina Mindlin, Santiago Talledo, Chang Sung Kim, Osmar Nuñez, Fabio Aste","June 16, 2021",2020,"TV-MA","3 Seasons","International TV Shows, Romantic TV Shows, Spanish-Language TV Shows"
"Argentina",-38.416097,-63.616672,"s7801","TV Show","Psiconautas","","Guillermo Toledo, Gabriel Goity, Florencia Peña, Julieta Zylberberg, Martín Piroyansky, Luis Ziembrowski, Verónica Llinás, Emilio Disi","April 15, 2018",2016,"TV-MA","2 Seasons","International TV Shows, Spanish-Language TV Shows, TV Comedies"
"Argentina",-38.416097,-63.616672,"s7035","Movie","Hypersomnia","Gabriel Grieco","Yamila Saud, Gerardo Romano, Jimena Barón, Vanesa González, Candela Vetrano, Florencia Torrente, Nazareno Casero, Sofía Gala, Gustavo Garzón, Belén Chavanne, Fabiana Cantilo, Peter Lanzani","June 8, 2017",2016,"TV-MA","84 min","Horror Movies, International Movies, Thrillers"
"Argentina",-38.416097,-63.616672,"s6005","Movie","27, el club de los malditos","Nicanor Loreti","Diego Capusotto, Sofía Gala, Daniel Aráoz, Willy Toledo, El Polaco, Paula Manzone, Yayo Guridi, Guillermo Toledo","May 1, 2018",2018,"TV-MA","82 min","Action & Adventure, Comedies, International Movies"
"Argentina",-38.416097,-63.616672,"s3267","Movie","GO! The Unforgettable Party","Mauro Scandolari","Pilar Pascual, José Gimenez Zapiola, Renata Toscano, Santiago Saez, Carmela Barsamian, Paulo Sánchez Lima, Daniel Rosado, Laura Azcurra, Gastón Ricaud, Florencia Benítez, Majo Cardozo","November 15, 2019",2019,"TV-PG","60 min","Children & Family Movies, Music & Musicals"
"Argentina",-38.416097,-63.616672,"s839","Movie","Soy Rada: Serendipity","Pablo Faro","Agustín Aristarán","May 27, 2021",2021,"TV-MA","70 min","Stand-Up Comedy"
