jurisdiction,state,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,y2016
Alabama,4860545,24741,25100,27614,25635,24315,24103,25253,25363,27241,27345,26813,26768,26825,26145,25212,23745
Alaska,741522,4570,4351,4472,4534,4798,5052,5151,4997,5472,5369,6216,6308,5081,6323,5247,4378
Arizona,6908642,27710,29359,31084,32384,33345,35752,37700,39455,40544,40130,39949,40013,41031,42136,42204,42248
Arkansas,2988231,11489,11849,12068,12577,12455,12854,13275,13135,13338,14192,14090,14043,14295,15250,15784,15833
California,39296476,157142,159695,161785,163939,168035,172298,171444,171085,168830,162821,147578,132935,134339,134430,127815,129416
Colorado,5530105,17278,18636,19450,19655,21063,22051,22666,23211,22725,22752,21862,20328,20184,20469,19959,19486
Connecticut,3587685,17507,18716,18023,17993,17928,18902,19438,19905,18938,18629,17877,17164,17319,16814,16024,15040
Delaware,952698,6841,6637,6630,6753,6788,7021,7110,6944,6581,6378,6546,6730,6798,6730,6437,6334
Florida,20656589,72404,75210,79594,83165,86559,90377,95187,99878,101373,102070,100861,99835,100940,100873,99485,98010
Georgia,10313620,45937,47445,47208,51104,48749,52792,54256,52719,53538,52794,52844,55178,53701,52719,52002,53433
Hawaii,1428683,5116,5069,5499,5555,5739,5510,5457,5455,4848,5294,5454,5297,5173,5390,5413,5182
Idaho,1680026,5270,5451,5558,5758,6249,6665,7055,7033,7184,7235,7470,7715,7219,7497,7238,7221
Illinois,12835726,44348,42693,43418,44054,44919,45106,45215,45474,45161,48418,48427,49348,48653,48278,46240,43616
Indiana,6634007,19646,20349,21345,21984,22760,24901,25137,26392,26748,27273,27402,28034,28495,32493,26586,25143
Iowa,3130869,7962,8398,8546,8525,8737,8838,8692,8723,8914,9457,9115,8735,8707,8845,8864,9049
Kansas,2907731,8574,8967,9168,8991,9090,8833,8721,8556,8644,9055,9330,9505,9610,9539,9533,9653
Kentucky,4436113,10720,11583,11660,13322,14904,15589,15364,15260,14984,14501,14001,12998,12141,12114,11959,11867
Louisiana,4686157,19660,20010,19498,19470,19371,20815,20461,20857,19889,19008,18844,18601,18794,18710,18447,15059
Maine,1330232,1675,1855,1974,2013,1970,2083,2148,2047,2074,1954,1978,1977,2073,2199,2190,2356
Maryland,6024752,23739,24114,23768,23289,22553,22662,23184,23141,22066,22856,23001,21810,21705,21266,20951,20236
Massachusetts,6823721,10203,9879,9828,9825,10348,10773,11071,11174,11156,11162,11467,11127,10622,10447,9493,9038
Michigan,9933445,48849,50591,49358,48831,49493,51515,50233,48738,45478,44113,42904,43594,43704,43359,42628,41122
Minnesota,5525050,6406,6855,7569,7983,8718,8814,9192,9031,9500,9397,9309,9421,9391,9576,9578,9509
Mississippi,2985415,15131,15355,15863,16359,16089,16384,17478,17896,17212,16454,15390,15791,15591,13069,13967,13720
Missouri,6091176,28575,29795,29864,30682,30415,30116,29823,30137,30519,30577,30969,31205,31499,31903,32295,32427
Montana,1038656,2795,2870,3053,2703,2822,2948,2909,2910,3085,3137,3125,3095,3125,3119,3176,3199
Nebraska,1907603,3915,4048,4073,4137,4405,4399,4402,4470,4490,4608,4657,4721,5012,5228,5133,5167
Nevada,2939254,9862,10101,10584,11033,11662,12754,13311,12877,12570,12192,12159,12594,12789,12693,13235,13932
New Hampshire,1335015,2419,2475,2427,2443,2423,2676,2759,2854,2915,2617,2423,2568,2623,2723,2661,2599
New Jersey,8978416,26052,26301,25718,25435,25619,25554,25354,24835,24115,24488,23642,23050,22263,21394,20294,19458
New Mexico,2085432,5668,5991,6223,6403,6571,6639,6429,6321,6584,6659,6687,6640,6767,6948,7104,6996
New York,19836286,67554,66925,65388,64024,63032,63538,62738,60198,58479,56420,55196,54058,53312,52362,51485,50611
North Carolina,10156689,32203,32918,33874,35544,36646,37725,38240,39957,40133,40375,39662,37378,37176,37348,36888,35970
North Dakota,755548,1088,1117,1100,1130,1318,1337,1392,1379,1436,1416,1385,1413,1576,1696,1772,1639
Ohio,11622554,44868,45284,44350,44150,45189,48482,49894,50884,50783,51709,50961,50872,51711,51521,52240,52172
Oklahoma,3921207,21719,21996,22688,22621,22907,22873,23778,23676,24053,24147,23750,24370,25364,26493,27321,26367
Oregon,4085989,10950,11650,12207,12652,12887,13191,13373,13541,13735,13859,13728,14123,14605,14492,14655,14579
Pennsylvania,12787085,37641,39724,40879,40506,41941,43971,45530,48736,50485,48087,49710,50228,49971,49174,48846,48287
Rhode Island,1057566,3364,3473,3576,3169,3414,3713,3745,3739,3413,3159,3032,3042,3168,3133,2982,2887
South Carolina,4959822,21719,22896,22942,22650,22456,22930,23578,23685,23685,23009,22363,21867,21534,20948,20457,20376
South Dakota,861542,2799,2943,3019,3053,3346,3316,3276,3352,3390,3393,3562,3596,3612,3507,3536,3770
Tennessee,6649404,17466,18297,19141,19331,19270,19312,19268,19379,19932,20037,19831,19817,20758,20815,19800,21539
Texas,27904862,148480,152446,153056,156682,157081,158510,158576,159237,158542,160242,159956,155195,155377,154247,152492,151276
Utah,3044321,4145,4285,4623,4720,5058,5031,5165,5132,5244,5442,5294,5309,5382,5307,4831,4502
Vermont,623354,1400,1361,1491,1968,2078,2215,2116,2116,2220,2079,2053,2034,2078,1979,1750,1735
Virginia,8414380,31472,30937,30915,31072,30722,30823,32977,32585,30995,31911,30531,29708,29985,30050,30430,29882
Washington,7280934,15226,16263,16227,16503,16781,16827,16911,17188,17255,17028,17109,16919,17760,17180,17222,17228
West Virginia,1828637,3403,3575,3790,3990,4036,4367,4907,4896,5062,5072,5149,5335,5708,5867,5925,5899
Wisconsin,5772917,20766,21666,22153,22152,21921,22564,22839,22282,22262,22033,22388,22419,22443,22572,22914,23163
Wyoming,584910,1487,1641,1630,1765,2096,2035,1927,1704,1743,2092,2162,2187,2288,2369,2400,2352
