suburb,POA,region,year,price
BENDIGO,3550,Regional Vic,2018,400000
BENDIGO,3550,Regional Vic,2019,420000
BENDIGO,3550,Regional Vic,2020,499000
BENDIGO,3550,Regional Vic,2021,510000
CAMBERWELL,3124,Metro Melbourne,2018,2155000
CAMBERWELL,3124,Metro Melbourne,2019,2085000
CAMBERWELL,3124,Metro Melbourne,2020,2060000
CAMBERWELL,3124,Metro Melbourne,2021,2136000
CAULFIELD,3162,Metro Melbourne,2018,1701000
CAULFIELD,3162,Metro Melbourne,2019,1762500
CAULFIELD,3162,Metro Melbourne,2020,1811000
CAULFIELD,3162,Metro Melbourne,2021,1610000
FRANKSTON,3199,Metro Melbourne,2018,605000
FRANKSTON,3199,Metro Melbourne,2019,581000
FRANKSTON,3199,Metro Melbourne,2020,621500
FRANKSTON,3199,Metro Melbourne,2021,660000
MELBOURNE,3000,Metro Melbourne,2018,695000
MELBOURNE,3000,Metro Melbourne,2019,655000
MELBOURNE,3000,Metro Melbourne,2020,694000
MELBOURNE,3000,Metro Melbourne,2021,810000
TOORAK,3142,Metro Melbourne,2018,4700000
TOORAK,3142,Metro Melbourne,2019,4550000
TOORAK,3142,Metro Melbourne,2020,5200000
TOORAK,3142,Metro Melbourne,2021,5800000
