suburb,POA,region,year,price,sold_number
BENDIGO,3550,Regional Vic,2018,400000,300
BENDIGO,3550,Regional Vic,2019,420000,400
BENDIGO,3550,Regional Vic,2020,499000,500
BENDIGO,3550,Regional Vic,2021,510000,600
CAMBERWELL,3124,Metro Melbourne,2018,2155000,700
CAMBERWELL,3124,Metro Melbourne,2019,2085000,800
CAMBERWELL,3124,Metro Melbourne,2020,2060000,900
CAMBERWELL,3124,Metro Melbourne,2021,2136000,1000
CAULFIELD,3162,Metro Melbourne,2018,1701000,1100
CAULFIELD,3162,Metro Melbourne,2019,1762500,1200
CAULFIELD,3162,Metro Melbourne,2020,1811000,1300
CAULFIELD,3162,Metro Melbourne,2021,1610000,1400
FRANKSTON,3199,Metro Melbourne,2018,605000,1500
FRANKSTON,3199,Metro Melbourne,2019,581000,1600
FRANKSTON,3199,Metro Melbourne,2020,621500,1700
FRANKSTON,3199,Metro Melbourne,2021,660000,1800
MELBOURNE,3000,Metro Melbourne,2018,695000,1900
MELBOURNE,3000,Metro Melbourne,2019,655000,2000
MELBOURNE,3000,Metro Melbourne,2020,694000,2100
MELBOURNE,3000,Metro Melbourne,2021,810000,2200
TOORAK,3142,Metro Melbourne,2018,4700000,2300
TOORAK,3142,Metro Melbourne,2019,4550000,2400
TOORAK,3142,Metro Melbourne,2020,5200000,2500
TOORAK,3142,Metro Melbourne,2021,5800000,2600
