Country,Code,Year,Longitude,Latitude,Age Group,Recorded Deaths
Afghanistan,AFG,1990,65,33,: 70+,1755
African Region (WHO),,1990,0,0,: 70+,59151
Albania,ALB,1990,20,41,: 70+,1473
Algeria,DZA,1990,3,28,: 70+,6477
American Samoa,ASM,1990,-170,-14.3333,: 70+,10
Andorra,AND,1990,1.6,42.5,: 70+,30
Angola,AGO,1990,18.5,-12.5,: 70+,973
Antigua and Barbuda,ATG,1990,-61.8,17.05,: 70+,13
Argentina,ARG,1990,-64,-34,: 70+,19728
Armenia,ARM,1990,45,40,: 70+,1282
Australia,AUS,1990,133,-27,: 70+,13439
Austria,AUT,1990,13.3333,47.3333,: 70+,7043
Azerbaijan,AZE,1990,47.5,40.5,: 70+,1721
Bahamas,BHS,1990,-76,24.25,: 70+,33
Bahrain,BHR,1990,50.55,26,: 70+,115
Bangladesh,BGD,1990,90,24,: 70+,35253
Barbados,BRB,1990,-59.5333,13.1667,: 70+,79
Belarus,BLR,1990,28,53,: 70+,7465
Belgium,BEL,1990,4,50.8333,: 70+,14207
Belize,BLZ,1990,-88.75,17.25,: 70+,28
Benin,BEN,1990,2.25,9.5,: 70+,697
Bermuda,BMU,1990,-64.75,32.3333,: 70+,26
Bhutan,BTN,1990,90.5,27.5,: 70+,70
Bolivia,BOL,1990,-65,-17,: 70+,1211
Bosnia and Herzegovina,BIH,1990,18,44,: 70+,2172
Botswana,BWA,1990,24,-22,: 70+,311
Brazil,BRA,1990,-55,-10,: 70+,61501
Brunei,BRN,1990,114.6667,4.5,: 70+,90
Bulgaria,BGR,1990,25,43,: 70+,9430
Burkina Faso,BFA,1990,-2,13,: 70+,495
Burundi,BDI,1990,30,-3.5,: 70+,1139
Cambodia,KHM,1990,105,13,: 70+,3254
Cameroon,CMR,1990,12,6,: 70+,728
Canada,CAN,1990,-95,60,: 70+,29326
Cape Verde,CPV,1990,-24,16,: 70+,61
Central African Republic,CAF,1990,21,7,: 70+,260
Chad,TCD,1990,19,15,: 70+,794
Chile,CHL,1990,-71,-30,: 70+,3459
China,CHN,1990,105,35,: 70+,771784
Colombia,COL,1990,-72,4,: 70+,6214
Comoros,COM,1990,44.25,-12.1667,: 70+,90
Congo,COG,1990,15,-1,: 70+,293
Cook Islands,COK,1990,-159.7667,-21.2333,: 70+,7
Costa Rica,CRI,1990,-84,10,: 70+,694
Cote d'Ivoire,CIV,1990,-5,8,: 70+,698
Croatia,HRV,1990,15.5,45.1667,: 70+,5739
Cuba,CUB,1990,-80,21.5,: 70+,7714
Cyprus,CYP,1990,33,35,: 70+,552
Czechia,CZE,1990,15.5,49.75,: 70+,13200
Democratic Republic of Congo,COD,1990,25,0,: 70+,3230
Denmark,DNK,1990,10,56,: 70+,11282
Djibouti,DJI,1990,43,11.5,: 70+,33
Dominica,DMA,1990,-61.3333,15.4167,: 70+,25
Dominican Republic,DOM,1990,-70.6667,19,: 70+,1233
East Asia & Pacific (WB),,1990,0,0,: 70+,1060149
Eastern Mediterranean Region (WHO),,1990,0,0,: 70+,91995
Ecuador,ECU,1990,-77.5,-2,: 70+,1658
Egypt,EGY,1990,30,27,: 70+,10145
El Salvador,SLV,1990,-88.9167,13.8333,: 70+,487
England,,1990,0,0,: 70+,94424
Equatorial Guinea,GNQ,1990,10,2,: 70+,47
Eritrea,ERI,1990,39,15,: 70+,90
Estonia,EST,1990,26,59,: 70+,1332
Eswatini,SWZ,1990,31.5,-26.5,: 70+,105
Ethiopia,ETH,1990,38,8,: 70+,3316
Europe & Central Asia (WB),,1990,0,0,: 70+,753500
European Region (WHO),,1990,0,0,: 70+,758455
Fiji,FJI,1990,175,-18,: 70+,189
Finland,FIN,1990,26,64,: 70+,4532
France,FRA,1990,2,46,: 70+,47764
G20,,1990,0,0,: 70+,2259047
Gabon,GAB,1990,11.75,-1,: 70+,112
Gambia,GMB,1990,-16.5667,13.4667,: 70+,104
Georgia,GEO,1990,43.5,42,: 70+,2701
Germany,DEU,1990,9,51,: 70+,108172
Ghana,GHA,1990,-2,8,: 70+,1041
Greece,GRC,1990,22,39,: 70+,12148
Greenland,GRL,1990,-40,72,: 70+,34
Grenada,GRD,1990,-61.6667,12.1167,: 70+,26
Guam,GUM,1990,144.7833,13.4667,: 70+,22
Guatemala,GTM,1990,-90.25,15.5,: 70+,993
Guinea,GIN,1990,-10,11,: 70+,876
Guinea-Bissau,GNB,1990,-15,12,: 70+,79
Guyana,GUY,1990,-59,5,: 70+,119
Haiti,HTI,1990,-72.4167,19,: 70+,587
Honduras,HND,1990,-86.5,15,: 70+,690
Hungary,HUN,1990,20,47,: 70+,12351
Iceland,ISL,1990,-18,65,: 70+,238
India,IND,1990,77,20,: 70+,223663
Indonesia,IDN,1990,120,-5,: 70+,37669
Iran,IRN,1990,53,32,: 70+,7043
Iraq,IRQ,1990,44,33,: 70+,4616
Ireland,IRL,1990,-8,53,: 70+,5937
Israel,ISR,1990,34.75,31.5,: 70+,3304
Italy,ITA,1990,12.8333,42.8333,: 70+,59286
Jamaica,JAM,1990,-77.5,18.25,: 70+,559
Japan,JPN,1990,138,36,: 70+,106439
Jordan,JOR,1990,36,31,: 70+,594
Kazakhstan,KAZ,1990,68,48,: 70+,5269
Kenya,KEN,1990,38,1,: 70+,1915
Kiribati,KIR,1990,173,1.4167,: 70+,31
Kuwait,KWT,1990,47.6581,29.3375,: 70+,134
Kyrgyzstan,KGZ,1990,75,41,: 70+,1601
Laos,LAO,1990,105,18,: 70+,1757
Latin America & Caribbean (WB),,1990,0,0,: 70+,137693
Latvia,LVA,1990,25,57,: 70+,2206
Lebanon,LBN,1990,35.8333,33.8333,: 70+,1409
Lesotho,LSO,1990,28.5,-29.5,: 70+,485
Liberia,LBR,1990,-9.5,6.5,: 70+,245
Libya,LBY,1990,17,25,: 70+,654
Lithuania,LTU,1990,24,56,: 70+,2438
Luxembourg,LUX,1990,6.1667,49.75,: 70+,434
Madagascar,MDG,1990,47,-20,: 70+,1579
Malawi,MWI,1990,34,-13.5,: 70+,1153
Malaysia,MYS,1990,112.5,2.5,: 70+,5100
Maldives,MDV,1990,73,3.25,: 70+,54
Mali,MLI,1990,-4,17,: 70+,535
Malta,MLT,1990,14.5833,35.8333,: 70+,280
Marshall Islands,MHL,1990,168,9,: 70+,8
Mauritania,MRT,1990,-12,20,: 70+,167
Mauritius,MUS,1990,57.55,-20.2833,: 70+,363
Mexico,MEX,1990,-102,23,: 70+,18708
Micronesia (country),FSM,1990,158.25,6.9167,: 70+,36
Middle East & North Africa (WB),,1990,0,0,: 70+,48935
Moldova,MDA,1990,29,47,: 70+,1930
Monaco,MCO,1990,7.4,43.7333,: 70+,56
Mongolia,MNG,1990,105,46,: 70+,705
Montenegro,MNE,1990,19,42,: 70+,393
